Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Salleh, A., Mellor, M., Farrell, K.N., Shiva, V.","How ecofeminists use complexity in ecological economics",2013,"Beyond Reductionism: A Passion for Interdisciplinarity",,,,"154","178",,,10.4324/9780203112281,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911163658&partnerID=40&md5=8365269cf0e39ef5ffb414d49c04b16c",Book Chapter,Scopus,2-s2.0-84911163658
"Shiva, V.","The implications of agricultural globalization in India",2012,"Animals, Ethics and Trade: The Challenge of Animal Sentience",,,,"193","207",,,10.4324/9781849770484,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925760656&partnerID=40&md5=ddf3d6e18847a6d67b4eb9eac2f67bfb",Book Chapter,Scopus,2-s2.0-84925760656
"Shiva, V.","Earth democracy: Beyond dead democracy and killing economies",2010,"Capitalism, Nature, Socialism","21","1",,"83","95",,,10.1080/10455751003655922,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77950213435&partnerID=40&md5=285c681610d66c632ebfdbd125e8d93f",Article,Scopus,2-s2.0-77950213435
"Shiva, V.","The practice of earth democracy Looking ahead - Experiences from 30 years of participatory research and community action",2009,"Development Dialogue",,"52",,"78","103",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956243008&partnerID=40&md5=4193eb50a490ba302447803d76272397",Article,Scopus,2-s2.0-77956243008
"Shiva, V.","Excerpt: Soil not oil: Environmental justice in an age of climate crisis",2009,"Alternatives Journal","35","3",,"19+22","23",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67649566234&partnerID=40&md5=5ca5d4ca201b80225073d9b96974f965",Article,Scopus,2-s2.0-67649566234
"Shiva, V.","From water crisis to water culture",2008,"Cultural Studies","22","3-4",,"498","509",,,10.1080/09502380802012591,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45949089155&partnerID=40&md5=58b78126aa26718f17a328d08e5e1bdd",Article,Scopus,2-s2.0-45949089155
"Shiva, V.","How to grow poverty",2008,"Ecologist","38","2",,"49","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-39849106901&partnerID=40&md5=3df918cc9966e0ee42ad8c92e88e33e5",Article,Scopus,2-s2.0-39849106901
"Shiva, V.","New emperors, old clothes",2005,"Ecologist","35","6",,"22","",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748762980&partnerID=40&md5=34f66db66550d6186434a1f5e5346ece",Note,Scopus,2-s2.0-33748762980
"Shiva, V.","The lessons of the tsunami",2005,"Ecologist","35","2",,"021","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748259806&partnerID=40&md5=73cf07d6831ee827d1700048f1f16397",Note,Scopus,2-s2.0-33748259806
"Shiva, V.","The future of food: Countering globalisation and recolonisation of Indian agriculture",2004,"Futures","36","6-7",,"715","732",,21,10.1016/j.futures.2003.12.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2442545520&partnerID=40&md5=24b0e17dd3b47b59a413ab5e7c7d8e34",Article,Scopus,2-s2.0-2442545520
"Shiva, V.","Earth democracy",2004,"New Socialisms: Futures Beyond Globalization",,,,"53","70",,1,10.4324/9780203390894,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867308878&partnerID=40&md5=d49fb8e85e11968624aa97daad183875",Book Chapter,Scopus,2-s2.0-84867308878
"Shiva, V.","Globalization and the war against farmers and the land",2003,"The Essential Agrarian Reader: The Future of Culture, Community, and the Land",,,,"121","139",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889572696&partnerID=40&md5=8d198bcfc1e2b979028c036f11a75ec2",Book Chapter,Scopus,2-s2.0-84889572696
"Shiva, V.","Monocultures, monopolies, myths and the masculinization of agriculture",1999,"Development","42","2",,"35","38",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032766599&partnerID=40&md5=078e6343367196639441d1ca7b3737fb",Article,Scopus,2-s2.0-0032766599
"Shiva, V.","The two fascisms",1999,"Ecologist","29","3",,"198","199",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032850382&partnerID=40&md5=9c305e015cfe58b2085df379eadfe4b4",Article,Scopus,2-s2.0-0032850382
"Shiva, V.","Reversing globalisation: What Gandhi can teach us",1999,"Ecologist","29","3",,"224","225",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032834584&partnerID=40&md5=8d2a04b789ac55f144a5578bfcaf10ec",Article,Scopus,2-s2.0-0032834584
"Shiva, V.","Now Monsanto is after our water",1999,"Ecologist","29","5",,"297","",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032759005&partnerID=40&md5=1f69feefd3bdc3f64d4a1ede91e14f92",Article,Scopus,2-s2.0-0032759005
"Shiva, V.","Women's water rights",1998,"Waterlines","17","1",,"9","18",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032412195&partnerID=40&md5=90a04a944f9c807a5bc1611a42b62a69",Article,Scopus,2-s2.0-0032412195
"Shiva, V.","The seeds of our future",1996,"Development",,"4",,"14","21",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-11144226032&partnerID=40&md5=b7659c0d0a3d33760856fbfda903e0fd",Article,Scopus,2-s2.0-11144226032
"Mies, M., Shiva, V.","Ecofeminism",1993,"Ecofeminism",,,,"","",328,381,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027705069&partnerID=40&md5=a4e429824b8097a5bc255dfafab70178",,Scopus,2-s2.0-0027705069
"Shiva, V.","Chipko's Earth charter",1993,"Garhwal Himalaya: ecology and environment",,,,"241","250",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027707682&partnerID=40&md5=f6dbec6a24578d8cb9d1a95dcad9dba9",,Scopus,2-s2.0-0027707682
"Shiva, V.","Monocultures of the mind: perspectives on biodiversity and biotechnology",1993,"Monocultures of the mind: perspectives on biodiversity and biotechnology",,,,"","",184,181,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17744403448&partnerID=40&md5=578cdf253c4ebe1d1db31628d6efe1dd",,Scopus,2-s2.0-17744403448
"Shiva, V., Holla-Bhar, R.","Intellectual piracy and the neem tree",1993,"Ecologist","23","6",,"223","227",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027797239&partnerID=40&md5=5cdcabe2822acc5120be1d7cc5a400bb",,Scopus,2-s2.0-0027797239
"Shiva, V.","The violence of the Green Revolution: Third World agriculture, ecology and politics",1992,"The violence of the Green Revolution: Third World agriculture, ecology and politics",,,,"","",264,22,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026451168&partnerID=40&md5=8b7dcb634889139ea40343e1a25de109",,Scopus,2-s2.0-0026451168
"Shiva, V., Anderson, P., Schucking, H., Gray, A., Lohmann, L., Cooper, D.","Biodiversity: social and ecological perspectives",1992,"Biodiversity: social and ecological perspectives",,,,"","",123,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026490239&partnerID=40&md5=2f8d23e4accfd30ab27ae72d3dcda95f",,Scopus,2-s2.0-0026490239
"Shiva, V.","The Green Revolution in the Punjab",1991,"Ecologist","21","2",,"57","60",,29,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025942395&partnerID=40&md5=e760188fc04c12d466a4cced34e0137f",,Scopus,2-s2.0-0025942395
"Shiva, V.","Biodiversity, biotechnology and profit: the need for a people's plan to protect biological diversity",1990,"Ecologist","20","2",,"44","47",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025247608&partnerID=40&md5=f7f36a447607f54ca01db1fad671d5ee",,Scopus,2-s2.0-0025247608
"Bandyopadhyay, J., Shiva, V.","Development, poverty and the growth of the green movement in India",1989,"Ecologist","19","3",,"111","117",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024909676&partnerID=40&md5=74f184d0b1a38031838cec45ab0dcec4",,Scopus,2-s2.0-0024909676
"Bandopadhyay, J., Shiva, V.","The Chipko Movement against limestone quarrying in Doon Valley",1989,"Cultural Survival Quarterly","13","2",,"26","28",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024877273&partnerID=40&md5=41ea80e937f690a6dcfcf47d5904b13c",,Scopus,2-s2.0-0024877273
"Bandyopadhyay, J., Shiva, V.","Political economy of ecology movements",1989,"IFDA Dossier","71",,,"37","60",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024483983&partnerID=40&md5=22035c48a6858b7b3abcb14f90e113ce",,Scopus,2-s2.0-0024483983
"Bandyopadhyay, J., Shiva, V.","Chipko: rekindling India's forest culture.",1987,"Ecologist","17","1",,"26","34",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023503395&partnerID=40&md5=6eb6316225b3b2bca17e6f9c47cebcd5",,Scopus,2-s2.0-0023503395
"Shiva, V.","Forestry myths and the World Bank. A critical review of Tropical forests: a call for action.",1987,"Ecologist","17","4-5",,"142","149",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0023510456&partnerID=40&md5=4d745560e7cfb2098f50dcb809a896a5",,Scopus,2-s2.0-0023510456
"Shiva, V., Bandyopadhyay, J.","The evolution, structure, and impact of the Chipko movement.",1986,"Mountain Research & Development","6","2",,"133","142",,10,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022879998&partnerID=40&md5=c48aff9d7071db62d30a91beb031e6d7",,Scopus,2-s2.0-0022879998
"Bandyopadhyay, J., Shiva, V.","The conflict over limestone quarrying in Doon Valley, Dehradun, India",1985,"Environmental Conservation","12","2",,"131","139",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022265317&partnerID=40&md5=d11c29826e67bac8a3a3f98a29aee405",,Scopus,2-s2.0-0022265317
"Shiva, V., Bandyopadhyay, J., Jayal, N.D.","Afforestation in India: problems and strategies.",1985,"Ambio","14","6",,"329","333",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022167648&partnerID=40&md5=65fe6320bf3cae8435db57e8164ed729",,Scopus,2-s2.0-0022167648
"Shiva, V., Bandyopadhyay, J.","People's environmental action for Doon Valley, India",1985,"Environmental Conservation","12","3",,"273","274",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-46549092285&partnerID=40&md5=c51421ff498b57241a2c0ffa07f0fd78",Article,Scopus,2-s2.0-46549092285
"Shiva, V., Bandyopadhyay, J.","Participatory research and technology assessment by the people.",1982,"IFDA Dossier","32",,,"17","28",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020436107&partnerID=40&md5=83d080957989d87b5f1a14c5abd01f1f",,Scopus,2-s2.0-0020436107
"Shiva, V., Bandyopadhyay, J.","The large and fragile community of scientists in India",1980,"Minerva","18","4",,"575","594",,12,10.1007/BF01096125,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019237770&partnerID=40&md5=cb70f5f81bf5c41585af41082c70d8b2",Article,Scopus,2-s2.0-0019237770
"Shiva, V.","Are quantum mechanical transition probabilities classical? A critique of Cartwright's interpretation of quantum theory",1980,"Synthese","44","3",,"501","508",,,10.1007/BF00413474,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250258992&partnerID=40&md5=4423dffc1dbafc2a2d49817a19fe0ed1",Article,Scopus,2-s2.0-34250258992
