Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Spangenberg, J.H.","Ideology and practice of the 'Green Economy': World views shaping science and politics",2015,"The Politics of Sustainability: Philosophical Perspectives",,,,"127","150",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942413334&partnerID=40&md5=0a5677a842c3691cfac7d8cf57e81c60",Book Chapter,Scopus,2-s2.0-84942413334
"Spangenberg, J.H.","Indicators for sustainable development",2015,"Routledge International Handbook of Sustainable Development",,,,"308","322",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940664953&partnerID=40&md5=2bf52094800d696d3c0fff59a8e8abd4",Book Chapter,Scopus,2-s2.0-84940664953
"Spangenberg, J.H., Douguet, J.-M., Settele, J., Heong, K.L.","Escaping the lock-in of continuous insecticide spraying in rice: Developing an integrated ecological and socio-political DPSIR analysis",2015,"Ecological Modelling","295",,,"188","195",,2,10.1016/j.ecolmodel.2014.05.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910030282&partnerID=40&md5=5b993971e60ccea90abcb48aa7770b90",Article,Scopus,2-s2.0-84910030282
"Förster, J., Barkmann, J., Fricke, R., Hotes, S., Kleyer, M., Kobbe, S., Kübler, D., Rumbaur, C., Siegmund-Schultze, M., Seppelt, R., Settele, J., Spangenberg, J.H., Tekken, V., Václavík, T., Wittmer, H.","Assessing ecosystem services for informing land-use decisions: A problem-oriented approach",2015,"Ecology and Society","20","3", 31,"","",,,10.5751/ES-07804-200331,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943168282&partnerID=40&md5=d987271b7841afa94c13da85cdbfae03",Article,Scopus,2-s2.0-84943168282
"Martinez-Alier, J., Anguelovski, I., Bond, P., Del Bene, D., Demaria, F., Gerber, J.-F., Greyl, L., Haas, W., Healy, H., Marín-Burgos, V., Ojo, G., Porto, M., Rijnhout, L., Rodríguez-Labajos, B., Spangenberg, J., Temper, L., Warlenius, R., Yánez, I.","Between activism and science: Grassroots concepts for sustainability coined by environmental justice organizations",2014,"Journal of Political Ecology","21","1 A",,"19","60",,17,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894029098&partnerID=40&md5=daa304eedd85be69af56e3144393773d",Article,Scopus,2-s2.0-84894029098
"Lorek, S., Spangenberg, J.H.","Sustainable consumption within a sustainable economy - Beyond green growth and green economies",2014,"Journal of Cleaner Production","63",,,"33","44",,23,10.1016/j.jclepro.2013.08.045,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888299228&partnerID=40&md5=3e6f812fb28ba76d0da6e1373fa34e9f",Article,Scopus,2-s2.0-84888299228
"Spangenberg, J.H., Görg, C., Truong, D.T., Tekken, V., Bustamante, J.V., Settele, J.","Provision of ecosystem services is determined by human agency, not ecosystem functions. Four case studies",2014,"International Journal of Biodiversity Science, Ecosystems Services and Management","10","1",,"40","53",,19,10.1080/21513732.2014.884166,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894167227&partnerID=40&md5=0a2b3c3b238f6f50f9e0e7d5a624d74a",Article,Scopus,2-s2.0-84894167227
"Görg, C., Spangenberg, J.H., Tekken, V., Burkhard, B., Truong, D.T., Escalada, M., Heong, K.L., Arida, G., Marquez, L.V., Bustamante, J.V., Chien, H.V., Klotzbücher, T., Marxen, A., Manh, N.H., Van Sinh, N., Villareal, S.B., Settele, J.","Engaging local knowledge in biodiversity research: Experiences from large inter- and transdisciplinary projects",2014,"Interdisciplinary Science Reviews","39","4",,"323","341",,2,10.1179/0308018814Z.00000000095,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919427229&partnerID=40&md5=0e3e89f7e02a497557cf6d0e90311c8c",Article,Scopus,2-s2.0-84919427229
"Spangenberg, J.H., von Haaren, C., Settele, J.","The ecosystem service cascade: Further developing the metaphor. Integrating societal processes to accommodate social processes and planning, and the case of bioenergy",2014,"Ecological Economics","104",,,"22","32",,9,10.1016/j.ecolecon.2014.04.025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900826101&partnerID=40&md5=7dd4377bbc7277b22b5f752efdbe005a",Article,Scopus,2-s2.0-84900826101
"Spangenberg, J.","Institutional change for strong sustainable consumption: Sustainable consumption and the degrowth economy",2014,"Sustainability: Science, Practice, and Policy","10","1",,"62","77",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904103264&partnerID=40&md5=b6f2c004305de532471fa323f802fc48",Article,Scopus,2-s2.0-84904103264
"von Haaren, C., Albert, C., Barkmann, J., de Groot, R.S., Spangenberg, J.H., Schröter-Schlaack, C., Hansjürgens, B.","From explanation to application: introducing a practice-oriented ecosystem services evaluation (PRESET) model adapted to the context of landscape planning and management",2014,"Landscape Ecology","29","8",,"1335","1346",,1,10.1007/s10980-014-0084-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919883370&partnerID=40&md5=f616c194a3f42524a1e4b5a76171556f",Article,Scopus,2-s2.0-84919883370
"Falck, W.E., Spangenberg, J.H.","Selection of social demand-based indicators: EO-based indicators for mining",2014,"Journal of Cleaner Production","84","1",,"193","203",,5,10.1016/j.jclepro.2014.02.021,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922902808&partnerID=40&md5=c81967fede59b9f4998a83215900e20e",Article,Scopus,2-s2.0-84922902808
"Spangenberg, J.H.","China in the anthropocene: Culprit, victim or last best hope for a global ecological civilisation?",2014,"BioRisk",,"9",,"1","37",,,10.3897/biorisk.9.6105,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902357146&partnerID=40&md5=641d723ed6e463b4d32ffd5b2697ff83",Article,Scopus,2-s2.0-84902357146
"Spangenberg, J.H.","Ecosystem Services in a Societal Context",2013,"Ecosystem Services: Global Issues, Local Practices",,,,"91","95",,1,10.1016/B978-0-12-419964-4.00009-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902053938&partnerID=40&md5=2f324fb4133640d9213f3581dced1036",Book Chapter,Scopus,2-s2.0-84902053938
"Spangenberg, J.H.","More than critique, and without truth: Pathways to a future-proof sustainability science [Mehr als Kritik und ohne Wahrheit: Pfade zu einer zukunftsfähigen Nachhaltigkeitsforschung]",2013,"GAIA","22","2",,"80","81",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880077888&partnerID=40&md5=05ce11479817df4c3df54575abefd2c7",Short Survey,Scopus,2-s2.0-84880077888
"Spangenberg, J.H.","Pick Simply the Best: Sustainable Development is About Radical Analysis and Selective Synthesis, not About Old Wine in New Bottles",2013,"Sustainable Development","21","2",,"101","111",,1,10.1002/sd.1561,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876439524&partnerID=40&md5=255dbe16a9e3bc33c9aa639e2e44e83a",Article,Scopus,2-s2.0-84876439524
"Settele, J., Spangenberg, J.H.","The age of man: Outpacing evolution",2013,"Science","340","6138",,"1287","",,2,10.1126/science.340.6138.1287-b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878900403&partnerID=40&md5=7409027b5f825806ee241ddea49d93e5",Letter,Scopus,2-s2.0-84878900403
"Seppelt, R., Fath, B., Burkhard, B., Fisher, J.L., Grêt-Regamey, A., Lautenbach, S., Pert, P., Hotes, S., Spangenberg, J., Verburg, P.H., Van Oudenhoven, A.P.E.","Form follows function? Proposing a blueprint for ecosystem service assessments based on reviews and case studies",2012,"Ecological Indicators","21",,,"145","154",,57,10.1016/j.ecolind.2011.09.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860290466&partnerID=40&md5=017cd675b7ba011ec9cba8c604a235ed",Review,Scopus,2-s2.0-84860290466
"Spangenberg, J.H., Bondeau, A., Carter, T.R., Fronzek, S., Jaeger, J., Jylhä, K., Kühn, I., Omann, I., Paul, A., Reginster, I., Rounsevell, M., Schweiger, O., Stocker, A., Sykes, M.T., Settele, J.","Scenarios for investigating risks to biodiversity",2012,"Global Ecology and Biogeography","21","1",,"5","18",,25,10.1111/j.1466-8238.2010.00620.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-83355169918&partnerID=40&md5=8bdcaf497cb9516d653effeabbaeff82",Article,Scopus,2-s2.0-83355169918
"Spangenberg, J.H.","Too simple to be true. A response to B. Alcott",2012,"Journal of Cleaner Production","21","1",,"93","95",,2,10.1016/j.jclepro.2011.08.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80455155016&partnerID=40&md5=145551f592d0f86f5c17c76a2db66e4a",Letter,Scopus,2-s2.0-80455155016
"Chytrý, M., Wild, J., Pyšek, P., Jarošík, V., Dendoncker, N., Reginster, I., Pino, J., Maskell, L.C., Vilà, M., Pergl, J., Kühn, I., Spangenberg, J.H., Settele, J.","Projecting trends in plant invasions in Europe under different scenarios of future land-use change",2012,"Global Ecology and Biogeography","21","1",,"75","87",,24,10.1111/j.1466-8238.2010.00573.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-83355163561&partnerID=40&md5=518292fa571e6ded62fe4b8124531d7a",Article,Scopus,2-s2.0-83355163561
"Settele, J., Carter, T.R., Kühn, I., Spangenberg, J.H., Sykes, M.T.","Scenarios as a tool for large-scale ecological research: Experiences and legacy of the ALARM project",2012,"Global Ecology and Biogeography","21","1",,"1","4",,9,10.1111/j.1466-8238.2011.00720.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-83355169920&partnerID=40&md5=e4d1e1f03af2d7d1ddc195d9045229db",Editorial,Scopus,2-s2.0-83355169920
"Spangenberg, J.H.","Sustainability science: A review, an analysis and some empirical lessons",2011,"Environmental Conservation","38","3",,"275","287",,51,10.1017/S0376892911000270,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855610979&partnerID=40&md5=26c87ed9e7ab86ae3a26103080cb25de",Article,Scopus,2-s2.0-84855610979
