Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Li, Y., Steiner, W.W.M.","A wing color mutant (cw) in the parasitic wasp, Microplitis croceipes (Hymenoptera: Braconidae)",1995,"Journal of Heredity","86","2",,"158","163",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028958983&partnerID=40&md5=f05f208aac2d49b4ac8abda3ee1a3a8f",Article,Scopus,2-s2.0-0028958983
"Grasela, J.J., Steiner, W.W.M.","Population genetic structure among populations of three predaceous nabid species: Nabis alternatus Parshley, Nabis roseipennis Reuter and Nabis americoferous Carayon (Hemiptera: Nabidae)",1993,"Biochemical Systematics and Ecology","21","8",,"813","823",,3,10.1016/0305-1978(93)90094-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027139692&partnerID=40&md5=0a557262612404dd8ec92fb6837e969c",Article,Scopus,2-s2.0-0027139692
"Li, Y., Steiner, W.W.M.","Genetic characterization of a black abdomen mutant in Microplitis croceipes (Hymenoptera: Braconidae)",1992,"Journal of Heredity","83","6",,"448","451",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027058385&partnerID=40&md5=37f05b57e632b423c0e50dc70baa63c2",Article,Scopus,2-s2.0-0027058385
"Li, Y., Dickens, J.C., Steiner, W.W.M.","Antennal olfactory responsiveness of Microplitis croceipes (Hymenoptera: Braconidae) to cotton plant volatiles",1992,"Journal of Chemical Ecology","18","10",,"1761","1773",,36,10.1007/BF02751101,"http://www.scopus.com/inward/record.url?eid=2-s2.0-51249167484&partnerID=40&md5=e4299e26306634f92cc5fb9a7875f1cd",Article,Scopus,2-s2.0-51249167484
"Grasela, J.J., Steiner, W.W.M., Marston, N.L.","Genetic differences at two allozyme loci in midwest populations of three species of Nabidae",1988,"Comparative Biochemistry and Physiology -- Part B: Biochemistry and","90","2",,"427","431",,1,10.1016/0305-0491(88)90099-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45549116127&partnerID=40&md5=9165b45b6b4597f45c5accd29e82cfcf",Article,Scopus,2-s2.0-45549116127
"Steiner, W.W.M., Voegtlin, D.J., Irwin, M.E., Kampmeier, G.","Electrophoretic comparison of aphid species: Detecting differences based on taxonomic status and host plant",1985,"Comparative Biochemistry and Physiology -- Part B: Biochemistry and","81","2",,"295","299",,3,10.1016/0305-0491(85)90316-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749705417&partnerID=40&md5=bffda0c3fcff565df2b92b4cd990c9c6",Article,Scopus,2-s2.0-33749705417
"Steiner, W.W.M., Brigham, A.R., Unzicker, J.D.","Genetic studies of the caddisfly Triaenodes tardus Milne (Trichoptera: Leptoceridae). I. Evidence for a sex-linked esterase",1983,"Biochemical Genetics","21","11-12",,"1203","1207",,,10.1007/BF00488471,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0021013948&partnerID=40&md5=cd6133e6b7123a8ffbb0ae2fa975c3a4",Article,Scopus,2-s2.0-0021013948
"Steiner, W.W.","Species-specific differences in pure tonal whistle vocalizations of five western North Atlantic dolphin species",1981,"Behavioral Ecology and Sociobiology","9","4",,"241","246",,52,10.1007/BF00299878,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0000553498&partnerID=40&md5=2c0158a46b11afddef7c5e1ccc80d728",Article,Scopus,2-s2.0-0000553498
"Winn, H.E., Thompson, T.J., Cummings, W.C., Hain, J., Hudnall, J., Hays, H., Steiner, W.W.","Song of the humpback whale - Population comparisons",1981,"Behavioral Ecology and Sociobiology","8","1",,"41","46",,56,10.1007/BF00302842,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0002829952&partnerID=40&md5=5e5cc7eb4daec409c5545d9533433b18",Article,Scopus,2-s2.0-0002829952
"Steiner, W.W.M.","Genetic variation in Hawaiian Drosophila. VIII. Heterozygosity and genic changes in isolated populations of D. engyochracea",1979,"Biochemical Genetics","17","7-8",,"645","664",,4,10.1007/BF00502124,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018570884&partnerID=40&md5=e9db9ff2e79b991d82dfe9c033d788b9",Article,Scopus,2-s2.0-0018570884
"Steiner, W.W.M., Lisowski, E.A., Osterbur, D.","Biochemical differences in sympatric color morphs of an aquatic isopod (Asellus brevicauda)",1977,"Comparative Biochemistry and Physiology -- Part B: Biochemistry and","56","4",,"371","374",,8,10.1016/0305-0491(77)90233-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017575047&partnerID=40&md5=4d4d25678c4da84ba3ec8d5ac0d9b10a",Article,Scopus,2-s2.0-0017575047
"Steiner, W.W.M., Sung, K.C., Paik, Y.K.","Electrophoretic variability in island populations of Drosophila simulans and Drosophila immigrans",1976,"Biochemical Genetics","14","5-6",,"495","506",,9,10.1007/BF00486129,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0017102870&partnerID=40&md5=be65580faa3576dc94c72880d5688f2c",Article,Scopus,2-s2.0-0017102870
