Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Brock, T., Giesy, J.P., Heimbach, F., Hollert, H., Roß-Nickoll, M., Schäffer, A., Steinhäuser, K.G.","Laudation to Prof. Dr. Hans-Toni Ratte-towards conceptual, theory-based ecological science and its transfer to the applied field of ecotoxicology",2011,"Environmental Sciences Europe","23","1", 34,"","",,,10.1186/2190-4715-23-34,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856402422&partnerID=40&md5=962efc327a1f439ce03b55768a3e6eca",Review,Scopus,2-s2.0-84856402422
"Steinhäuser, K.G., Richter, S.","Assessment and Management of Chemicals-How Should Persistent Polar Pollutants be Regulated?",2006,"Organic Pollutants in the Water Cycle: Properties, Occurrence, Analysis and Environmental Relevance of Polar Compounds",,,,"311","339",,,10.1002/352760877X.ch12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889412601&partnerID=40&md5=cfab220015019600c139850064e6252d",Book Chapter,Scopus,2-s2.0-84889412601
"Steinhäuser, K.G., Simmchen, B., Fehrenbach, H., Siebel-Sauer, A.","Water hazard classes and preparation guidelines: Possibilities for harmonization [Wassergefährdungsklasse und zubereitungsrichtlinie: Möglichkeiten zur harmonisierung]",2005,"Umweltwissenschaften und Schadstoff-Forschung","17","3",,"176","180",,,10.1065/uwsf2005.08.100,"http://www.scopus.com/inward/record.url?eid=2-s2.0-24944538330&partnerID=40&md5=d7b22ae87fa25d4f113b6c55addb8e7b",Article,Scopus,2-s2.0-24944538330
"Steinhäuser, K.G., Greiner, P., Richter, S., Penning, J., Angrick, M.","Sustainable chemistry: Signal for innovation or only slogan?",2004,"Environmental Science and Pollution Research","11","5",,"281","283",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-6344243677&partnerID=40&md5=49f57b4e5011f20e09654f3ab02863ae",Editorial,Scopus,2-s2.0-6344243677
"Steinhäuser, K.G., Richter, S., Penning, J.","Sustainable chemistry in Dessau [Sustainable chemistry in Dessau]",2004,"Nachrichten aus der Chemie","52","6",,"672","674",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-3042798004&partnerID=40&md5=acc1477b0ac8e41822b89cbcc5769e05",Article,Scopus,2-s2.0-3042798004
"Steinhäuser, K.G., Richter, S., Penning, J.","Sustainable chemistry in Dessau - A workshop report",2004,"Green Chemistry","6","5",,"G41","G43",,,10.1039/b404170b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18744422897&partnerID=40&md5=973dec953791cfad18e9fd89217b6cac",Conference Paper,Scopus,2-s2.0-18744422897
"Steinhäuser, K.G., Richter, S., Greiner, P., Penning, J., Angrick, M.","Principles and perspectives",2004,"Environmental Science and Pollution Research","11","5",,"284","290",,10,10.1065/espr2004.08.214,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930479534&partnerID=40&md5=fd25a898f254b8a9394319570aa514fd",Review,Scopus,2-s2.0-84930479534
"Richter, S., Steinhäuser, K.G.","BAT and BEP as instruments for reducing emissions of unintentionally produced POPS and development of guidelines under the Stockholm convention",2003,"Environmental Science and Pollution Research","10","4",,"265","270",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042128483&partnerID=40&md5=b39deae35cb70521e67e02afec4a1948",Review,Scopus,2-s2.0-0042128483
"Steinhäuser, K.G.","Environmental risks of chemicals and genetically modified organisms: A comparison part II: Sustainability and precaution in risk assessment and risk management",2001,"Environmental Science and Pollution Research","8","3",,"222","226",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034913769&partnerID=40&md5=6ff839ee928cd82f06bfccbad2aa9035",Review,Scopus,2-s2.0-0034913769
"Steinhäuser, K.G.","Environmental risks of chemicals and genetically modified organisms: A comparison: Part I: Classification and characterisation of risks posed by chemicals and GMOs",2001,"Environmental Science and Pollution Research","8","2",,"120","126",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-1642458695&partnerID=40&md5=eca2ec6bf6163cf4973521cf50fd3744",Article,Scopus,2-s2.0-1642458695
"Richter, S., Steinhäuser, K.G., Fiedler, H.","Global treaty for the regulation of POPS [Globaler vertrag zur regelung von pops: Die stockholm konvention]",2001,"Umweltwissenschaften und Schadstoff-Forschung","13","1",,"39","44",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035147629&partnerID=40&md5=df3e68f04714fefebb27bc5e10e33511",Article,Scopus,2-s2.0-0035147629
"Höfer, T., Steinhäuser, K.G.","Use of health hazard criteria for estimating the hazard potential of chemicals to water in case of a spill",2000,"Regulatory Toxicology and Pharmacology","31","1",,"1","12",,3,10.1006/rtph.1999.1366,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0343674506&partnerID=40&md5=a2392cdff82f3eafe4fe36809ab45e33",Article,Scopus,2-s2.0-0343674506
