Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Yazdanpanah, H., Stigter, C.J.","Selective inverted sink efficiency for spring frost protection in almond orchards northwest of Isfahan, Iran",2011,"Theoretical and Applied Climatology","105","1",,"27","35",,7,10.1007/s00704-010-0367-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960625440&partnerID=40&md5=c74f6399eccb2b6dffad30df2d2d8723",Article,Scopus,2-s2.0-79960625440
"Stigter, C.J.K.","Rural Response to Climate Change in Poor Countries: Ethics, Policies, and Scientific Support Systems in their Agricultural Environment",2011,"Sustaining Soil Productivity in Response to Global Climate Change: Science, Policy, and Ethics",,,,"67","77",,1,10.1002/9780470960257.ch5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886197339&partnerID=40&md5=04bac11900343ab6d0dd69facd69d1a0",Book Chapter,Scopus,2-s2.0-84886197339
"Das, H.P., Stigter, C.J.","Designing and selecting weather related tactical applications for agricultural management and increasing their efficiencies: Monocropping",2010,"Applied Agrometeorology",,,,"385","389",,,10.1007/978-3-540-74698-0_21,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885403669&partnerID=40&md5=dc9376880110b0272ee44b28f8a597b9",Book Chapter,Scopus,2-s2.0-84885403669
"Stigter, C.J., Das, H.P., Ramesh, K.","Improving weather and climate related risk assessments for non-forest trees",2010,"Applied Agrometeorology",,,,"757","762",,,10.1007/978-3-540-74698-0_84,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885399985&partnerID=40&md5=adba921322930ce43f7489954e2ad99f",Book Chapter,Scopus,2-s2.0-84885399985
"Das, H.P., Stigter, C.J.","Detection and awareness of increasing climate variability and the elevating climate risk in farming systems with non-forest trees",2010,"Applied Agrometeorology",,,,"707","709",,1,10.1007/978-3-540-74698-0_76,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885394252&partnerID=40&md5=e2505cf5b50f704a86e153384f121ef4",Book Chapter,Scopus,2-s2.0-84885394252
"Das, H.P., Stigter, C.J.","Problems and solutions in using of and coping with weather phenomena in need of tactical decision making and challenges remaining for the use of science to contribute to problem analyses and designing viable solutions in this context: Monocropping",2010,"Applied Agrometeorology",,,,"379","383",,2,10.1007/978-3-540-74698-0_20,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054069820&partnerID=40&md5=310e529a5f49b55c93f668fba16ad216",Book Chapter,Scopus,2-s2.0-80054069820
"Stigter, C.J.","Agrometeorology from science to extension: Assessment of needs and provision of services",2008,"Agriculture, Ecosystems and Environment","126","3-4",,"153","157",,15,10.1016/j.agee.2008.01.025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42049117552&partnerID=40&md5=08c943182950fa06b921fb6c581bb3fa",Review,Scopus,2-s2.0-42049117552
"Rahimi, M., Hajjam, S., Khalili, A., Kamali, G.A., Stigter, C.J.","Risk analysis of first and last frost occurrences in the Central Alborz region, Iran",2007,"International Journal of Climatology","27","3",,"349","356",,11,10.1002/joc.1405,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33947504709&partnerID=40&md5=257d74a8fee620824053c97867e1c3a8",Article,Scopus,2-s2.0-33947504709
"Stigter, C.J.","From basic agrometeorological science to agrometeorological services and information for agricultural decision makers: A simple conceptual and diagnostic framework",2007,"Agricultural and Forest Meteorology","142","2-4",,"91","95",,12,10.1016/j.agrformet.2006.10.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846425747&partnerID=40&md5=3a284f31d05e2ec81e574cd35802f13e",Editorial,Scopus,2-s2.0-33846425747
"Stigter, C.J., Ying, T., Das, H.P., Dawei, Z., Rivero Vega, R.E., Van Viet, N., Bakheit, N.I., Abdullahi, Y.M.","Ccomplying with farmers' conditions and needs using new weather and climate information approaches and technologies",2007,"Managing Weather and Climate Risks in Agriculture",,,,"171","190",,22,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42049106426&partnerID=40&md5=3dbcad79bb68c4b9821268aab9a9b5f6",Conference Paper,Scopus,2-s2.0-42049106426
