Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ely, A., Van Zwanenberg, P., Stirling, A.","Broadening out and opening up technology assessment: Approaches to enhance international development, co-ordination and democratisation",2014,"Research Policy","43","3",,"505","518",,7,10.1016/j.respol.2013.09.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893670855&partnerID=40&md5=bba64481473a477881ec724c3a26e668",Article,Scopus,2-s2.0-84893670855
"Cairns, R., Stirling, A.","'Maintaining planetary systems' or 'concentrating global power?' High stakes in contending framings of climate geoengineering",2014,"Global Environmental Change","28","1",,"25","38",,1,10.1016/j.gloenvcha.2014.04.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904684189&partnerID=40&md5=eb08f19ba0ac0ef811a61b3e52e52756",Article,Scopus,2-s2.0-84904684189
"Stirling, A.","Transforming power: Social science and the politics of energy choices",2014,"Energy Research and Social Science","1",,,"83","95",,23,10.1016/j.erss.2014.02.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904596319&partnerID=40&md5=c162dd6f84b29e18d0f063c924012376",Article,Scopus,2-s2.0-84904596319
"Ely, A., Smith, A., Stirling, A., Leach, M., Scoones, I.","Innovation politics post-Rio+20: Hybrid pathways to sustainability",2013,"Environment and Planning C: Government and Policy","31","6",,"1063","1081",,9,10.1068/c12285j,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890844889&partnerID=40&md5=afa07b1a9550c89d89715b180b3bf677",Article,Scopus,2-s2.0-84890844889
"White, R., Stirling, A.","Sustaining trajectories towards Sustainability: Dynamics and diversity in UK communal growing activities",2013,"Global Environmental Change","23","5",,"838","846",,2,10.1016/j.gloenvcha.2013.06.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886718855&partnerID=40&md5=50fb5dcfeb47a0c3a50f15dbc283704d",Article,Scopus,2-s2.0-84886718855
"Rafols, I., Leydesdorff, L., O'Hare, A., Nightingale, P., Stirling, A.","How journal rankings can suppress interdisciplinary research: A comparison between Innovation Studies and Business & Management",2012,"Research Policy","41","7",,"1262","1282",,75,10.1016/j.respol.2012.03.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861202363&partnerID=40&md5=fd6c67ea039d77afde7dd939af993324",Review,Scopus,2-s2.0-84861202363
"Leach, M., Rockström, J., Raskin, P., Scoones, I., Stirling, A.C., Smith, A., Thompson, J., Millstone, E., Ely, A., Arond, E., Folke, C., Olsson, P.","Transforming innovation for sustainability",2012,"Ecology and Society","17","2",,"","",,36,org/10.5751/ES-04933-170211,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864429099&partnerID=40&md5=67a64bfc3cc816ffb874ac943e4048d1",Article,Scopus,2-s2.0-84864429099
"Sutherland, W.J., Bellingan, L., Bellingham, J.R., Blackstock, J.J., Bloomfield, R.M., Bravo, M., Cadman, V.M., Cleevely, D.D., Clements, A., Cohen, A.S., Cope, D.R., Daemmrich, A.A., Devecchi, C., Anadon, L.D., Denegri, S., Doubleday, R., Dusic, N.R., Evans, R.J., Feng, W.Y., Godfray, H.C.J., Harris, P., Hartley, S.E., Hester, A.J., Holmes, J., Hughes, A., Hulme, M., Irwin, C., Jennings, R.C., Kass, G.S., Littlejohns, P., Marteau, T.M., McKee, G., Millstone, E.P., Nuttall, W.J., Owens, S., Parker, M.M., Pearson, S., Petts, J., Ploszek, R., Pullin, A.S., Reid, G., Richards, K.S., Robinson, J.G., Shaxson, L., Sierra, L., Smith, B.G., Spiegelhalter, D.J., Stilgoe, J., Stirling, A., Tyler, C.P., Winickoff, D.E., Zimmern, R.L.","A collaboratively-derived science-policy research agenda",2012,"PLoS ONE","7","3", e31824,"","",,22,10.1371/journal.pone.0031824,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861027881&partnerID=40&md5=86287df8112ac4670070ab7e19872630",Article,Scopus,2-s2.0-84861027881
"Stirling, A.","Opening up the politics of knowledge and power in bioscience",2012,"PLoS Biology","10","1", e1001233,"","",,19,10.1371/journal.pbio.1001233,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856434697&partnerID=40&md5=dd0e4fc1b333791d190d4eb923fbc86b",Article,Scopus,2-s2.0-84856434697
"Yoshizawa, G., Stirling, A., Suzuki, T.","Multicriteria diversity analysis: Theory, method and an illustrative application",2011,"Handbook of Sustainable Energy",,,,"213","243",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881844337&partnerID=40&md5=432d75278c6ab15ba1375dbcf0cffdf3",Book Chapter,Scopus,2-s2.0-84881844337
"Demeritt, D., Dobson, A., Li, T.M., Leach, M., Scoones, I., Stirling, A.","Pathways to sustainability: Perspectives and provocations",2011,"Environment and Planning A","43","5",,"1226","1237",,2,10.1068/a227sym,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958784517&partnerID=40&md5=c34e5349986ae74286ebab82f9ad1117",Article,Scopus,2-s2.0-79958784517
"Stirling, A.","Pluralising progress: From integrative transitions to transformative diversity",2011,"Environmental Innovation and Societal Transitions","1","1",,"82","88",,23,10.1016/j.eist.2011.03.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958015917&partnerID=40&md5=a014bf20f20d09daf2b9c1dce4f4b133",Article,Scopus,2-s2.0-79958015917
"Stirling, A.","Intolerance: Retain healthy scepticism",2011,"Nature","471","7338",,"305","",,1,10.1038/471305a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952791702&partnerID=40&md5=bf2ff00223d3d0808be9db36855d4e8b",Letter,Scopus,2-s2.0-79952791702
"Stirling, A.","Keep it complex",2010,"Nature","468","7327",,"1029","1031",,92,10.1038/4681029a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650814083&partnerID=40&md5=89ab223b8e79161a4f62de5e5d3a3633",Note,Scopus,2-s2.0-78650814083
