Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Weersink, A., DeVos, G., Stonehouse, P.","Farm return and land price effects from environmental standards and stocking density restrictions",2004,"Agricultural and Resource Economics Review","33","2",,"272","281",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18244408321&partnerID=40&md5=3be55ea10c9caef7317ee6830e86ef05",Article,Scopus,2-s2.0-18244408321
"Rideout, T.C., Fan, M.Z., Cant, J.P., Wagner-Riddle, C., Stonehouse, P.","Excretion of major odor-causing and acidifying compounds in response to dietary supplementation of chicory inulin in growing pigs",2004,"Journal of Animal Science","82","6",,"1678","1684",,23,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2642540292&partnerID=40&md5=b2239e58219f15d2bb3bff78c3b4dc02",Article,Scopus,2-s2.0-2642540292
"Stonehouse, D.P.","Sustainability issues in the agri-food sector in Ontario, Canada",2004,"Journal of Sustainable Agriculture","23","3",,"109","124",,2,10.1300/J064v23n03_09,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2442467025&partnerID=40&md5=694f11471409ce1d744c1d289f47ab5f",Article,Scopus,2-s2.0-2442467025
"De Vos, G.W., Weersink, A., Stonehouse, D.P.","Economic-environmental tradeoffs in swine finishing operations",2003,"Canadian Journal of Agricultural Economics","51","1",,"55","68",,4,10.1111/j.1744-7976.2003.tb00164.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037928912&partnerID=40&md5=3f998e2b231b0fb73002b1edbd874d7a",Article,Scopus,2-s2.0-0037928912
"Stonehouse, D.P., De Vos, G.W., Weersink, A.","Livestock manure systems for swine finishing enterprises",2002,"Agricultural Systems","73","3",,"279","296",,14,10.1016/S0308-521X(01)00082-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036071475&partnerID=40&md5=c0ce431af5103a90854e388f8f78066b",Article,Scopus,2-s2.0-0036071475
"Stonehouse, D.P., Clark, E.A., Ogini, Y.A.","Organic and conventional dairy farm comparisons in Ontario Canada",2001,"Biological Agriculture and Horticulture","19","2",,"115","125",,14,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035201382&partnerID=40&md5=46dcdac73f839a2a0b205274110886cb",Article,Scopus,2-s2.0-0035201382
"Stonehouse, D.P.","A review of WTO and environmental issues",2000,"Journal of Agricultural and Environmental Ethics","13","1-2",,"121","144",,5,10.1023/A:1009572126670,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033708431&partnerID=40&md5=7fb96388fbba8991741e30b10590f1fb",Review,Scopus,2-s2.0-0033708431
"Ogini, Y.O., Stonehouse, D.P., Clark, E.A.","Comparison of organic and conventional dairy farms in Ontario",1999,"American Journal of Alternative Agriculture","14","3",,"122","128",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033384186&partnerID=40&md5=b2b2e9136be6f0dfe6e598e82e6a3f2d",Article,Scopus,2-s2.0-0033384186
"Stonehouse, D.P.","Economic evaluation of on-farm conservation practices in the great lakes region of North America",1999,"Environmetrics","10","4",,"505","520",,8,10.1002/(SICI)1099-095X(199907/08)10:4<505::AID-ENV371>3.0.CO;2-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032841594&partnerID=40&md5=7ee8706594cd972789d14d3d3695d967",Article,Scopus,2-s2.0-0032841594
"Stonehouse, D.P.","Reducing pollution from Canada's farms",1997,"Forum for Applied Research and Public Policy","12","4",,"102","107",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0039810842&partnerID=40&md5=13be1608fb956788812dd5e1b01faea2",Article,Scopus,2-s2.0-0039810842
"Stonehouse, D.P., Giraldez, C., Van Vuuren, W.","Holistic policy approaches to natural resource management and environmental care",1997,"Journal of Soil and Water Conservation","52","1",,"22","25",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2142665664&partnerID=40&md5=67b2fa5b817fc19f1f4e7dee373c8d62",Article,Scopus,2-s2.0-2142665664
"Stonehouse, D.P.","A new modus operandi for the agricultural economics profession",1997,"Journal of Agricultural and Environmental Ethics","10","1",,"55","67",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2342522158&partnerID=40&md5=e59ee7cfef96f073798b7dc107716c5d",Article,Scopus,2-s2.0-2342522158
"Van Vuuren, W., Giraldez, J.C., Stonehouse, D.P.","The social returns of agricultural practices for promoting water quality improvement",1997,"Canadian Journal of Agricultural Economics","45","3",,"219","234",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031350778&partnerID=40&md5=d5a842f03ce4db69ff8cc6e144e875c8",Article,Scopus,2-s2.0-0031350778
"Stonehouse, D.P.","Socio-economics of alternative tillage systems",1997,"Soil and Tillage Research","43","1-2",,"109","130",,16,10.1016/S0167-1987(97)00037-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031472694&partnerID=40&md5=c0894e0db7bd208128a9f2b5c1535fbc",Conference Paper,Scopus,2-s2.0-0031472694
"Stonehouse, D.P.","A targeted policy approach to inducing improved rates of conservation compliance in agriculture",1996,"Canadian Journal of Agricultural Economics","44","2",,"105","119",,20,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17644370400&partnerID=40&md5=40e97c13061ffc7a037c1c70078a87e3",Article,Scopus,2-s2.0-17644370400
"Stonehouse, D.P., Weise, S.F., Sheardown, T., Gill, R.S., Swanton, C.J.","A case study approach to comparing weed management strategies under alternative farming systems in Ontario",1996,"Canadian Journal of Agricultural Economics","44","1",,"81","99",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17644383399&partnerID=40&md5=99b61126ab8906a9b2f2b674a4ce0ef5",Review,Scopus,2-s2.0-17644383399
"Clements, D.R., Weise, S.F., Brown, R., Stonehouse, D.P., Hume, D.J., Swanton, C.J.","Energy analysis of tillage and herbicide inputs in alternative weed management systems",1995,"Agriculture, Ecosystems and Environment","52","2-3",,"119","128",,52,10.1016/0167-8809(94)00546-Q,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0029137353&partnerID=40&md5=cdbcc168fb296daac404b098a4e57e5c",Article,Scopus,2-s2.0-0029137353
"Stonehouse, D.P.","Profitability of soil and water conservation in Canada: a review",1995,"Journal of Soil & Water Conservation","50","2",,"215","219",,15,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028803583&partnerID=40&md5=2fd7279f8fedcddc787ab47388cfb358",,Scopus,2-s2.0-0028803583
"Stonehouse, D.P., Bohl, M.J.","Selected government policies for encouraging soil conservation on Ontario cash-cropping farms",1993,"Journal of Soil & Water Conservation","48","4",,"343","349",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027721867&partnerID=40&md5=ff7cad3ef80249440063d43f8f925a19",,Scopus,2-s2.0-0027721867
"Duff, S.N., Stonehouse, D.P., Blackburn, D.J., Hilts, S.G.","A framework for targeting soil conservation policy",1992,"Journal of Rural Studies","8","4",,"399","410",,4,10.1016/0743-0167(92)90053-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027047663&partnerID=40&md5=2516b77f315b1fdecb4970c06ffdebb0",Article,Scopus,2-s2.0-0027047663
"Duff, S.N., Stonehouse, D.P., Hilts, S.G., Blackburn, D.J.","Soil conservation behavior and attitudes among Ontario farmers toward alternative government policy responses",1991,"Journal of Soil & Water Conservation","46","3",,"215","219",,18,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026291801&partnerID=40&md5=f751cd29618348da8da40ba903615ba2",,Scopus,2-s2.0-0026291801
"Stonehouse, D.P.","The economics of tillage for large-scale mechanized farms",1991,"Soil and Tillage Research","20","2-4",,"333","351",,12,10.1016/0167-1987(91)90047-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0344487866&partnerID=40&md5=4f97fe99cfda130d5f08dd0cd9052671",Article,Scopus,2-s2.0-0344487866
"Stonehouse, D.P., Bohl, M.","Land degradation issues in Canadian agriculture",1990,"Canadian Public Policy/Analyse de Politiques","16","4",,"418","431",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025691764&partnerID=40&md5=33ce1b61735375381275b6f668ce37bf",,Scopus,2-s2.0-0025691764
"Stonehouse, D.P., Kay, B.D., Baffoe, J.K., Johnston-Drury, D.L.","Economic choices of crop sequences on cash-cropping farms with alternative crop yield trends",1988,"Journal of Soil & Water Conservation","43","3",,"270","272",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024162594&partnerID=40&md5=9ac5d592414b2d9c9c173b70be36aa31",,Scopus,2-s2.0-0024162594
"Zantinge, A.W., Stonehouse, D.P., Ketcheson, J.W.","Resource requirements, yields and profits for monocultural corn with alternative tillage systems in Southern Canada",1986,"Soil and Tillage Research","8","C",,"201","209",,7,10.1016/0167-1987(86)90334-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2342448246&partnerID=40&md5=36abfa6f8aed689add2b8c5136d12730",Article,Scopus,2-s2.0-2342448246
"Forster, T.G., Mowat, D.N., Jones, S.D.M., Wilton, J.W., Stonehouse, D.P.","Systems for producing leaner beef",1984,"Agricultural Systems","15","3",,"171","188",,,10.1016/0308-521X(84)90026-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-48749135694&partnerID=40&md5=dded22aaf34397fbddf76ba33bd07f50",Article,Scopus,2-s2.0-48749135694
