Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sundaramurthy, V.T.","The impacts of the transgenes on the modified crops, non-target soil and terrestrial organisms",2010,"African Journal of Biotechnology","9","54",,"9163","9176",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78651387595&partnerID=40&md5=8dc1d626af7f720df88f06ef96601644",Article,Scopus,2-s2.0-78651387595
"Sundaramurthy, V.T.","The integrated insect management system and its effects on the environment and productivity of cotton",2002,"Outlook on Agriculture","31","2",,"95","105",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036039678&partnerID=40&md5=abe26648d786f885969184aa9034e748",Article,Scopus,2-s2.0-0036039678
"Sundaramurthy, V.T., Gahukar, R.T.","Integrated management of cotton insect pests in India",1998,"Outlook on Agriculture","27","4",,"261","269",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0040581429&partnerID=40&md5=ec47c52dd16eac38d925a8b963fa0aa1",Article,Scopus,2-s2.0-0040581429
"Kranthi, K.R., Armes, N.J., Rao, N.G.V., Raj, S., Sundaramurthy, V.T.","Seasonal dynamics of metabolic mechanisms mediating pyrethroid resistance in Helicoverpa armigera in central India",1997,"Pesticide Science","50","2",,"91","98",,40,10.1002/(SICI)1096-9063(199706)50:2<91::AID-PS570>3.0.CO;2-X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030904831&partnerID=40&md5=dc9d531fc32f3c541f54d8c07ff98051",Article,Scopus,2-s2.0-0030904831
"Sundaramurthy, V.T.","Upsurgence of whitefly Bemisia tabaci Gen. in the cotton ecosystem in India",1992,"Outlook on Agriculture","21","2",,"109","115",,13,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027039648&partnerID=40&md5=088a7bc04a18a6cca45bd35e034eb147",,Scopus,2-s2.0-0027039648
"Sundaramurthy, V.T., Basu, A.K.","Management of cotton insect pests in polycrop systems, in India.",1985,"Outlook on Agriculture","14","2",,"79","82",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0022233072&partnerID=40&md5=d4d29d787a95565d40700e12fdc998ec",,Scopus,2-s2.0-0022233072
"Sundaramurthy, V.T., Santhanakrishnan, K.","The effect of population density of parasite Perisierola nephantidis [Hym.: Bethylidae] on the mortality of coconut caterpillar, Nephantis serinops [Lep.: Cryptophagidae]",1979,"Entomophaga","24","2",,"115","117",,,10.1007/BF02375124,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250263984&partnerID=40&md5=254d4c5ccb293824dd03cdab1f5fdf03",Article,Scopus,2-s2.0-34250263984
"Sundaramurthy, V.T.","Effect of insect growth regulators on growth and differentiation of the tobacco caterpillar Spodoptera litura FB. (Noctuidae: Lepidoptera)",1976,"Phytoparasitica","4","1",,"19","24",,3,10.1007/BF02981075,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0008557729&partnerID=40&md5=804a5fd83a7b9458a99a0ceb98b34681",Article,Scopus,2-s2.0-0008557729
"Sundaramurthy, V.T.","Production of radioactive polyhedra in nuclear polyhedrosis of Spodoptera litura F.",1973,"Die Naturwissenschaften","60","9",,"433","",,1,10.1007/BF00623564,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015886008&partnerID=40&md5=4ce01073dc0a511094084585fa49d892",Article,Scopus,2-s2.0-0015886008
"Sundaramurthy, V.T.","Labelling the adults of the tobacco caterpillar Spodoptera littoralis (Boisd.) (Prodenia littura F.; noctuidae: Lepidoptera) with P32",1971,"Experientia","27","6",,"694","",,,10.1007/BF02136967,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0015074532&partnerID=40&md5=e5c31bdc54b7ae8cb3eb3bd7adfe044e",Article,Scopus,2-s2.0-0015074532
