Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Mesnage, R., Arno, M., Costanzo, M., Malatesta, M., Séralini, G.-E., Antoniou, M.N.","Transcriptome profile analysis reflects rat liver and kidney damage following chronic ultra-low dose Roundup exposure",2015,"Environmental Health: A Global Access Science Source","14","1", 70,"","",,,10.1186/s12940-015-0056-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940178865&partnerID=40&md5=2ca05cd3d09940cf7cdfaed165d2dab6",Article,Scopus,2-s2.0-84940178865
"Mesnage, R., Defarge, N., Spiroux de Vendômois, J., Séralini, G.-E.","Potential toxic effects of glyphosate and its commercial formulations below regulatory limits",2015,"Food and Chemical Toxicology","84",,,"133","153",,,10.1016/j.fct.2015.08.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940670742&partnerID=40&md5=8c4b7dd114d52b07b43eaf2a5953117b",Review,Scopus,2-s2.0-84940670742
"Mesnage, R., Defarge, N., Rocque, L.-M., De Vendômois, J.S., Séralini, G.-E.","Laboratory rodent diets contain toxic levels of environmental contaminants: Implications for regulatory tests",2015,"PLoS ONE","10","7", e0128429,"","",,2,10.1371/journal.pone.0128429,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940062440&partnerID=40&md5=d5c8ec9fee2700ce71097a2e7b59fc7e",Article,Scopus,2-s2.0-84940062440
"Gress, S., Lemoine, S., Séralini, G.-E., Puddu, P.E.","Glyphosate-Based Herbicides Potently Affect Cardiovascular System in Mammals: Review of the Literature",2015,"Cardiovascular Toxicology","15","2",,"117","126",,1,10.1007/s12012-014-9282-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925497276&partnerID=40&md5=2929e6e3a840122c2fe3ac46848d006c",Article,Scopus,2-s2.0-84925497276
"Gress, S., Lemoine, S., Puddu, P.-E., Séralini, G.-E., Rouet, R.","Cardiotoxic Electrophysiological Effects of the Herbicide Roundup® in Rat and Rabbit Ventricular Myocardium In Vitro",2014,"Cardiovascular Toxicology","15","4",,"324","335",,1,10.1007/s12012-014-9299-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942364219&partnerID=40&md5=4d84f4c3b221f62096f3114f272d062a",Article,Scopus,2-s2.0-84942364219
"Mesnage, R., Defarge, N., Spiroux de Vendômois, J., Séralini, G.-E.","Letter to the Editor regarding ""Delaney et al., 2014"": uncontrolled GMOs and their associated pesticides make the conclusions unreliable",2014,"Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association","72",,,"322","",,,10.1016/j.fct.2014.07.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929939393&partnerID=40&md5=6ba9abd6857e27b2d0d293d29982a168",Letter,Scopus,2-s2.0-84929939393
"Mesnage, R., Defarge, N., Spiroux de VendÔmois, J., Séralini, G.-E.","Letter to the Editor regarding ""Delaney et al., 2014"": Uncontrolled GMOs and their associated pesticides make the conclusions unreliable",2014,"Food and Chemical Toxicology",,,,"","",,2,10.1016/j.fct.2014.07.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904526347&partnerID=40&md5=cd2772c7e822e9a6d1df1eb593377c8f",Article in Press,Scopus,2-s2.0-84904526347
"Mesnage, R., Séralini, G.-E.","The Need for a Closer Look at Pesticide Toxicity during GMO Assessment",2014,"Practical Food Safety: Contemporary Issues and Future Directions",,,,"167","189",,,10.1002/9781118474563.ch10,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927572596&partnerID=40&md5=ca83d71968567499f1254bc0ec240b4b",Book Chapter,Scopus,2-s2.0-84927572596
"Séralini, G.-E., Mesnage, R., Defarge, N., Spiroux de VendÔmois, J.","Conclusiveness of toxicity data and double standards",2014,"Food and Chemical Toxicology","69",,,"357","359",,4,10.1016/j.fct.2014.04.018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902078716&partnerID=40&md5=0a072b393ae70efccd20db62612e5fff",Letter,Scopus,2-s2.0-84902078716
"Cassault-Meyer, E., Gress, S., Séralini, G.-E., Galeraud-Denis, I.","An acute exposure to glyphosate-based herbicide alters aromatase levels in testis and sperm nuclear quality",2014,"Environmental Toxicology and Pharmacology","38","1",,"131","140",,2,10.1016/j.etap.2014.05.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902331782&partnerID=40&md5=5311c8c1d9d1ab74eb789dabd711a7c4",Article,Scopus,2-s2.0-84902331782
