Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Chi, C., Zhang, Q., Mao, Y., Kou, D., Qiu, J., Ye, J., Wang, J., Wang, Z., Du, Y., Tian, J.","Increased precision of orthotopic and metastatic breast cancer surgery guided by matrix metalloproteinase-activatable near-infrared fluorescence probes",2015,"Scientific Reports","5",, 14197,"","",,,10.1038/srep14197,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942279014&partnerID=40&md5=2327f3ce429fb2083dd0b61365fb8cf3",Article,Scopus,2-s2.0-84942279014
"Liu, H., Yang, X., Song, T., Bao, C., Shi, L., Hu, Z., Wang, K., Tian, J.","Multispectral hybrid Cerenkov luminescence tomography based on the finite element SPn method",2015,"Journal of Biomedical Optics","20","8", 086007,"","",,,10.1117/1.JBO.20.8.086007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939240136&partnerID=40&md5=05f3ee44fcefaccabd4ef202ba0a491e",Article,Scopus,2-s2.0-84939240136
"Mu, W., Chen, Z., Liang, Y., Shen, W., Yang, F., Dai, R., Wu, N., Tian, J.","Staging of cervical cancer based on tumor heterogeneity characterized by texture features on 18F-FDG PET images",2015,"Physics in Medicine and Biology","60","13",,"5123","5139",,,10.1088/0031-9155/60/13/5123,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933574372&partnerID=40&md5=533c56c97c50d1efab428fc960fe5bab",Article,Scopus,2-s2.0-84933574372
"An, Y., Liu, J., Zhang, G., Ye, J., Du, Y., Mao, Y., Chi, C., Tian, J.","A Novel Region Reconstruction Method for Fluorescence Molecular Tomography",2015,"IEEE Transactions on Biomedical Engineering","62","7", 7046336,"1818","1826",,2,10.1109/TBME.2015.2404915,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933047595&partnerID=40&md5=4e7d989fa531fadc16802727541ce63d",Article,Scopus,2-s2.0-84933047595
"Hu, Z., Qu, Y., Wang, K., Zhang, X., Zha, J., Song, T., Bao, C., Liu, H., Wang, Z., Wang, J., Liu, Z., Liu, H., Tian, J.","In vivo nanoparticle-mediated radiopharmaceutical-excited fluorescence molecular imaging",2015,"Nature Communications","6",, 7560,"","",,1,10.1038/ncomms8560,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934755353&partnerID=40&md5=5d2d654b32fac77065a990065505d2cf",Article,Scopus,2-s2.0-84934755353
"Zhao, F., Liang, J., Chen, X., Liu, J., Chen, D., Yang, X., Tian, J.","Quantitative analysis of vascular parameters for micro-CT imaging of vascular networks with multi-resolution",2015,"Medical and Biological Engineering and Computing",,,,"","",14,,10.1007/s11517-015-1337-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933060115&partnerID=40&md5=03e965e553d8553c631f62de33527c3b",Article in Press,Scopus,2-s2.0-84933060115
"Yin, J., Yuan, K., Feng, D., Cheng, J., Li, Y., Cai, C., Bi, Y., Sha, S., Shen, X., Zhang, B., Xue, T., Qin, W., Yu, D., Lu, X., Tian, J.","Inhibition control impairments in adolescent smokers: electrophysiological evidence from a Go/NoGo study",2015,"Brain Imaging and Behavior",,,,"","",9,,10.1007/s11682-015-9418-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931843791&partnerID=40&md5=3c297ab14b5b34f1acb5416dc4cb803e",Article in Press,Scopus,2-s2.0-84931843791
"Cao, X., Chen, X., Kang, F., Zhan, Y., Cao, X., Wang, J., Liang, J., Tian, J.","Intensity Enhanced Cerenkov Luminescence Imaging Using Terbium-Doped Gd<inf>2</inf>O<inf>2</inf>S Microparticles",2015,"ACS Applied Materials and Interfaces","7","22",,"11775","11782",,,10.1021/acsami.5b00432,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935860324&partnerID=40&md5=f68fb2e9a20d445dc9fb958982de2951",Article,Scopus,2-s2.0-84935860324
"Dong, M., Li, J., Shi, X., Gao, S., Fu, S., Liu, Z., Liang, F., Gong, Q., Shi, G., Tian, J.","Altered baseline brain activity in experts measured by amplitude of low frequency fluctuations (ALFF): A resting state fMRI study using expertise model of acupuncturists",2015,"Frontiers in Human Neuroscience","9","MAR", 99,"","",10,,10.3389/fnhum.2015.00099,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933671800&partnerID=40&md5=eb5c326fcb3159b662a6d70f7272c342",Article,Scopus,2-s2.0-84933671800
"Cai, C., Yuan, K., Yin, J., Feng, D., Bi, Y., Li, Y., Yu, D., Jin, C., Qin, W., Tian, J.","Striatum morphometry is associated with cognitive control deficits and symptom severity in internet gaming disorder",2015,"Brain Imaging and Behavior",,,,"","",9,,10.1007/s11682-015-9358-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923675244&partnerID=40&md5=fa3d621ad4b1481f015aa76beb8f44d7",Article in Press,Scopus,2-s2.0-84923675244
