Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Lammerts Van Bueren, E.T., Verhoog, H., Tiemens-Hulscher, M., Struik, P.C., Haring, M.A.","Organic agriculture requires process rather than product evaluation of novel breeding techniques",2007,"NJAS - Wageningen Journal of Life Sciences","54","4",,"401","412",,21,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34147203934&partnerID=40&md5=e98bca552d014cda15d115d33843d2f8",Article,Scopus,2-s2.0-34147203934
"Verhoog, H., Lammerts Van Bueren, E.T., Matze, M., Baars, T.","The value of 'naturalness' in organic agriculture",2007,"NJAS - Wageningen Journal of Life Sciences","54","4",,"333","345",,15,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34147213444&partnerID=40&md5=6046829838e047516496f93c32f69cd0",Article,Scopus,2-s2.0-34147213444
"Verhoog, H.","Organic agriculture versus genetic engineering",2007,"NJAS - Wageningen Journal of Life Sciences","54","4",,"387","400",,13,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34147200642&partnerID=40&md5=af09e32f8a5d7f134cc44848f5441c26",Article,Scopus,2-s2.0-34147200642
"De Wit, J., Verhoog, H.","Organic values and the conventionalization of organic agriculture",2007,"NJAS - Wageningen Journal of Life Sciences","54","4",,"449","462",,28,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34147214949&partnerID=40&md5=ca4b7964a9478b712f997710cbd48ccf",Article,Scopus,2-s2.0-34147214949
"Verhoog, H.","The tension between common sense and scientific perception of animals: Recent developments in research on animal integrity",2007,"NJAS - Wageningen Journal of Life Sciences","54","4",,"361","373",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34147200975&partnerID=40&md5=ba59929da96c1094011ca953a82356a8",Article,Scopus,2-s2.0-34147200975
"Verhoog, H., de Wit, J.","Organic values and animal production",2006,"Ethics and the Politics of Food: Preprints of the 6th Congress of the European Society for Agricultural and Food Ethics",,,,"90","94",,1,10.3920/978-90-8686-575-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899379174&partnerID=40&md5=9261fc18c20c5ea6afda43cce45a6ed5",Book Chapter,Scopus,2-s2.0-84899379174
"Verhoog, H.","Naturalness and the genetic modification of animals",2003,"Trends in Biotechnology","21","7",,"294","297",,25,10.1016/S0167-7799(03)00142-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038771158&partnerID=40&md5=c34f48637f9c8126b1a1b4636e50256e",Review,Scopus,2-s2.0-0038771158
"Verhoog, H., Matze, M., Van Bueren, E.L., Baars, T.","The role of the concept of the natural (naturalness) in organic farming",2003,"Journal of Agricultural and Environmental Ethics","16","1",,"29","49",,62,10.1023/A:1021714632012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037215085&partnerID=40&md5=6d3f19f8f539f2495fb42fc733edf14f",Article,Scopus,2-s2.0-0037215085
"Verhoog, H.","The concept of intrinsic value and transgenic animals",1992,"Journal of Agricultural and Environmental Ethics","5","2",,"147","160",,33,10.1007/BF01966357,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027035141&partnerID=40&md5=ca0e8ec1b6c728b31c40b910e5ae94ad",Article,Scopus,2-s2.0-0027035141
"Verhoog, H.","The scientific perception of animals as object.",1991,"Between the species : a journal of ethics.","7","4",,"208","212",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644661208&partnerID=40&md5=7e110703c014eecad02f011867d6a1f4",Article,Scopus,2-s2.0-33644661208
"Visser, M.B., Verhoog, H.","Ethical evaluation of veterinary research [Ethische beoordeling van diergeneeskundig onderzoek.]",1988,"Tijdschrift voor diergeneeskunde","113","19",,"1064","1075",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024094746&partnerID=40&md5=680495e83b5eb78e20fdc0fa482b4778",Article,Scopus,2-s2.0-0024094746
"Verhoog, H.","Social and ethical aspects of biology part of theoretical biology?",1975,"Acta Biotheoretica","24","1-2",,"22","34",,1,10.1007/BF01556738,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250398461&partnerID=40&md5=d49c693e4e04d23341b62f5f63fc81ff",Article,Scopus,2-s2.0-34250398461
"Van Laar, W., Verhoog, H.","The relation between philosophy of science and biology exemplified by the problem of explanation",1972,"Acta Biotheoretica","21","3-4",,"274","301",,2,10.1007/BF01557182,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34250448834&partnerID=40&md5=3d5f4824bbf9dbc30f9fe11723d51c45",Article,Scopus,2-s2.0-34250448834
