Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Forge, T., Muehlchen, A., Hackenberg, C., Neilsen, G., Vrain, T.","Increased nutrient uptake and reduced damage by plant-parasitic nematodes result from inoculation of Ottawa 3 apple rootstock with Vesicular-Arbuscular Mycorrhizal fungi",2001,"Acta Horticulturae","564",,,"209","215",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879773946&partnerID=40&md5=c4ae3c88b75b4e316b5f336bb9c97bbc",Conference Paper,Scopus,2-s2.0-84879773946
"Forge, T., Muehlchen, A., Hackenberg, C., Neilsen, G., Vrain, T.","Effects of preplant inoculation of apple (Malus domestica Borkh.) with arbuscular mycorrhizal fungi on population growth of the root-lesion nematode, Pratylenchus penetrans",2001,"Plant and Soil","236","2",,"185","196",,14,10.1023/A:1012743028974,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035660549&partnerID=40&md5=4b9cf6d8a81594397942e74d9c4d0409",Article,Scopus,2-s2.0-0035660549
"Visal-Shah, S., Vrain, T.C., Yelle, S., Nguyen-Quoc, B., Michaud, D.","An electroblotting, two-step procedure for the detection of proteinases and the study of proteinase/inhibitor complexes in gelatin-containing polyacrylamide gels",2001,"Electrophoresis","22","13",,"2646","2652",,21,10.1002/1522-2683(200108)22:13<2646::AID-ELPS2646>3.0.CO;2-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034857353&partnerID=40&md5=b892cfa38bd3a56201145cf17ed9b7f6",Article,Scopus,2-s2.0-0034857353
"Jonathan, E.I., Barker, K.R., Abdel-Alim, F.F., Vrain, T.C., Dickson, D.W.","Biological control of Meloidogyne incognita on tomato and banana with rhizobacteria, actinomycetes, and Pasteuria penetrans",2000,"Nematropica","30","2",,"231","240",,17,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034554626&partnerID=40&md5=e2ada4995dfff88c1207a59870958f61",Article,Scopus,2-s2.0-0034554626
"Hackenberg, C., Muehlchen, A., Forge, T., Vrain, T.","Pseudomonas chlororaphis Strain Sm3, bacterial antagonist of Pratylenchus penetrans",2000,"Journal of Nematology","32","2",,"183","189",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034195367&partnerID=40&md5=f0e9734ba5e7e1315a3573a2fe28301f",Article,Scopus,2-s2.0-0034195367
"Waeyenberge, L., Ryss, A., Moens, M., Pinochet, J., Vrain, T.C.","Molecular characterisation of 18 Pratylenchus species using rDNA restriction fragment length polymorphism",2000,"Nematology","2","2",,"135","142",,71,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034117119&partnerID=40&md5=52eb89b9594e5986db6373af2cb5b657",Article,Scopus,2-s2.0-0034117119
"Vrain, T.C.","Engineering natural and synthetic resistance for nematode management",1999,"Journal of Nematology","31","4",,"424","436",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033235879&partnerID=40&md5=394ab806900a2eadd52856727d6a3547",Article,Scopus,2-s2.0-0033235879
"Chan, C.K., Petersen, D.J., Vrain, T.C.","DNA fingerprinting of single aphid embryos by random amplified polymorphic DNA polymerase chain reaction (RAPD-PCR)",1999,"Canadian Entomologist","131","2",,"229","230",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032961219&partnerID=40&md5=4e0e6581777207c855ac588f8f10ee88",Note,Scopus,2-s2.0-0032961219
"Hackenberg, C., Vrain, T.C., Sikora, R.A.","Rhizosphere colonization pattern of Agrobacterium radiobacter strain G12A, an antagonistic rhizobacterium to the potato cyst nematode Globodera pallida",1999,"Microbiological Research","154","1",,"57","61",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032908506&partnerID=40&md5=3533b9dd789b7624290a55bd699edd90",Article,Scopus,2-s2.0-0032908506
"Sweeney, J., Gesner, G., Bennett, R., Vrain, T.","Effect of Mulches on Persistence of Entomopathogenic Nematodes (Steinernema spp.) and Infection of Strobilomyia neanthracina (Diptera: Anthomyiidae) in Field Trials",1998,"Journal of Economic Entomology","91","6",,"1320","1330",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001363990&partnerID=40&md5=adeb08e747551f811efe0f09a9f0998e",Article,Scopus,2-s2.0-0001363990
"Blok, V.C., Malloch, G., Harrower, B., Phillips, M.S., Vrain, T.C.","Intraspecific variation in Ribosomal DNA in populations of the potato cyst nematode Globodera pallida",1998,"Journal of Nematology","30","2",,"262","274",,61,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032375478&partnerID=40&md5=bca3c238a7533de17d06e7f69ee49bb9",Article,Scopus,2-s2.0-0032375478
"Forge, T.A., DeYoung, R., Vrain, T.C.","Temporal changes in the vertical distribution of Pratylenchus penetrans under raspberry",1998,"Journal of Nematology","30","2",,"179","183",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032375860&partnerID=40&md5=80e8fc53b28a33de2eb4e50f871f2c20",Article,Scopus,2-s2.0-0032375860
