Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Flipphi, M., Oestreicher, N., Nicolas, V., Guitton, A., Vélot, C.","The Aspergillus nidulans acuL gene encodes a mitochondrial carrier required for the utilization of carbon sources that are metabolized via the TCA cycle",2014,"Fungal Genetics and Biology","68",,,"9","22",,2,10.1016/j.fgb.2014.04.012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901504387&partnerID=40&md5=065c544a496cf7762646bde035e32655",Article,Scopus,2-s2.0-84901504387
"Vélot, C.","Genetically menacing organisms? [Organismes génétiquement menaçants?]",2012,"Biofutur",,"331",,"52","53",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860119166&partnerID=40&md5=02b61e9c4ad85e6349237dcd0b6a666c",Note,Scopus,2-s2.0-84860119166
"de Vendômois, J.S., Cellier, D., Vélot, C., Clair, E., Mesnage, R., Séralini, G.-E.","Debate on GMOs health risks after statistical findings in regulatory tests",2010,"International Journal of Biological Sciences","6","6",,"590","598",,24,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650069454&partnerID=40&md5=7cdf55e4033d2687f3064b5b90e7ebdf",Article,Scopus,2-s2.0-78650069454
"Robellet, X., Oestreicher, N., Guitton, A., Vélot, C.","Gene silencing of transgenes inserted in the Aspergillus nidulans alcM and/or alcS loci",2010,"Current Genetics","56","4",,"341","348",,4,10.1007/s00294-010-0303-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956189341&partnerID=40&md5=343c4a753a18f96d5362ebdfa128ef24",Article,Scopus,2-s2.0-77956189341
"Robellet, X., Flipphi, M., Pégot, S., MacCabe, A.P., Vélot, C.","AcpA, a member of the GPR1/FUN34/YaaH membrane protein family, is essential for acetate permease activity in the hyphal fungus Aspergillus nidulans",2008,"Biochemical Journal","412","3",,"485","493",,10,10.1042/BJ20080124,"http://www.scopus.com/inward/record.url?eid=2-s2.0-45349103446&partnerID=40&md5=2b5f2f1a4df4aee4b05674b10fdb919c",Article,Scopus,2-s2.0-45349103446
"Panoff, J.-M., Velot, C., Séralini, G.-É.","Horizontal gene transfer [Les transferts génétiques horizontaux]",2006,"Biofutur",,"269",,"53","54",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748547742&partnerID=40&md5=cfdedb830f495065202e9032ebd64d9e",Short Survey,Scopus,2-s2.0-33748547742
"Flipphi, M., Robellet, X., Dequier, E., Leschelle, X., Felenbok, B., Vélot, C.","Functional analysis of alcS, a gene of the alc cluster in Aspergillus nidulans",2006,"Fungal Genetics and Biology","43","4",,"247","260",,4,10.1016/j.fgb.2005.12.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33645859607&partnerID=40&md5=475283d08298703c1eb511218682715c",Article,Scopus,2-s2.0-33645859607
"Ruprich-Robert, G., Zickler, D., Berteaux-Lecellier, V., Vélot, C., Picard, M.","Lack of mitochondrial citrate synthase discloses a new meiotic checkpoint in a strict aerobe",2002,"EMBO Journal","21","23",,"6440","6451",,13,10.1093/emboj/cdf632,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037011061&partnerID=40&md5=f07f7b7d0c9749189a8968dad7ca8a47",Article,Scopus,2-s2.0-0037011061
"Vélot, C., Srere, P.A.","Reversible transdominant inhibition of a metabolic pathway. In vivo evidence of interaction between the sequential tricarboxylic acid cycle enzymes in yeast",2000,"Journal of Biological Chemistry","275","17",,"12926","12933",,34,10.1074/jbc.275.17.12926,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037788005&partnerID=40&md5=7eed211388a63a77f9792ad403127492",Article,Scopus,2-s2.0-0037788005
"Vélot, C., Lebreton, S., Morgunov, I., Usher, K.C., Srere, P.A.","Metabolic effects of mislocalized mitochondrial and peroxisomal citrate synthases in yeast Saccharomyces cerevisiae",1999,"Biochemistry","38","49",,"16195","16204",,22,10.1021/bi991695n,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0040884299&partnerID=40&md5=9acb973c8317ab988456df17c90b8666",Article,Scopus,2-s2.0-0040884299
