Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Parvathi, P., Waibel, H.","Organic Agriculture and Fair Trade: A Happy Marriage? A Case Study of Certified Smallholder Black Pepper Farmers in India",2016,"World Development","77",,,"206","220",,,10.1016/j.worlddev.2015.08.027,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941985146&partnerID=40&md5=aa65da202dc5bef16bd57687a731580b",Article,Scopus,2-s2.0-84941985146
"Gödecke, T., Waibel, H.","Does the underlying definition of household impair programme targeting?",2015,"Journal of Development Effectiveness",,,,"","",18,,10.1080/19439342.2015.1079793,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939540426&partnerID=40&md5=c3dfde072586a4b0abf355811fb81582",Article in Press,Scopus,2-s2.0-84939540426
"Parvathi, P., Waibel, H.","Adoption and impact of black pepper certification in India",2015,"Quarterly Journal of International Agriculture","54","2",,"133","161",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937959504&partnerID=40&md5=6da77949747c1c6658a02a00b6d22154",Article,Scopus,2-s2.0-84937959504
"Klasen, S., Waibel, H.","Vulnerability to Poverty in South-East Asia: Drivers, Measurement, Responses, and Policy Issues",2014,"World Development",,,,"","",,,10.1016/j.worlddev.2014.01.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894544128&partnerID=40&md5=44e1594ce950a31c9ea53d91835cb1b5",Article in Press,Scopus,2-s2.0-84894544128
"Liebenehm, S., Waibel, H.","Simultaneous estimation of risk and time preferences among small-scale cattle farmers in West Africa",2014,"American Journal of Agricultural Economics","96","5",,"1420","1438",,,10.1093/ajae/aau056,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942333107&partnerID=40&md5=19515bfe3ccf8c7b52b366dea142b20e",Article,Scopus,2-s2.0-84942333107
"Ehlert, C.R., Mithöfer, D., Waibel, H.","Worker welfare on Kenyan export vegetable farms",2014,"Food Policy","46",,,"66","73",,2,10.1016/j.foodpol.2014.01.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896304524&partnerID=40&md5=2a643f96109988e4c0753f76dc587c76",Article,Scopus,2-s2.0-84896304524
"Gloede, O., Menkhoff, L., Waibel, H.","Shocks, Individual Risk Attitude, and Vulnerability to Poverty among Rural Households in Thailand and Vietnam",2013,"World Development",,,,"","",,,10.1016/j.worlddev.2013.11.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890704529&partnerID=40&md5=ac9ce22ee15f8f115e7b24f67e51907c",Article in Press,Scopus,2-s2.0-84890704529
"Phung, T.D., Hardeweg, B., Praneetvatakul, S., Waibel, H.","Non-Sampling Error and Data Quality: What Can We Learn from Surveys to Collect Data for Vulnerability Measurements?",2013,"World Development",,,,"","",,,10.1016/j.worlddev.2013.11.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890408385&partnerID=40&md5=d8c49c3a441884936890d3f44c270440",Article in Press,Scopus,2-s2.0-84890408385
"Hohfeld, L., Waibel, H.","Investments of rural households in northeast Thailand and the future of small scale farming",2013,"Quarterly Journal of International Agriculture","52","3",,"217","236",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887964367&partnerID=40&md5=cc766def1e7cb7110d824246382287b2",Article,Scopus,2-s2.0-84887964367
"Parvathi, P., Waibel, H.","Fair Trade and Organic Agriculture in Developing Countries: A Review",2013,"Journal of International Food and Agribusiness Marketing","25","4",,"311","323",,2,10.1080/08974438.2013.736043,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84882262679&partnerID=40&md5=262b6d299b8a12565b4323dafb403c47",Article,Scopus,2-s2.0-84882262679
"Macharia, I., Mithöfer, D., Waibel, H.","Pesticide handling practices by vegetable farmer in Kenya",2013,"Environment, Development and Sustainability","15","4",,"887","902",,,10.1007/s10668-012-9417-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879781497&partnerID=40&md5=e9980b00994552c64e855e7f6cc02ac2",Article,Scopus,2-s2.0-84879781497
"Hardeweg, B., Menkhoff, L., Waibel, H.","Experimentally validated survey evidence on individual risk attitudes in rural Thailand",2013,"Economic Development and Cultural Change","61","4",,"859","888",,5,10.1086/670378,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879824055&partnerID=40&md5=bea6639b3a5630d410deae9062271800",Article,Scopus,2-s2.0-84879824055
"Hardeweg, B., Wagener, A., Waibel, H.","A distributional approach to comparing vulnerability, applied to rural provinces in Thailand and Vietnam",2013,"Journal of Asian Economics","25",,,"53","65",,1,10.1016/j.asieco.2013.02.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875238885&partnerID=40&md5=164fdcce75c32aa95859c1a9f94c5626",Article,Scopus,2-s2.0-84875238885
"Pretty, J., Waibel, H.","Paying the price: The full cost of pesticides",2012,"The Pesticide Detox: Towards a More Sustainable Agriculture",,,,"39","54",,10,10.4324/9781849773188,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925727720&partnerID=40&md5=6bd8570d0cae1bf21d8df4fec957fa1c",Book Chapter,Scopus,2-s2.0-84925727720
"Pemsl, D.E., Voelker, M., Wu, L., Waibel, H.","Long-term impact of Bt cotton: Findings from a case study in China using panel data",2011,"International Journal of Agricultural Sustainability","9","4",,"508","521",,3,10.1080/14735903.2011.603904,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868257516&partnerID=40&md5=eb2bed2197bb2ef2c0ff552e54c5049c",Article,Scopus,2-s2.0-84868257516
"Liebenehm, S., Affognon, H., Waibel, H.","Impact assessment of livestock research and development in West Africa: A propensity score matching approach",2011,"Quarterly Journal of International Agriculture","50","3",,"253","266",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052860802&partnerID=40&md5=463ac0e30b154d75496864904057b1f8",Article,Scopus,2-s2.0-80052860802
"Gödecke, T., Waibel, H.","Rural-urban transformation and village economy in emerging market economies during economic crisis: Empirical evidence from Thailand",2011,"Cambridge Journal of Regions, Economy and Society","4","2",,"205","219",,3,10.1093/cjres/rsr008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960540152&partnerID=40&md5=37a86fc13cabc17bb839fb1a3c91abf3",Article,Scopus,2-s2.0-79960540152
"Macharia, I., Mithöfer, D., Waibel, H.","Indirect and external costs of pesticide use in the vegetable sub-sector in Kenya",2011,"Vegetable Production and Marketing in Africa: Socio-economic Research",,,,"227","242",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84855529841&partnerID=40&md5=765a66761eb3337c5119f1dbca246fbd",Book Chapter,Scopus,2-s2.0-84855529841
"Ehlert, C., Mithöfer, D., Waibel, H.","Food production standards and farm worker welfare in Kenya",2011,"Vegetable Production and Marketing in Africa: Socio-economic Research",,,,"85","96",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890999946&partnerID=40&md5=650a63eec346fd41a0ed75cb03ec9651",Book Chapter,Scopus,2-s2.0-84890999946
"Asfaw, A., Mithöfer, D., Löhr, B., Waibel, H.","Challenges for economic impact assessment of classical biological control in Kenya and Tanzania",2011,"Vegetable Production and Marketing in Africa: Socio-economic Research",,,,"209","225",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891043347&partnerID=40&md5=049120d9aa24a7a2e1aa25f1701041cf",Book Chapter,Scopus,2-s2.0-84891043347
"Waibel, H., Mithöfer, D.","An overview",2011,"Vegetable Production and Marketing in Africa: Socio-economic Research",,,,"1","7",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891023590&partnerID=40&md5=ffc5b3d2f576137a04fbd0a9b0bc38a8",Book Chapter,Scopus,2-s2.0-84891023590
"Mithöfer, D., Waibel, H.","Vegetable production and marketing in Africa: Socio-economic research",2011,"Vegetable Production and Marketing in Africa: Socio-economic Research",,,,"1","271",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890986547&partnerID=40&md5=fecf7b173f172f5056b4df274d9aecc6",Book,Scopus,2-s2.0-84890986547
"Waibel, H.","Theoretical Concepts for Socio-economic Research of Vegetables in Africa",2011,"Vegetable Production and Marketing in Africa: Socio-economic Research",,,,"9","24",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891010066&partnerID=40&md5=a3cd0ac364afa7558c4ed106f2f1989a",Book Chapter,Scopus,2-s2.0-84891010066
"Liebenehm, S., Affognon, H., Waibel, H.","Collective livestock research for sustainable disease management in Mali and Burkina Faso",2011,"International Journal of Agricultural Sustainability","9","1",,"212","221",,5,10.3763/ijas.2010.0572,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951740575&partnerID=40&md5=db0ddc6cb7beb90ad8b91331524ed46d",Article,Scopus,2-s2.0-79951740575
"Chiwaula, L.S., Witt, R., Waibel, H.","An asset-based approach to vulnerability: The case of small-scale fishing areas in Cameroon and Nigeria",2011,"Journal of Development Studies","47","2",,"338","353",,4,10.1080/00220381003599410,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79251631797&partnerID=40&md5=b4a82ef88ff02706fe8bfac7341b9887",Article,Scopus,2-s2.0-79251631797
"Affognon, H.D., Randolph, T.F., Waibel, H.","Economic analysis of animal disease control inputs at farm level: The case of trypanocide use in villages under risk of drug resistance in West Africa",2010,"Livestock Research for Rural Development","22","12",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650716380&partnerID=40&md5=668e9f1dd67ae3b1c30589762f796fc8",Article,Scopus,2-s2.0-78650716380
"Witt, R., Pemsl, D.E., Waibel, H.","Collecting data for poverty and vulnerability assessment in remote areas in Sub-Saharan Africa",2010,"Survey Methodology","36","2",,"217","222",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78651387732&partnerID=40&md5=00b026387d707bd9e38d811622ebb0cb",Article,Scopus,2-s2.0-78651387732
"Asfaw, S., Mithöfer, D., Waibel, H.","What impact are EU supermarket standards having on developing countries' export of high-value horticultural products? Evidence from Kenya",2010,"Journal of International Food and Agribusiness Marketing","22","3",,"252","276",,19,10.1080/08974431003641398,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954135417&partnerID=40&md5=85907c44e0a3e341a358faf975c16876",Article,Scopus,2-s2.0-77954135417
"Völker, M., Waibel, H.","Do rural households extract more forest products in times of crisis? Evidence from the mountainous uplands of Vietnam",2010,"Forest Policy and Economics","12","6",,"407","414",,12,10.1016/j.forpol.2010.03.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954660887&partnerID=40&md5=28ded6c5c37cbd5a659162cda81f3022",Article,Scopus,2-s2.0-77954660887
"Asfaw, S., Mithöfer, D., Waibel, H.","Agrifood supply chain, private-sector standards, and farmers' health: Evidence from Kenya",2010,"Agricultural Economics","41","3-4",,"251","263",,26,10.1111/j.1574-0862.2010.00443.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952680729&partnerID=40&md5=1acfef85517e769f0e5e28b67fd693e3",Article,Scopus,2-s2.0-77952680729
"Clausen, P.-H., Bauer, B., Zessin, K.-H., Diall, O., Bocoum, Z., Sidibe, I., Affognon, H., Waibel, H., Grace, D., Randolph, T.","Preventing and containing trypanocide resistance in the cotton zone of West Africa",2010,"Transboundary and Emerging Diseases","57","1-2",,"28","32",,8,10.1111/j.1865-1682.2010.01129.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954527775&partnerID=40&md5=d79558fbeae0270e1f4339a4096ca0fc",Article,Scopus,2-s2.0-77954527775
"Asfaw, S., Mithöfer, D., Waibel, H.","Investment in compliance with GlobalGAP standards: Does it pay off for small-scale producers in Kenya?",2009,"Quarterly Journal of International Agriculture","48","4",,"337","362",,12,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73449135793&partnerID=40&md5=b6b774e2469ceb1f3bfeac0b127946b6",Article,Scopus,2-s2.0-73449135793
"Asfaw, S., Mithöfer, D., Waibel, H.","EU food safety standards, pesticide use and farm-level productivity: The case of high-value crops in Kenya",2009,"Journal of Agricultural Economics","60","3",,"645","667",,23,10.1111/j.1477-9552.2009.00205.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68949155467&partnerID=40&md5=f472fb9846c044bca39e91b77794a0eb",Article,Scopus,2-s2.0-68949155467
"Garming, H., Waibel, H.","Pesticides and farmer health in Nicaragua: A willingness-to-pay approach to evaluation",2009,"European Journal of Health Economics","10","2",,"125","133",,12,10.1007/s10198-008-0110-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-63449092280&partnerID=40&md5=253ba867dfd6f457fa4f9be9a860b8a4",Article,Scopus,2-s2.0-63449092280
"Witt, R., Pemsl, D.E., Waibel, H.","The farmer field school in senegal: Does training intensity affect diffusion of information?",2008,"Journal of International Agricultural and Extension Education","15","2",,"47","60",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955747292&partnerID=40&md5=e6a307932e98bcf8f6a37ed012d07523",Article,Scopus,2-s2.0-77955747292
"Pemsl, D.E., Gutierrez, A.P., Waibel, H.","The economics of biotechnology under ecosystem disruption",2008,"Ecological Economics","66","1",,"177","183",,16,10.1016/j.ecolecon.2007.08.022,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43149093980&partnerID=40&md5=6f1a7ed7361487c0b51ec32832930ef0",Article,Scopus,2-s2.0-43149093980
"Mithöfer, D., Waibel, H.","Economics of on-farm production of indigenous fruits",2007,"Indigenous Fruit Trees in the Tropics: Domestication, Utillization and Commercialization",,,,"237","253",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-65049088508&partnerID=40&md5=b2b44d6f6de6969a01b0176fcfef542a",Book Chapter,Scopus,2-s2.0-65049088508
"Zilberman, D., Waibel, H.","Advances in impact assessment of natural resources management research",2007,"Quarterly Journal of International Agriculture","46","4",,"395","420",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37449026908&partnerID=40&md5=986f0dc30466f053a4dac16f30f609ba",Article,Scopus,2-s2.0-37449026908
"Pemsl, D., Waibel, H.","Assessing the profitability of different crop protection strategies in cotton: Case study results from Shandong Province, China",2007,"Agricultural Systems","95","1-3",,"28","36",,13,10.1016/j.agsy.2007.02.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-36249023280&partnerID=40&md5=50ece9358e5fdbed6afb98f6a8b3afab",Article,Scopus,2-s2.0-36249023280
"Zilberman, D., Waibel, H.","Why natural resource management research?",2007,"International Research on Natural Resource Management: Advances in Impact Assessment",,,,"1","11",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890211050&partnerID=40&md5=527061dc0a040aa084e9b447d6130f3f",Book Chapter,Scopus,2-s2.0-84890211050
"Waibel, H., Zilberman, D., Gregersen, H., Kelley, T.","The major lessons from the case studies",2007,"International Research on Natural Resource Management: Advances in Impact Assessment",,,,"246","258",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890132988&partnerID=40&md5=07f1053a0fc801ecd02c6be6dff7ea07",Book Chapter,Scopus,2-s2.0-84890132988
"Waibel, H., Zilberman, D.","Natural resource management case studies: Overview and summary",2007,"International Research on Natural Resource Management: Advances in Impact Assessment",,,,"56","67",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890203753&partnerID=40&md5=0629320444c8be07f5993670dfff3cae",Book Chapter,Scopus,2-s2.0-84890203753
"Zilberman, D., Waibel, H.","Productivity enhancement and natural resource management",2007,"International Research on Natural Resource Management: Advances in Impact Assessment",,,,"21","55",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951756918&partnerID=40&md5=e9c3a66b805c5129a27577c38385a463",Book Chapter,Scopus,2-s2.0-79951756918
"Zilberman, D., Waibel, H., Kelley, T., Gregersen, H.","The way Ahead-Impact assessment of natural resource management research",2007,"International Research on Natural Resource Management: Advances in Impact Assessment",,,,"259","266",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890191355&partnerID=40&md5=5ed8f79271253b8ae0dcc3ca18846e51",Book Chapter,Scopus,2-s2.0-84890191355
"Waibel, H., Zilberman, D.","International Research on Natural Resource Management: Advances in impact assessment",2007,"International Research on Natural Resource Management: Advances in Impact Assessment",,,,"1","270",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890200622&partnerID=40&md5=5119b0cc12568d205f385fd9e636aea8",Book,Scopus,2-s2.0-84890200622
"Agne, S., Waibel, H.","Estimation of pesticide demand using farm level data: A case study of coffee production in Costa Rica",2005,"Quarterly Journal of International Agriculture","44","2",,"141","153",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-20844437993&partnerID=40&md5=8464036e111212db08e870100428add7",Article,Scopus,2-s2.0-20844437993
"Pemsl, D., Waibel, H., Orphal, J.","A methodology to assess the profitability of Bt-cotton: Case study results from the state of Karnataka, India",2004,"Crop Protection","23","12",,"1249","1257",,32,10.1016/j.cropro.2004.05.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-8444228858&partnerID=40&md5=e315e3a2dc4031f21d8e1e4e1f9c945d",Article,Scopus,2-s2.0-8444228858
"Mithöfer, D., Waibel, H.","Income and labour productivity of collection and use of indigenous fruit tree products in Zimbabwe",2003,"Agroforestry Systems","59","3",,"295","305",,17,10.1023/B:AGFO.0000005230.09714.b4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0346967099&partnerID=40&md5=4e7d7fa20c841787240233c869215569",Conference Paper,Scopus,2-s2.0-0346967099
"Fleischer, G., Waibel, H., Walter-Echols, G.","Transforming top-down agricultural extension to a participatory system: A study of costs and prospective benefits in Egypt",2002,"Public Administration and Development","22","4",,"309","322",,8,10.1002/pad.233,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036774061&partnerID=40&md5=47ba0cbdec75c5436e267ee50dfc0880",Article,Scopus,2-s2.0-0036774061
"Zadoks, J.C., Waibel, H.","From pesticides to genetically modified plants: History, economics and politics",2000,"NJAS - Wageningen Journal of Life Sciences","48","2",,"125","149",,10,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034487079&partnerID=40&md5=bd8aa7806400386e41adba911457e8c7",Article,Scopus,2-s2.0-0034487079
