Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wall, R.E.","Perceptions of biological controls",2000,"Phytoparasitica","28","1",,"3","5",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033989165&partnerID=40&md5=3da80ae3541cf5744445bd8b7c5be4ca",Editorial,Scopus,2-s2.0-0033989165
"Pitt, D.G., Dumas, M.T., Wall, R.E., Thompson, D.G., Lanteigne, L., Hintz, W., Sampson, G., Wagner, R.G.","Chondrostereum purpureum as a biological control agent in forest vegetation management. I. Efficacy on speckled alder, red maple, and aspen in eastern Canada",1999,"Canadian Journal of Forest Research","29","7",,"841","851",,31,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033493509&partnerID=40&md5=ae2257609a1ddcff61960d05fa9b4bf3",Conference Paper,Scopus,2-s2.0-0033493509
"Becker, E.M., Ball, L.A., Dumas, M.T., Pitt, D.G., Wall, R.E., Hintz, W.E.","Chondrostereum purpureum as a biological control agent in forest vegetation management. III. Infection survey of a national field trial",1999,"Canadian Journal of Forest Research","29","7",,"859","865",,17,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033493154&partnerID=40&md5=a1c7c0968189d775544442786f7f255f",Article,Scopus,2-s2.0-0033493154
"Harper, G.J., Comeau, P.G., Hintz, W., Wall, R.E., Prasad, R., Becker, E.M.","Chondrostereum purpureum as a biological control agent in forest vegetation management. II. Efficacy on Sitka alder and aspen in western Canada",1999,"Canadian Journal of Forest Research","29","7",,"852","858",,26,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0033500351&partnerID=40&md5=5b78ded0c08a64f92500e5f9aa77278d",Conference Paper,Scopus,2-s2.0-0033500351
"Wall, R.E.","Fructification of Chondrostereum purpureum on hardwoods inoculated for biological control",1997,"Canadian Journal of Plant Pathology","19","2",,"181","184",,15,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0013636105&partnerID=40&md5=c67872ec6a517073e42fdba94bf92f49",Article,Scopus,2-s2.0-0013636105
"Shamoun, S.F., Wall, R.E.","Characterization of Canadian isolates of Chondrostereum purpureum by protein content, API ZYM and isozyme analyses",1996,"European Journal of Forest Pathology","26","6",,"333","342",,8,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030480553&partnerID=40&md5=49570453d8ca193756eb489451b61b8a",Article,Scopus,2-s2.0-0030480553
"Wall, R.E., Macey, D.E., Sela, E.","Virulence and interfertility of Chondrostereum purpureum isolates",1996,"Biological Control","7","2",,"205","211",,13,10.1006/bcon.1996.0085,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030272909&partnerID=40&md5=76e66b8babc304ed610a0360e0cdbb10",Article,Scopus,2-s2.0-0030272909
"De Jong, M.D., Sela, E., Shamoun, S.F., Wall, R.E.","Natural occurrence of Chondrostereum purpureum in relation to its use as a biological control agent in Canadian forests",1996,"Biological Control","6","3",,"347","352",,15,10.1006/bcon.1996.0044,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030158807&partnerID=40&md5=ca69b68eec1820d6219cdeed32dc82c7",Article,Scopus,2-s2.0-0030158807
"Wall, R.E.","Biological control of red alder using stem treatments with the fungus Chondrostereum purpureum",1994,"Canadian Journal of Forest Research","24","8",,"1527","1530",,26,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0028164630&partnerID=40&md5=b8f4102c002c4175f37af963d3538e08",Article,Scopus,2-s2.0-0028164630
"Ekramoddoullah, A.K.M., Shamoun, S.F., Wall, R.E.","Comparison of canadian isolates of chondrostereum purpureum with respect to temperature response, virulence, and protein profiles",1993,"Canadian Journal of Plant Pathology","15","1",,"7","13",,16,10.1080/07060669309500842,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0002545532&partnerID=40&md5=1ba21de340c3471dc150d1a139c4ebe7",Article,Scopus,2-s2.0-0002545532
"Wall, R.E., Prasad, R., Shamoun, S.F.","The development and potential role of mycoherbicides for forestry",1992,"Forestry Chronicle","68","6",,"736","741",,20,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027011786&partnerID=40&md5=074da6ded2bcffa5466231a5c805ba28",,Scopus,2-s2.0-0027011786
"Wall, R.E.","Pathological effects of chondrostereum purpureum in inoculated yellow birch and beech",1991,"Canadian Journal of Plant Pathology","13","1",,"81","87",,19,10.1080/07060669109500969,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0001782617&partnerID=40&md5=6192660c25b7083ef6e25bd597991a10",Article,Scopus,2-s2.0-0001782617
"Wall, R.E.","The fungus Chondrostereum purpureum as a silvicide to control stump sprouting in hardwoods",1990,"Northern Journal of Applied Forestry","7","1",,"17","19",,41,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025669617&partnerID=40&md5=9c199bf98a3cb6334303f370c936bb95",,Scopus,2-s2.0-0025669617
"Wall, R.E.","Deterioration of severely defoliated balsam fir in relation to stand age, spacing, and foliar protection",1988,"Canadian Journal of Forest Research","18","5",,"490","497",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024222204&partnerID=40&md5=b9983881180882f41634e5a2483f1c50",,Scopus,2-s2.0-0024222204
"Wall, R.E.","Effects of black knot disease on pin cherry",1986,"Canadian Journal of Plant Pathology","8","1",,"71","77",,3,10.1080/07060668609501845,"http://www.scopus.com/inward/record.url?eid=2-s2.0-22744432865&partnerID=40&md5=c25d4cebdf1cca02b54b07aaec0fcac0",Article,Scopus,2-s2.0-22744432865
