Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hilbeck, A., Binimelis, R., Defarge, N., Steinbrecher, R., Székács, A., Wickson, F., Antoniou, M., Bereano, P.L., Clark, E.A., Hansen, M., Novotny, E., Heinemann, J., Meyer, H., Shiva, V., Wynne, B.","No scientific consensus on GMO safety",2015,"Environmental Sciences Europe","27","1",,"","",6,2,10.1186/s12302-014-0034-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928378128&partnerID=40&md5=d5b48ba33ff30bcffbafa8370c1e2af6",Article,Scopus,2-s2.0-84928378128
"Herrero, A., Wickson, F., Binimelis, R.","Seeing GMOs from a systems perspective: The need for comparative cartographies of agri/cultures for sustainability assessment",2015,"Sustainability (Switzerland)","7","8",,"11321","11344",,,10.3390/su70811321,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940565026&partnerID=40&md5=73e2af6193a7caa5c17f1b954a7d6868",Article,Scopus,2-s2.0-84940565026
"Holderbaum, D.F., Cuhra, M., Wickson, F., Orth, A.I., Nodari, R.O., Bøhn, T.","Chronic Responses of Daphnia magna under Dietary Exposure to Leaves of a Transgenic (Event MON810) Bt-Maize Hybrid and its Conventional Near-Isoline",2015,"Journal of Toxicology and Environmental Health - Part A: Current Issues","78","15",,"993","1007",,,10.1080/15287394.2015.1037877,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939526200&partnerID=40&md5=364251d7fdc8ea4a3e9dd3b79d286856",Article,Scopus,2-s2.0-84939526200
"Wickson, F.","Environmental protection goals, policy & publics in the European regulation of GMOs",2014,"Ecological Economics","108",,,"269","273",,1,10.1016/j.ecolecon.2014.09.025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911951356&partnerID=40&md5=bb5eec07613831525f2af3d923c2a7b1",Note,Scopus,2-s2.0-84911951356
"Wickson, F., Forsberg, E.-M.","Standardising Responsibility? The Significance of Interstitial Spaces",2014,"Science and Engineering Ethics","21","5",,"1159","1180",,1,10.1007/s11948-014-9602-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941942908&partnerID=40&md5=da9d42a6d1f2ecc3b322fd4d318d70c4",Article,Scopus,2-s2.0-84941942908
"Wickson, F., Strand, R., Kjølberg, K.L.","The Walkshop Approach to Science and Technology Ethics",2014,"Science and Engineering Ethics",,,,"1","24",,,10.1007/s11948-014-9526-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893177081&partnerID=40&md5=98fa9a0ab78a38f0f5eb1efaba007aee",Article in Press,Scopus,2-s2.0-84893177081
"Wickson, F., Hartmann, N.B., Hjorth, R., Hansen, S.F., Wynne, B., Baun, A.","Balancing scientific tensions",2014,"Nature Nanotechnology","9","11",,"870","",,,10.1038/nnano.2014.237,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84909956386&partnerID=40&md5=7020d79708effc0b3b553b5d55add32e",Letter,Scopus,2-s2.0-84909956386
"Wickson, F., Bøhn, T., Wynne, B., Hilbeck, A., Funtowicz, S.","Science-based risk assessment requires careful evaluation of all studies",2013,"Nature Biotechnology","31","12",,"1077","1078",,3,10.1038/nbt.2761,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890096409&partnerID=40&md5=cf559961da13ff1c014bf0a5716e5dbc",Letter,Scopus,2-s2.0-84890096409
"Wickson, F., Cobb, M.D., Hamlett, P.","The U.S. national citizens' technology forum on human enhancement: An experiment in deliberation across a nation",2013,"Consumers and Nanotechnology: Deliberative Processes and Methodologies",,,,"123","148",,,10.4032/9789814364348,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881731124&partnerID=40&md5=09b1e6b9d100fe1f2098663ca048f0d6",Book Chapter,Scopus,2-s2.0-84881731124
"Grieger, K.D., Wickson, F., Andersen, H.B., Renn, O.","Improving risk governance of emerging technologies through public engagement: The neglected case of nano-remediation?",2012,"Australian Journal of Emerging Technologies and Society","10","1",,"61","78",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871011630&partnerID=40&md5=36b0e5198777a0f65bcfee7644c24f83",Article,Scopus,2-s2.0-84871011630
"Wickson, F., Wynne, B.","Ethics of Science for Policy in the Environmental Governance of Biotechnology: MON810 Maize in Europe",2012,"Ethics, Policy and Environment","15","3",,"321","340",,8,10.1080/21550085.2012.730245,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871397299&partnerID=40&md5=ecacc038047b5a629ef391e6473b27c2",Article,Scopus,2-s2.0-84871397299
"Wickson, F.","The scientific revolution [Fiction]",2012,"IEEE Technology and Society Magazine","31","2", 6213853,"17","18",,,10.1109/MTS.2012.2196809,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862281910&partnerID=40&md5=5c7a5d0ae13a78b4f7d18be7540c2804",Article,Scopus,2-s2.0-84862281910
"Wynne, B., Wickson, F.","Reply to J.N. Perry et al",2012,"EMBO Reports","13","6",,"482","483",,1,10.1038/embor.2012.71,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84861953801&partnerID=40&md5=6778dd4ba93c337f463682bdd15d86d1",Note,Scopus,2-s2.0-84861953801
"Wynne, B., Wickson, F.","Reply to J.N. Perry et al",2012,"EMBO Reports",,,,"","",,,10.1038/embor.2012.71,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860828337&partnerID=40&md5=eccd76d4ef40e9a333c8b56d738c08da",Article in Press,Scopus,2-s2.0-84860828337
"Wickson, F., Wynne, B.","The anglerfish deception. the light of proposed reform in the regulation of GM crops hides underlying problems in EU science and governance",2012,"EMBO Reports","13","2",,"100","105",,14,10.1038/embor.2011.254,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856426720&partnerID=40&md5=77b13c32f3749893ef77e424dcea35cc",Article,Scopus,2-s2.0-84856426720
"Heinemann, J., Wickson, F.","Genetic modification: Strong opinions continue to fuel the GM foods debate locally as well as globally",2011,"Food Australia","63","12",,"14","17",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84255200001&partnerID=40&md5=7e59c0b9b2a657ab81c503cd5fa078b4",Note,Scopus,2-s2.0-84255200001
"Delgado, A., Kjølberg, K.L., Wickson, F.","Public engagement coming of age: From theory to practice in STS encounters with nanotechnology",2011,"Public Understanding of Science","20","6",,"826","845",,48,10.1177/0963662510363054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956117626&partnerID=40&md5=3d5a71f49aa73afccd817e3f5b889ba0",Article,Scopus,2-s2.0-79956117626
"Wickson, F.","Technology: Nanomaterials need flexible regulation",2011,"Nature","476","7360",,"283","",,,10.1038/476283d,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80051934688&partnerID=40&md5=3eab678d16e02c4aeff25ac2efb3905e",Note,Scopus,2-s2.0-80051934688
"Slaattelid, R.T., Wickson, F.","Imag(in)ing the Nano-scale: Introduction",2011,"NanoEthics","5","2",,"159","163",,1,10.1007/s11569-011-0127-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052304231&partnerID=40&md5=f37291254af798b922f00628ece7d77a",Editorial,Scopus,2-s2.0-80052304231
"Carew, A.L., Wickson, F.","The TD Wheel: A heuristic to shape, support and evaluate transdisciplinary research",2010,"Futures","42","10",,"1146","1155",,26,10.1016/j.futures.2010.04.025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78649702897&partnerID=40&md5=31bf42dcbfb36f7f53d316e2c169c140",Article,Scopus,2-s2.0-78649702897
"Wickson, F., Grieger, K., Baun, A.","Nature and nanotechnology: Science, ideology and policy",2010,"Australian Journal of Emerging Technologies and Society","8","1",,"5","23",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78049502656&partnerID=40&md5=c1173c0565017a3133e8fbf5376ca96d",Article,Scopus,2-s2.0-78049502656
"Wickson, F., Delgado, A., Kjølberg, K.L.","Who or what is 'the public'?",2010,"Nature Nanotechnology","5","11",,"757","758",,11,10.1038/nnano.2010.197,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78149412634&partnerID=40&md5=d3e6398496548af03a97f299aaab6e76",Note,Scopus,2-s2.0-78149412634
"Wickson, F.","Mosquitoes: Just how much biodiversity does humanity need?",2010,"Nature","466","7310",,"1041","",,1,10.1038/4661041d,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77956137560&partnerID=40&md5=6170a1b2115b8002d006140a675f3b59",Letter,Scopus,2-s2.0-77956137560
"Wickson, F.","Activists should be consulted in animal testing decisions",2010,"Nature","463","7279",,"293","",,,10.1038/463293b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-75149178219&partnerID=40&md5=3627601d0febfd3495a1bfa899e3e39c",Letter,Scopus,2-s2.0-75149178219
"Wickson, F.","Reliability rating and reflective questioning: A case study of extended review on Australia's risk assessment of Bt cotton",2009,"Journal of Risk Research","12","6",,"749","770",,5,10.1080/13669870802533233,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70449558748&partnerID=40&md5=033a449b881a96dbdf6b304bce3ba1c4",Article,Scopus,2-s2.0-70449558748
"Wickson, F.","The next generation [1]",2009,"Nature Biotechnology","27","2",,"120","",,,10.1038/nbt0209-120a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-59849096127&partnerID=40&md5=681d21e9ab148c12b3b6f890b54a5ae2",Letter,Scopus,2-s2.0-59849096127
"Wickson, F.","What is nature, if it's more than just a place without people?",2008,"Nature","456","7218",,"29","",,2,10.1038/456029b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-55549145798&partnerID=40&md5=790a7923ce4e21c2171f3e95c60b4c81",Letter,Scopus,2-s2.0-55549145798
"Russell, A.W., Wickson, F., Carew, A.L.","Transdisciplinarity: Context, contradictions and capacity",2008,"Futures","40","5",,"460","472",,47,10.1016/j.futures.2007.10.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-43049118235&partnerID=40&md5=a1044fd13605b8222160bc2d08b44553",Article,Scopus,2-s2.0-43049118235
"Wickson, F.","Narratives of nature and nanotechnology",2008,"Nature Nanotechnology","3","6",,"313","315",,18,10.1038/nnano.2008.140,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44949176095&partnerID=40&md5=0b5867d791b871af2c226302905351c3",Note,Scopus,2-s2.0-44949176095
"Kjølberg, K., Delgado-Ramos, G.C., Wickson, F., Strand, R.","Models of governance for converging technologies",2008,"Technology Analysis and Strategic Management","20","1",,"83","97",,12,10.1080/09537320701726676,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38049115334&partnerID=40&md5=a8d81d2d4a38e922d37b94e3a7e5d907",Article,Scopus,2-s2.0-38049115334
"Wickson, F.","From risk to uncertainty in the regulation of GMOs: Social theory and Australian practice",2007,"New Genetics and Society","26","3",,"325","339",,5,10.1080/14636770701701832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38749117540&partnerID=40&md5=8a62993d2b52ca74bf7d61fce1f94841",Article,Scopus,2-s2.0-38749117540
"Wickson, F.","Public engagement means listening as well as talking [1]",2007,"Nature","448","7154",,"644","",,1,10.1038/448644a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547770280&partnerID=40&md5=4f69acf4d9c15d85311816abb4a45d79",Letter,Scopus,2-s2.0-34547770280
"Køberg, K., Wickson, F.","Social and ethical interactions with nano: Mapping the early literature",2007,"NanoEthics","1","2",,"89","104",,22,10.1007/s11569-007-0011-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34748867116&partnerID=40&md5=54fd262bca94c0f6eb80f15c2145e3a3",Article,Scopus,2-s2.0-34748867116
"Wickson, F., Carew, A.L., Russell, A.W.","Transdisciplinary research: characteristics, quandaries and quality",2006,"Futures","38","9",,"1046","1059",,130,10.1016/j.futures.2006.02.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33747799945&partnerID=40&md5=9712f3b9f8ab1966b8ba123be20646da",Article,Scopus,2-s2.0-33747799945
