Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hazim, R., Jiang, M., Esteve-Rudd, J., Diemer, T., Lopes, V.S., Williams, D.S.","Live-cell imaging of phagosome motility in primary mouse RPE cells",2016,"Advances in Experimental Medicine and Biology","854",,,"751","755",,,10.1007/978-3-319-17121-0_100,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943303133&partnerID=40&md5=154ccea8f1756e9a9e30b36c3097c60a",Book Chapter,Scopus,2-s2.0-84943303133
"Volland, S., Esteve-Rudd, J., Hoo, J., Yee, C., Williams, D.S.","A comparison of some organizational characteristics of the mouse central retina and the human macula",2015,"PLoS ONE","10","4", e0125631,"","",,1,10.1371/journal.pone.0125631,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928714553&partnerID=40&md5=d9ded4badb0bafaac91639ef10c6d4d9",Article,Scopus,2-s2.0-84928714553
"Lopes, V.S., Williams, D.S.","Gene therapy for the retinal degeneration of usher syndrome caused by mutations in MYO7A",2015,"Cold Spring Harbor Perspectives in Medicine","5","6",,"1","10",,,10.1101/cshperspect.a017319,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930394460&partnerID=40&md5=d9cef228af3dd57b3732d0a7f1fe9f33",Article,Scopus,2-s2.0-84930394460
"Sernagor, E., Williams, D.","Treatment strategies for retinal dystrophies",2014,"Visual Neuroscience","31",,,"287","288",,1,10.1017/S0952523814000273,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910678789&partnerID=40&md5=8b8a6d676a10b4f254d3df04aaca0402",Editorial,Scopus,2-s2.0-84910678789
"Esteve-Rudd, J., Lopes, V.S., Jiang, M., Williams, D.S.","In vivo and in vitro monitoring of phagosome maturation in retinal pigment epithelium cells",2014,"Advances in Experimental Medicine and Biology","801",,,"85","90",,2,10.1007/978-1-4614-3209-8_11,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904819622&partnerID=40&md5=8483f31531310a0ac0e0aed65f1167e1",Article,Scopus,2-s2.0-84904819622
"Lopes, V.S., Diemer, T., Williams, D.S.","Assessment of different virus-mediated approaches for retinal gene therapy of usher 1B",2014,"Advances in Experimental Medicine and Biology","801",,,"725","731",,1,10.1007/978-1-4614-3209-8_91,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904856335&partnerID=40&md5=2c51ee578d439c1c0ff74b738dae5c73",Article,Scopus,2-s2.0-84904856335
"Ashraf, S., Gee, H.Y., Woerner, S., Xie, L.X., Vega-Warner, V., Lovric, S., Fang, H., Song, X., Cattran, D.C., Avila-Casado, C., Paterson, A.D., Nitschké, P., Bole-Feysot, C., Cochat, P., Esteve-Rudd, J., Haberberger, B., Allen, S.J., Zhou, W., Airik, R., Otto, E.A., Barua, M., Al-Hamed, M.H., Kari, J.A., Evans, J., Bierzynska, A., Saleem, M.A., Böckenhauer, D., Kleta, R., Desoky, S.E., Hacihamdioglu, D.O., Gok, F., Washburn, J., Wiggins, R.C., Choi, M., Lifton, R.P., Levy, S., Han, Z., Salviati, L., Prokisch, H., Williams, D.S., Pollak, M., Clarke, C.F., Pei, Y., Antignac, C., Hildebrandt, F.","ADCK4 mutations promote steroid-Resistant nephrotic syndrome through CoQ10 biosynthesis disruption",2013,"Journal of Clinical Investigation","123","12",,"5179","5189",,34,10.1172/JCI69000,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890038202&partnerID=40&md5=4ad058d001c6c8ff8bdf196217f78f37",Article,Scopus,2-s2.0-84890038202
"Zariwala, M.A., Gee, H.Y., Kurkowiak, M., Al-Mutairi, D.A., Leigh, M.W., Hurd, T.W., Hjeij, R., Dell, S.D., Chaki, M., Dougherty, G.W., Adan, M., Spear, P.C., Esteve-Rudd, J., Loges, N.T., Rosenfeld, M., Diaz, K.A., Olbrich, H., Wolf, W.E., Sheridan, E., Batten, T.F.C., Halbritter, J., Porath, J.D., Kohl, S., Lovric, S., Hwang, D.-Y., Pittman, J.E., Burns, K.A., Ferkol, T.W., Sagel, S.D., Olivier, K.N., Morgan, L.C., Werner, C., Raidt, J., Pennekamp, P., Sun, Z., Zhou, W., Airik, R., Natarajan, S., Allen, S.J., Amirav, I., Wieczorek, D., Landwehr, K., Nielsen, K., Schwerk, N., Sertic, J., Köhler, G., Washburn, J., Levy, S., Fan, S., Koerner-Rettberg, C., Amselem, S., Williams, D.S., Mitchell, B.J., Drummond, I.A., Otto, E.A., Omran, H., Knowles, M.R., Hildebrandt, F.","ZMYND10 is mutated in primary ciliary dyskinesia and interacts with LRRC6",2013,"American Journal of Human Genetics","93","2",,"336","345",,26,10.1016/j.ajhg.2013.06.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881664454&partnerID=40&md5=31ad9faf11b686fc635b15c8fb208d96",Article,Scopus,2-s2.0-84881664454
"Lopes, V.S., Boye, S.E., Louie, C.M., Boye, S., Dyka, F., Chiodo, V., Fofo, H., Hauswirth, W.W., Williams, D.S.","Retinal gene therapy with a large MYO7A cDNA using adeno-associated virus",2013,"Gene Therapy","20","8",,"824","833",,30,10.1038/gt.2013.3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881477796&partnerID=40&md5=82f1b6568da4759ae4583623f2ae9e96",Article,Scopus,2-s2.0-84881477796
"Frost, L.S., Lopes, V.S., Stefano, F.P., Bragin, A., Williams, D.S., Mitchell, C.H., Boesze-Battaglia, K.","Loss of melanoregulin (MREG) enhances cathepsin-D secretion by the retinal pigment epithelium",2013,"Visual Neuroscience","30","3",,"55","64",,1,10.1017/S0952523813000096,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879534937&partnerID=40&md5=6397c5e0f5e5f3edc3a08405a5647b08",Article,Scopus,2-s2.0-84879534937
"Strong, R., Miller, R.A., Astle, C.M., Baur, J.A., De Cabo, R., Fernandez, E., Guo, W., Javors, M., Kirkland, J.L., Nelson, J.F., Sinclair, D.A., Teter, B., Williams, D., Zaveri, N., Nadon, N.L., Harrison, D.E.","Evaluation of resveratrol, green tea extract, curcumin, oxaloacetic acid, and medium-chain triglyceride oil on life span of genetically heterogeneous mice",2013,"Journals of Gerontology - Series A Biological Sciences and Medical Sciences","68","1",,"6","16",,32,10.1093/gerona/gls070,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871876229&partnerID=40&md5=e82309782d8fc7834c8e48b99ed038f6",Article,Scopus,2-s2.0-84871876229
"Karthikeyan, S., Delibaltov, D., Gaur, U., Jiang, M., Williams, D., Manjunath, B.S.","Unified probabilistic framework for simultaneous detection and tracking of multiple objects with application to bio-image sequences",2012,"Proceedings - International Conference on Image Processing, ICIP",,, 6467118,"1349","1352",,2,10.1109/ICIP.2012.6467118,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875872463&partnerID=40&md5=5a93c494ab5a90344a7e83fc9780811c",Conference Paper,Scopus,2-s2.0-84875872463
"Trivedi, D., Colin, E., Louie, C.M., Williams, D.S.","Live-cell imaging evidence for the ciliary transport of rod photoreceptor opsin by heterotrimeric kinesin-2",2012,"Journal of Neuroscience","32","31",,"10587","10593",,20,10.1523/JNEUROSCI.0015-12.2012,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864435939&partnerID=40&md5=4706e98c9e83f56239a4b10411d8f1b2",Article,Scopus,2-s2.0-84864435939
"Da Cruz, S., Parone, P.A., Lopes, V.S., Lillo, C., McAlonis-Downes, M., Lee, S.K., Vetto, A.P., Petrosyan, S., Marsala, M., Murphy, A.N., Williams, D.S., Spiegelman, B.M., Cleveland, D.W.","Elevated PGC-1α activity sustains mitochondrial biogenesis and muscle function without extending survival in a mouse model of inherited ALS",2012,"Cell Metabolism","15","5",,"778","786",,47,10.1016/j.cmet.2012.03.019,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860458565&partnerID=40&md5=a71dd760f9dd34aa5d0f741d5bbbe218",Article,Scopus,2-s2.0-84860458565
"Harkewicz, R., Du, H., Tong, Z., Alkuraya, H., Bedell, M., Sun, W., Wang, X., Hsu, Y.-H., Esteve-Rudd, J., Hughes, G., Su, Z., Zhang, M., Lopes, V.S., Molday, R.S., Williams, D.S., Dennis, E.A., Zhang, K.","Essential role of ELOVL4 protein in very long chain fatty acid synthesis and retinal function",2012,"Journal of Biological Chemistry","287","14",,"11469","11480",,23,10.1074/jbc.M111.256073,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859494463&partnerID=40&md5=73011d0bb2862b16610bed2e8c5a95ee",Article,Scopus,2-s2.0-84859494463
"Engelhardt, M., Tosha, C., Lopes, V.S., Chen, B., Nguyen, L., Nusinowitz, S., Williams, D.S.","Functional and morphological analysis of the subretinal injection of retinal pigment epithelium cells",2012,"Visual Neuroscience","29","2",,"83","93",,6,10.1017/S0952523812000041,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859023990&partnerID=40&md5=44a7775db8eebd0df072a4e8d68d3965",Article,Scopus,2-s2.0-84859023990
"Williams, D.S., Lopes, V.S.","Gene therapy strategies for usher syndrome type 1B",2012,"Advances in Experimental Medicine and Biology","723",,,"235","242",,3,10.1007/978-1-4614-0631-0_31,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862962387&partnerID=40&md5=d6608e990d0c3e333155190548a809b0",Conference Paper,Scopus,2-s2.0-84862962387
"Phillips, J.B., Blanco-Sanchez, B., Lentz, J.J., Tallafuss, A., Khanobdee, K., Sampath, S., Jacobs, Z.G., Han, P.F., Mishra, M., Titus, T.A., Williams, D.S., Keats, B.J., Washbourne, P., Westerfield, M.","Harmonin (Ush1c) is required in zebrafish Müller glial cells for photoreceptor synaptic development and function",2011,"DMM Disease Models and Mechanisms","4","6",,"786","800",,18,10.1242/dmm.006429,"http://www.scopus.com/inward/record.url?eid=2-s2.0-81455136716&partnerID=40&md5=37d2b547be236259d068e838920e4d7d",Article,Scopus,2-s2.0-81455136716
"Williams, D.S., Lopes, V.S.","The many different cellular functions of MYO7A in the retina",2011,"Biochemical Society Transactions","39","5",,"1207","1210",,12,10.1042/BST0391207,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053342176&partnerID=40&md5=76cec10f26fce787f3448e564afdb2cc",Review,Scopus,2-s2.0-80053342176
