Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wills, P.R., Scott, D.J., Winzor, D.J.","The osmotic second virial coefficient for protein self-interaction: Use and misuse to describe thermodynamic nonideality",2015,"Analytical Biochemistry","490",,,"55","65",,,10.1016/j.ab.2015.08.020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943791574&partnerID=40&md5=118add1d4e231c8066f9dd80ecb7947c",Review,Scopus,2-s2.0-84943791574
"Wills, P.R., Nieselt, K., McCaskill, J.S.","Emergence of Coding and its Specificity as a Physico-Informatic Problem",2015,"Origins of Life and Evolution of Biospheres","45","1-2",,"249","255",,,10.1007/s11084-015-9434-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930418858&partnerID=40&md5=eeca3890c5bb0c01daa94bd3e565f56c",Article,Scopus,2-s2.0-84930418858
"Wills, P.R.","Spontaneous Mutual Ordering of Nucleic Acids and Proteins",2014,"Origins of Life and Evolution of Biospheres","44","4",,"293","298",,,10.1007/s11084-014-9396-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939965295&partnerID=40&md5=e1a6bb262ac5954fc568cb2ce743df1c",Article,Scopus,2-s2.0-84939965295
"Wills, P.R.","Genetic Information, Physical Interpreters and Thermodynamics; The Material-Informatic Basis of Biosemiosis",2014,"Biosemiotics","7","1",,"141","165",,2,10.1007/s12304-013-9196-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898728020&partnerID=40&md5=b84dc7972146c1b79ef8b84ec6acb90e",Article,Scopus,2-s2.0-84898728020
"Hordijk, W., Wills, P.R., Steel, M.","Autocatalytic sets and biological specificity",2014,"Bulletin of mathematical biology","76","1",,"201","224",,6,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906779033&partnerID=40&md5=6369ddc7cf411972fc4acd2f66706ba8",Article,Scopus,2-s2.0-84906779033
"Hordijk, W., Wills, P.R., Steel, M.","Autocatalytic Sets and Biological Specificity",2013,"Bulletin of Mathematical Biology",,,,"1","24",,1,10.1007/s11538-013-9916-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887304006&partnerID=40&md5=99496c69964b3826a40a389cf6f0f006",Article in Press,Scopus,2-s2.0-84887304006
"Wills, P.R., Williams, D.L.F., Trussell, D., Mann, L.R.B.","Harnessing our very life",2013,"Artificial Life","19","3-4",,"451","469",,3,10.1162/ARTL-a-00120,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883669474&partnerID=40&md5=6fa2c6eaa08db7201174fbe5c31513e3",Article,Scopus,2-s2.0-84883669474
"Wills, P.R.","Frameshifted prion proteins as pathological agents: Quantitative considerations",2013,"Journal of Theoretical Biology","325",,,"52","61",,,10.1016/j.jtbi.2013.02.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875269842&partnerID=40&md5=f0f08ead1ba7d5b401fd4a82873edafa",Article,Scopus,2-s2.0-84875269842
"Wills, P.R.","Alternative prion proteins",2012,"FASEB Journal","26","8",,"3100","3101",,1,10.1096/fj.12-0802ufm,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864758131&partnerID=40&md5=d6692c8221d8ed1dfc829c3e97fa0f45",Letter,Scopus,2-s2.0-84864758131
"Wills, P.R., Scott, D.J., Winzor, D.J.","Allowance for effects of thermodynamic nonideality in sedimentation equilibrium distributions reflecting protein dimerization",2012,"Analytical Biochemistry","422","1",,"28","32",,3,10.1016/j.ab.2011.12.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84857058944&partnerID=40&md5=ceb2f82f388110bb9e9eb0961e7e8cdc",Article,Scopus,2-s2.0-84857058944
"Wills, P.R., Winzor, D.J.","Allowance for thermodynamic nonideality in the characterization of protein interactions by spectral techniques",2011,"Biophysical Chemistry","158","1",,"21","25",,2,10.1016/j.bpc.2011.04.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960179943&partnerID=40&md5=b815570e6a10f4d5b4c49b8ea0fec88e",Article,Scopus,2-s2.0-79960179943
"Scott, D.J., Wills, P.R., Winzor, D.J.","Allowance for the effect of protein charge in the characterization of nonideal solute self-association by sedimentation equilibrium",2010,"Biophysical Chemistry","149","3",,"83","91",,4,10.1016/j.bpc.2010.04.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953024431&partnerID=40&md5=4fe12e886a063eb59a817e4df3587c7e",Article,Scopus,2-s2.0-77953024431
"Wills, P.R., Winzor, D.J.","Direct allowance for the effects of thermodynamic nonideality in the quantitative characterization of protein self-association by osmometry",2009,"Biophysical Chemistry","145","2-3",,"64","71",,5,10.1016/j.bpc.2009.09.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350183744&partnerID=40&md5=c95a22d6be43ba7ebd138039deef9659",Article,Scopus,2-s2.0-70350183744
