Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Latham, J.R., Wilson, A.K.","Transcomplementation and synergism in plants: Implications for viral transgenes?",2008,"Molecular Plant Pathology","9","1",,"85","103",,34,10.1111/j.1364-3703.2007.00441.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-37349096290&partnerID=40&md5=da5f9f855bcbd08b1eb3e18f2e796da2",Review,Scopus,2-s2.0-37349096290
"Wilson, A.K., Latham, J.R., Steinbrecher, R.A.","Transformation-induced mutations in transgenic plants: Analysis and biosafety implications",2006,"Biotechnology and Genetic Engineering Reviews","23",,,"209","237",,32,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955063551&partnerID=40&md5=b22644426b4a27ab96f8f9a138055165",Review,Scopus,2-s2.0-79955063551
"Latham, J.R., Wilson, A.K., Steinbrecher, R.A.","The mutational consequences of plant transformation",2006,"Journal of Biomedicine and Biotechnology","2006",, 25376,"","",,53,10.1155/JBB/2006/25376,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33646054247&partnerID=40&md5=871af14f265b0c249d9273e368979d1d",Review,Scopus,2-s2.0-33646054247
"Wilson, A., Latham, J., Steinbrecher, R.","Regulatory regimes for transgenic crops [1]",2005,"Nature Biotechnology","23","7",,"785","",,6,10.1038/nbt0705-785a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748477158&partnerID=40&md5=78546ca167ddb283a5defd4b59d6c9ec",Letter,Scopus,2-s2.0-33748477158
"Gendall, A.R., Levy, Y.Y., Wilson, A., Dean, C.","The VERNALIZATION 2 gene mediates the epigenetic regulation of vernalization in Arabidopsis",2001,"Cell","107","4",,"525","535",,311,10.1016/S0092-8674(01)00573-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0035900650&partnerID=40&md5=d491c40bc379f962fbe3dfaafed8f402",Article,Scopus,2-s2.0-0035900650
"Chalker, D.L., La Terza, A., Wilson, A., Kroenke, C.D., Yao, M.-C.","Flanking regulatory sequences of the Tetrahymena R deletion element determine the boundaries of DNA rearrangement",1999,"Molecular and Cellular Biology","19","8",,"5631","5641",,29,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0032778872&partnerID=40&md5=38bae85eef48269f8c713fcc4a0b1b85",Article,Scopus,2-s2.0-0032778872
"Chandler, J., Wilson, A., Dean, C.","Arabidopsis mutants showing an altered response to vernalization",1996,"Plant Journal","10","4",,"637","644",,81,10.1046/j.1365-313X.1996.10040637.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030268166&partnerID=40&md5=4a60446c0426b2e4b43af623a2c002d7",Article,Scopus,2-s2.0-0030268166
"Wilson, A., Dean, C.","Analysis of the molecular basis of vernalization in Arabidopsis thaliana",1996,"Seminars in Cell and Developmental Biology","7","3",,"435","440",,6,10.1006/scdb.1996.0054,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0000807597&partnerID=40&md5=d53a4fd5570107d34c628feede7e770d",Article,Scopus,2-s2.0-0000807597
"Timpte, C., Wilson, A.K., Estelle, M.","The axr2-1 mutation of Arabidopsis thaliana is a gain-of-function mutation that disrupts an early step in auxin response",1994,"Genetics","138","4",,"1239","1249",,119,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027944590&partnerID=40&md5=494e56524bcf5e5e921b318a995f3eda",Article,Scopus,2-s2.0-0027944590
"Wilson, A.K., Coulombe, P.A., Fuchs, E.","The roles of K5 and K14 head, tail, and R/K LLEGE domains in keratin filament assembly in vitro",1992,"Journal of Cell Biology","119","2",,"401","414",,86,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0026640553&partnerID=40&md5=128654686ca4d90596d7cb725309d7ed",Article,Scopus,2-s2.0-0026640553
