Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Winter, G.","Anbaubeschränkungen für gentechnisch veränderte Pflanzen. Zugleich ein Beitrag über plurale Risikokulturen im europäischen und internationalen Freihandel – Teil 2",2015,"Natur und Recht","37","9",,"595","606",,,10.1007/s10357-015-2887-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941367957&partnerID=40&md5=2fd905532fd92239ad04621633ab47cf",Article,Scopus,2-s2.0-84941367957
"Winter, G.","Anbaubeschränkungen für gentechnisch veränderte Pflanzen. Zugleich ein Beitrag über plurale Risikokulturen im europäischen und internationalen Freihandel – Teil 1",2015,"Natur und Recht","37","8",,"516","526",,,10.1007/s10357-015-2872-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938585947&partnerID=40&md5=ab605629c5fe6c5769154885b85f0441",Article,Scopus,2-s2.0-84938585947
"Von Kries, C., Broggiato, A., Dedeurwaerdere, T., Winter, G.","Micro B3 model agreement on access to marine microorganisms and benefit sharing: Text and commentary",2015,"Research and Development on Genetic Resources: Public Domain Approaches in Implementing the Nagoya Protocol",,,,"330","362",,1,10.4324/9781315717838,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940937321&partnerID=40&md5=15b2849f0cbfecae96ed3c775605dc00",Book Chapter,Scopus,2-s2.0-84940937321
"Winter, G.","Points to consider for national legislation on access to genetic resources and benefit sharing",2015,"Research and Development on Genetic Resources: Public Domain Approaches in Implementing the Nagoya Protocol",,,,"308","329",,,10.4324/9781315717838,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942797881&partnerID=40&md5=8948946e6593ea6c4ba8112843967c72",Book Chapter,Scopus,2-s2.0-84942797881
"Kamau, E.C., Stoll, P.-T., Winter, G.","Preface",2015,"Research and Development on Genetic Resources: Public Domain Approaches in Implementing the Nagoya Protocol",,,,"xix","xx",,,10.4324/9781315717838,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942773122&partnerID=40&md5=e2f77d1a8091bdbf7e2d325b5ddcef84",Editorial,Scopus,2-s2.0-84942773122
"Kamau, E.C., Winter, G.","Unbound R&D and bound benefit sharing: Introduction, synthesis and conclusions",2015,"Research and Development on Genetic Resources: Public Domain Approaches in Implementing the Nagoya Protocol",,,,"1","23",,,10.4324/9781315717838,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942750930&partnerID=40&md5=dfb46156e39aec0e3783f5c5aa20273e",Book Chapter,Scopus,2-s2.0-84942750930
"Von Kries, C., Winter, G.","Harmonizing ABS conditions for research and development under UNCLOS and CBD/NP",2015,"Research and Development on Genetic Resources: Public Domain Approaches in Implementing the Nagoya Protocol",,,,"75","90",,,10.4324/9781315717838,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942810286&partnerID=40&md5=630ecf1f82115dfec34de2272bfac4c7",Book Chapter,Scopus,2-s2.0-84942810286
"Kamau, E.C., Winter, G., Stoll, P.-T.","Research and development on genetic resources: Public domain approaches in implementing the Nagoya Protocol",2015,"Research and Development on Genetic Resources: Public Domain Approaches in Implementing the Nagoya Protocol",,,,"1","370",,,10.4324/9781315717838,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942759551&partnerID=40&md5=4e8bbda49368a498b7d0b6a46f582862",Book,Scopus,2-s2.0-84942759551
"Von Kries, C., Winter, G.","Defining commercial and non-commercial research and development under the Nagoya protocol and in other contexts",2015,"Research and Development on Genetic Resources: Public Domain Approaches in Implementing the Nagoya Protocol",,,,"60","74",,,10.4324/9781315717838,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942764107&partnerID=40&md5=b274947391a797864f01b8d1c48d8ebc",Book Chapter,Scopus,2-s2.0-84942764107
"Winter, G.","The rise and fall of nuclear energy use in Germany: Processes, Explanations and the role of law",2013,"Journal of Environmental Law","25","1",,"95","124",,2,10.1093/jel/eqs031,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874814180&partnerID=40&md5=4f6fb1ec54725b49d1874c8d43e6925b",Article,Scopus,2-s2.0-84874814180
