Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Martínez Morcillo, S., Yela, J.L., Capowiez, Y., Mazzia, C., Rault, M., Sanchez-Hernandez, J.C.","Avoidance behaviour response and esterase inhibition in the earthworm, Lumbricus terrestris, after exposure to chlorpyrifos",2013,"Ecotoxicology","22","4",,"597","607",,6,10.1007/s10646-013-1051-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879424354&partnerID=40&md5=5b6685d4f808dfd9b3773324b85ec183",Article,Scopus,2-s2.0-84879424354
"Pérez-Guerrero, S., Redondo, A.J., Yela, J.L.","Local abundance patterns of noctuid moths in olive orchards: life-history traits, distribution type and habitat interactions.",2011,"Journal of insect science (Online)","11",,,"32","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860402788&partnerID=40&md5=e694837fa31270a7a586c67b94b2bddd",Article,Scopus,2-s2.0-84860402788
"Pérez-Guerrero, S., Redondo, A.J., Yela, J.L.","Local abundance patterns of noctuid moths in olive orchards: Life-history traits, distribution type and habitat interactions",2011,"Journal of Insect Science","11",, 32,"","",,1,10.1673/031.011.0132,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955509809&partnerID=40&md5=0537b7a70298c0c41d122d31890f49ba",Article,Scopus,2-s2.0-79955509809
"Triviño, V., Escudero, C.M., Martínez, I., Vargas, S.M., Pires, P., Gastón, J., Corley, M.F.V., Rietz, H., Fibiger, M., Yela, J.L.","Expansion of distribution area following climate change versus increasing knowledge accuracy: The case of Earias albovenosana in the Iberian Peninsula (Lepidoptera: Noctuidae: Nolinae)",2009,"Entomologia Generalis","32","3",,"181","192",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957829314&partnerID=40&md5=9f3f86a5422ae09277462a6621c7bd8c",Article,Scopus,2-s2.0-77957829314
"Kleijn, D., Baquero, R.A., Clough, Y., Díaz, M., De Esteban, J., Fernández, F., Gabriel, D., Herzog, F., Holzschuh, A., Jöhl, R., Knop, E., Kruess, A., Marshall, E.J.P., Steffan-Dewenter, I., Tscharntke, T., Verhulst, J., West, T.M., Yela, J.L.","Mixed biodiversity benefits of agri-environment schemes in five European countries",2006,"Ecology Letters","9","3",,"243","254",,450,10.1111/j.1461-0248.2005.00869.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644962874&partnerID=40&md5=eb935a1af3595d1326aed72088c968e5",Review,Scopus,2-s2.0-33644962874
"Yela, J.L.","The internal genitalia as a taxonomic tool: Description of the relict endemic moth, Coranarta restricta sp. n., from the Iberian Peninsula (Lepidoptera: Noctuidae: Hadeninae)",2002,"Entomologica Fennica","13","1",,"1","12",,5,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036012233&partnerID=40&md5=59d759890928b734cbe6df242beb1de7",Article,Scopus,2-s2.0-0036012233
"Yela, J.L., Honey, M.R., Ronkay, L.","The identity and systematic placement of Pechipogo plumigeralis Hübner, [1825], Herminia crinalis Treitschke, 1829 and H. simplicicornis Zerny, 1935 (Lepidoptera: Noctuidae, Herminiinae)",1997,"Entomologica Scandinavica","28","2",,"189","197",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33749479772&partnerID=40&md5=db56c137269d1749a903fc17fbbfeb6c",Article,Scopus,2-s2.0-33749479772
"Yela, J.L., Lawton, J.H.","Insect herbivore loads on native and introduced plants: A preliminary study",1997,"Entomologia Experimentalis et Applicata","85","3",,"275","279",,26,10.1023/A:1003125930772,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031405945&partnerID=40&md5=d7b95ebcdb06cd48ec593436aa5b4f12",Article,Scopus,2-s2.0-0031405945
"Yela, J.L., Honey, M.R., Ronkay, L.","The identity and systematic placement of Pechipogo plumigeralis Hübner, [1825], Herminia crinalis Treitschke, 1829 and H. Simplicicornis Zerny, 1935 (Lepidoptera: Noctuidae, Herminiinae)",1997,"Insect Systematics and Evolution","28","2",,"189","197",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0031521465&partnerID=40&md5=0b280f1a19100b6c7ccace30dfc405b7",Article,Scopus,2-s2.0-0031521465
"Yela, J.L., Holyoak, M.","Effects of Moonlight and Meteorological Factors on Light and Bait Trap Catches of Noctuid Moths (Lepidoptera: Noctuidae)",1997,"Environmental Entomology","26","6",,"1283","1290",,87,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0000939210&partnerID=40&md5=ed5308471ecd5449b84a77d772b524b2",Article,Scopus,2-s2.0-0000939210
"Yela, J.L., Herrera, C.M.","Seasonality and life cycles of woody plant-feeding noctuid moths (Lepidoptera: Noctuidae) in Mediterranean habitats",1993,"Ecological Entomology","18","3",,"259","269",,29,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0027794402&partnerID=40&md5=37139247ea7c1b65812fc534fc42a152",,Scopus,2-s2.0-0027794402
"Yela, J.L., Calle, J.A.","Lygephila fonti n.sp., from the Iberian Peninsula - Lepidoptera, Noctuidae [Lygephila fonti sp.n., de la Peninsula Iberica (Lepidoptera, Noctuidae)]",1988,"Miscel.lania Zoologica","12",,,"205","211",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0024179382&partnerID=40&md5=6278035b17c0e29ccf0ad7fc8b9d3310",,Scopus,2-s2.0-0024179382
