Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"von Weizsäcker, E.U.","Overcoming the mikado situation",2014,"Global Policy","5","s1",,"21","23",,,10.1111/1758-5899.12165,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907960359&partnerID=40&md5=300000c27722ad4f9050982892b63280",Note,Scopus,2-s2.0-84907960359
"Shanin, T., von Weizsäcker, E.U.","Escaping Pernicious Dualism: Civil Society between the State and the Firm",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"325","327",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926401729&partnerID=40&md5=e9420a2042dd732e6b9d0cee283ae28e",Book Chapter,Scopus,2-s2.0-84926401729
"Schneidereit, N., von Weizsäcker, E.U.","Privatization and municipal democracy",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"307","310",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926399791&partnerID=40&md5=d876998abdcd661085d236102a2aed0f",Book Chapter,Scopus,2-s2.0-84926399791
"von Weizsäcker, E.U.","Environmental impacts of privatization",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"271","282",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926398364&partnerID=40&md5=10312026d12812a683b9c9aab2d5b20b",Book Chapter,Scopus,2-s2.0-84926398364
"von Weizsäcker, E.U., Young, O.R., Finger, M., Beisheim, M.","Limits to privatization how to avoid too much of a good thing a report to the club of Rome",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"1","414",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926257442&partnerID=40&md5=51e5e0d460fb9f7d68174893f991f1c3",Book,Scopus,2-s2.0-84926257442
"von Weizsäcker, E.U.","Post-War History: The UPS and Downs of the Public Sector",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"175","187",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926399306&partnerID=40&md5=357c182042b4acd2d3bcde5d013596d7",Book Chapter,Scopus,2-s2.0-84926399306
"von Weizsäcker, E.U., Young, O.R., Finger, M.","Preface",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"14","15",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926256269&partnerID=40&md5=2ae1dfb7b00d2559120e41e4c9333af4",Editorial,Scopus,2-s2.0-84926256269
"von Weizsäcker, E.U., Young, O.R., Finger, M., Beisheim, M.","Lessons learned from privatization",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"351","352",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926399260&partnerID=40&md5=d6db53baf0f9a48bc369321f9ab5e44f",Book Chapter,Scopus,2-s2.0-84926399260
"von Weizsäcker, E.U., Young, O.R., Finger, M.","Introduction: Limits to privatization",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"3","14",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926254412&partnerID=40&md5=c8425b3f4c25a7db3926b99c2be2ed1b",Book Chapter,Scopus,2-s2.0-84926254412
"von Weizsäcker, E.U.","Management success at rostock, Germany",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"39","40",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926251279&partnerID=40&md5=4942ce2107e02f610a9538c86ab74b96",Book Chapter,Scopus,2-s2.0-84926251279
"von Weizsäcker, E.U.","Private Forests in Germany",2012,"Limits to Privatization How to Avoid too Much of a Good Thing a Report to the Club of Rome",,,,"61","64",,,10.4324/9781849771832,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926260301&partnerID=40&md5=ac57372d55f6ad45dbee89384ee1d7ca",Book Chapter,Scopus,2-s2.0-84926260301
"Vanpeperstraete, B., Duyck, S., Bhandari, M.P., Brizga, J., Rijnhout, L., Lorek, S., Castro, A.P., Chang, C.T., Daly, H., Didham, R.J., Ferraro, G., Greenfield, O., Khosla, A., von Weizsäcker, E.U., Lode, B., Miles, S., Pacini, H., Silveira, S., Perch, L., Rijnsburger, J., Sanwal, M., Savarala, S., Jacob Scherr, S., Seetharam, K.E., Adeeb, A.M.M., Shepherd, D., Smith, A., Ulatowska, L., Vincent, A., John, W.","""What do you think should be the two or three highest priority political outcomes of the United Nations Conference on Sustainable Development (Rio+20), scheduled for Rio de Janeiro in June 2012?""",2011,"Natural Resources Forum","35","4",,"334","342",,3,10.1111/j.1477-8947.2011.01409.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82255183243&partnerID=40&md5=fa882ec339a9248c4e14ee32b9c524fc",Note,Scopus,2-s2.0-82255183243
"Netzer, N., von Weizsäcker, E.U.","Population growth and climate change: how synergies between climate policy and population policies through a sustainable and environmentally sustainable model of development can be achieved [Bevölkerungswachstum und klimawandel: Wie synergien zwischen klimapolitik und bevölkerungspolitischen maßnahmen durch ein nachhaltiges und ökologisch verträgliches entwicklungsmodell erzielt werden können]",2011,"Internationale Politik und Gesellschaft",,"2",,"180","190",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79955414724&partnerID=40&md5=5ae39bc8737783651b2ac4234d1decd7",Article,Scopus,2-s2.0-79955414724
