Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Zhang, X., Meng, L., Liu, B., Hu, Y., Cheng, F., Liang, J., Aarts, M.G.M., Wang, X., Wu, J.","A transposon insertion in FLOWERING LOCUS T is associated with delayed flowering in Brassica rapa",2015,"Plant Science","241",,,"211","220",,,10.1016/j.plantsci.2015.10.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945574571&partnerID=40&md5=78cf72869f157761ecb22f51387b3a67",Article,Scopus,2-s2.0-84945574571
"Zuluaga, D.L., van Ommen Kloeke, A.E.E., Verkerk, R., Röling, W.F.M., Ellers, J., Roelofs, D., Aarts, M.G.M.","Biofumigation using a wild Brassica oleracea accession with high glucosinolate content affects beneficial soil invertebrates",2015,"Plant and Soil","394","1-2",,"155","163",,,10.1007/s11104-015-2497-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940436400&partnerID=40&md5=04640cb81e8502a534bf91c97e0e71fb",Article,Scopus,2-s2.0-84940436400
"De Graaf, R.M., Krosse, S., Swolfs, Ad.E.M., Te Brinke, E.T., Prill, N.T., Leimu, R., Van Galen, P.M., Wang, Y., Aarts, M.G.M., Van Dam, N.M.","Isolation and identification of 4-α-rhamnosyloxy benzyl glucosinolate in Noccaea caerulescens showing intraspecific variation",2015,"Phytochemistry","110",,,"166","171",,2,10.1016/j.phytochem.2014.11.016,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921470685&partnerID=40&md5=077ad45028f02616e1ed40f4ca2e5da2",Article,Scopus,2-s2.0-84921470685
"El-Soda, M., Kruijer, W., Malosetti, M., Koornneef, M., Aarts, M.G.M.","Quantitative trait loci and candidate genes underlying genotype by environment interaction in the response of Arabidopsis thaliana to drought",2015,"Plant, Cell and Environment","38","3",,"585","599",,2,10.1111/pce.12418,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922706710&partnerID=40&md5=6a729fe725a47004aead83f17cba01a4",Article,Scopus,2-s2.0-84922706710
"Fort, A., Ryder, P., Mckeown, P.C., Wijnen, C., Aarts, M.G., Sulpice, R., Spillane, C.","Disaggregating polyploidy, parental genome dosage and hybridity contributions to heterosis in Arabidopsis thaliana",2015,"New Phytologist",,,,"","",,,10.1111/nph.13650,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945156522&partnerID=40&md5=f21f7cf1a3598d9d2b0877c5fdfac896",Article in Press,Scopus,2-s2.0-84945156522
"Villafort Carvalho, M.T., Pongrac, P., Mumm, R., van Arkel, J., van Aelst, A., Jeromel, L., Vavpetič, P., Pelicon, P., Aarts, M.G.M.","Gomphrena claussenii, a novel metal-hypertolerant bioindicator species, sequesters cadmium, but not zinc, in vacuolar oxalate crystals",2015,"New Phytologist","208","3",,"763","775",,,10.1111/nph.13500,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945453713&partnerID=40&md5=b4293a409fba327e14c855be3d677f34",Article,Scopus,2-s2.0-84945453713
"Rooijen, R.V., Aarts, M.G.M., Harbinson, J.","Natural genetic variation for acclimation of photosynthetic light use efficiency to growth irradiance in Arabidopsis",2015,"Plant Physiology","167","4",,"1412","1429",,,10.1104/pp.114.252239,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926228615&partnerID=40&md5=ac6fe361b02f5c55f865f8c4cad34b89",Article,Scopus,2-s2.0-84926228615
"Halimaa, P., Blande, D., Aarts, M.G.M., Tuomainen, M., Tervahauta, A., Kärenlampi, S.","Comparative transcriptome analysis of the metal hyperaccumulator Noccaea caerulescens",2014,"Frontiers in Plant Science","5","MAY", 213,"","",,3,10.3389/fpls.2014.00213,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902270568&partnerID=40&md5=2ba9f6cb678852db1eeabc9f2e978f4b",Review,Scopus,2-s2.0-84902270568
"Flood, P.J., Yin, L., Herdean, A., Harbinson, J., Aarts, M.G.M., Spetea, C.","Natural variation in phosphorylation of photosystem II proteins in Arabidopsis thaliana: Is it caused by genetic variation in the STN kinases?",2014,"Philosophical Transactions of the Royal Society B: Biological Sciences","369","1640",,"","",,2,10.1098/rstb.2013.0499,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896690849&partnerID=40&md5=61c1272f5ebae04e1f4cbd29456df6c0",Article,Scopus,2-s2.0-84896690849
"El-Soda, M., Boer, M.P., Bagheri, H., Hanhart, C.J., Koornneef, M., Aarts, M.G.M.","Genotype-environment interactions affecting preflowering physiological and morphological traits of Brassica rapa grown in two watering regimes",2014,"Journal of Experimental Botany","65","2",,"697","708",,4,10.1093/jxb/ert434,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893302468&partnerID=40&md5=eccae1cd4294f34b3e5d9c4fa7340e7c",Article,Scopus,2-s2.0-84893302468
