Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Buck, A.H., Coakley, G., Simbari, F., McSorley, H.J., Quintana, J.F., Le Bihan, T., Kumar, S., Abreu-Goodger, C., Lear, M., Harcus, Y., Ceroni, A., Babayan, S.A., Blaxter, M., Ivens, A., Maizels, R.M.","Erratum: Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity(Nature Communications (2014) 5(5488) 10.1038/ncomms6488)",2015,"Nature Communications","6",, 8772,"","",,,10.1038/ncomms9772,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945137472&partnerID=40&md5=c4d8f8e61fd8a8dc2f991a7a7d094194",Erratum,Scopus,2-s2.0-84945137472
"Gutjahr, C., Sawers, R.J.H., Marti, G., Andrés-Hernández, L., Yang, S.-Y., Casieri, L., Angliker, H., Oakeley, E.J., Wolfender, J.-L., Abreu-Goodger, C., Paszkowski, U.","Transcriptome diversity among rice root types during asymbiosis and interaction with arbuscular mycorrhizal fungi",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","21",,"6754","6759",,1,10.1073/pnas.1504142112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930227071&partnerID=40&md5=834dbb0c4b491bfd02f98813ba520f3d",Article,Scopus,2-s2.0-84930227071
"González-Muñoz, E., Avendaño, A.-O.-V., Chávez Montes, R.A., de Folter, S., Andrés-Hernández, L., Abreu-Goodger, C., Sawers, R.J.H.","The maize (Zea mays ssp. mays var. B73) genome encodes 33 members of the purple acid phosphatase family",2015,"Frontiers in Plant Science","6","MAY", 341,"1","12",,,10.3389/fpls.2015.00341,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934877706&partnerID=40&md5=07147dbc24add2b5d2a14f6f0afcd370",Article,Scopus,2-s2.0-84934877706
"Buck, A.H., Coakley, G., Simbari, F., McSorley, H.J., Quintana, J.F., Le Bihan, T., Kumar, S., Abreu-Goodger, C., Lear, M., Harcus, Y., Ceroni, A., Babayan, S.A., Blaxter, M., Ivens, A., Maizels, R.M.","Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity",2014,"Nature Communications","5",, 5488,"","",,24,10.1038/ncomms6488,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921530965&partnerID=40&md5=0e469b56280a9e048194f332be2d8f55",Article,Scopus,2-s2.0-84921530965
"Nam, J.-W., Rissland, O.S., Koppstein, D., Abreu-Goodger, C., Jan, C., Agarwal, V., Yildirim, M.A., Rodriguez, A., Bartel, D.P.","Global analyses of the effect of different cellular contexts on microRNA targeting",2014,"Molecular Cell","53","6",,"1031","1043",,23,10.1016/j.molcel.2014.02.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896397929&partnerID=40&md5=edf19e335af186c7c141142236dac40b",Article,Scopus,2-s2.0-84896397929
"Lu, D., Nakagawa, R., Lazzaro, S., Staudacher, P., Abreu-Goodger, C., Henley, T., Boiani, S., Leyland, R., Galloway, A., Andrews, S., Butcher, G., Nutt, S.L., Turner, M., Vigorito, E.","The miR-155-PU.1 axis acts on Pax5 to enable efficient terminal B cell differentiation",2014,"Journal of Experimental Medicine","211","11",,"2183","2198",,7,10.1084/jem.20140338,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908252748&partnerID=40&md5=fe7d1c888bfbafe489e93e1b0ebeaf63",Article,Scopus,2-s2.0-84908252748
"Sanchez-Flores, A., Abreu-Goodger, C.","A practical guide to sequencing genomes and transcriptomes",2014,"Current Topics in Medicinal Chemistry","14","3",,"398","406",,,10.2174/1568026613666131204142353,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894092867&partnerID=40&md5=77a3e7254665af57520ca088bd9d25f9",Article,Scopus,2-s2.0-84894092867
"Gurha, P., Wang, T., Larimore, A.H., Sassi, Y., Abreu-Goodger, C., Ramirez, M.O., Reddy, A.K., Engelhardt, S., Taffet, G.E., Wehrens, X.H.T., Entman, M.L., Rodriguez, A.","microRNA-22 Promotes Heart Failure through Coordinate Suppression of PPAR/ERR-Nuclear Hormone Receptor Transcription",2013,"PLoS ONE","8","9", e75882,"","",,18,10.1371/journal.pone.0075882,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884681224&partnerID=40&md5=54d0219b8253b22d78194fc5dd1a53cc",Article,Scopus,2-s2.0-84884681224
"Llera-Herrera, R., García-Gasca, A., Abreu-Goodger, C., Huvet, A., Ibarra, A.M.","Identification of Male Gametogenesis Expressed Genes from the Scallop Nodipecten subnodosus by Suppressive Subtraction Hybridization and Pyrosequencing",2013,"PLoS ONE","8","9", e73176,"","",,8,10.1371/journal.pone.0073176,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884182118&partnerID=40&md5=4de3686adc1fe157f8d06f6c759f5e4b",Article,Scopus,2-s2.0-84884182118
"Davis, M.P.A., van Dongen, S., Abreu-Goodger, C., Bartonicek, N., Enright, A.J.","Kraken: A set of tools for quality control and analysis of high-throughput sequence data",2013,"Methods","63","1",,"41","49",,19,10.1016/j.ymeth.2013.06.027,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883492771&partnerID=40&md5=430235ece521cdb9bffc819470b1049c",Article,Scopus,2-s2.0-84883492771
