Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Castellanos-Hernández, O.A., Acevedo-Hernández, G.J., Torres-Morán, M.I., Zurita, F., Gutiérrez-Lomelí, M., Del Toro-Sánchez, C.L., Rodríguez-Sahagún, A.","In vitro clonal propagation and regeneration of the commercially important plant Mexican oregano (Lippia graveolens)",2013,"In Vitro Cellular and Developmental Biology - Plant","49","5",,"620","625",,,10.1007/s11627-013-9538-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886599589&partnerID=40&md5=58ff78cc0117acbf9510efb4000c7a31",Article,Scopus,2-s2.0-84886599589
"Ibarra-Laclette, E., Lyons, E., Hernández-Guzmán, G., Pérez-Torres, C.A., Carretero-Paulet, L., Chang, T.-H., Lan, T., Welch, A.J., Juárez, M.J.A., Simpson, J., Fernández-Cortés, A., Arteaga-Vázquez, M., Góngora-Castillo, E., Acevedo-Hernández, G., Schuster, S.C., Himmelbauer, H., Minoche, A.E., Xu, S., Lynch, M., Oropeza-Aburto, A., Cervantes-Pérez, S.A., De Jesús Ortega-Estrada, M., Cervantes-Luevano, J.I., Michael, T.P., Mockler, T., Bryant, D., Herrera-Estrella, A., Albert, V.A., Herrera-Estrella, L.","Architecture and evolution of a minute plant genome",2013,"Nature","498","7452",,"94","98",,49,10.1038/nature12132,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878713991&partnerID=40&md5=42ce19fee69f02d0466f51812b332bdc",Article,Scopus,2-s2.0-84878713991
"Acevedo-Hernández, G., Oropeza-Aburto, A., Herrera-Estrella, L.","A specific variant of the PHR1 binding site is highly enriched in the Arabidopsis phosphate-responsive phospholipase DZ2 coexpression network.",2012,"Plant signaling & behavior","7","8",,"914","917",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874811716&partnerID=40&md5=c767490f8e5290be0d2d0c47b6dd7a7c",Article,Scopus,2-s2.0-84874811716
"Acevedo-Hernández, G., Oropeza-Aburto, A., Herrera-Estrella, L.","A specific variant of the PHR1 binding site is highly enriched in the Arabidopsis phosphate-responsive phospholipase DZ2 coexpression network",2012,"Plant Signaling and Behavior","7","8",,"","",,,10.4161/psb.20749,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84864823081&partnerID=40&md5=85220941752fde1ba44b7605cc78a882",Article,Scopus,2-s2.0-84864823081
"Oropeza-Aburto, A., Cruz-Ramírez, A., Acevedo-Hernández, G.J., Pérez-Torres, C.-A., Caballero-Pérez, J., Herrera-Estrella, L.","Functional analysis of the Arabidopsis PLDZ2 promoter reveals an evolutionarily conserved low-Pi-responsive transcriptional enhancer element",2012,"Journal of Experimental Botany","63","5",,"2189","2202",,13,10.1093/jxb/err446,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858052943&partnerID=40&md5=d8cc83114e01db609d5a90456e67e9e8",Article,Scopus,2-s2.0-84858052943
"Grbić, M., Van Leeuwen, T., Clark, R.M., Rombauts, S., Rouzé, P., Grbić, V., Osborne, E.J., Dermauw, W., Ngoc, P.C.T., Ortego, F., Hernández-Crespo, P., Diaz, I., Martinez, M., Navajas, M., Sucena, E., Magalhães, S., Nagy, L., Pace, R.M., Djuranović, S., Smagghe, G., Iga, M., Christiaens, O., Veenstra, J.A., Ewer, J., Villalobos, R.M., Hutter, J.L., Hudson, S.D., Velez, M., Yi, S.V., Zeng, J., Pires-Da Silva, A., Roch, F., Cazaux, M., Navarro, M., Zhurov, V., Acevedo, G., Bjelica, A., Fawcett, J.A., Bonnet, E., Martens, C., Baele, G., Wissler, L., Sanchez-Rodriguez, A., Tirry, L., Blais, C., Demeestere, K., Henz, S.R., Gregory, T.R., Mathieu, J., Verdon, L., Farinelli, L., Schmutz, J., Lindquist, E., Feyereisen, R., Van De Peer, Y.","The genome of Tetranychus urticae reveals herbivorous pest adaptations",2011,"Nature","479","7374",,"487","492",,177,10.1038/nature10640,"http://www.scopus.com/inward/record.url?eid=2-s2.0-81855212676&partnerID=40&md5=a7fdd8f7f05186ae39cf3abd5964bbb6",Article,Scopus,2-s2.0-81855212676
"Rodríguez-Sahagún, A., Acevedo-Hernández, G., Rodríguez-Domínguez, J.M., Rodríguez-Garay, B., Cervantes-Martínez, J., Castellanos-Hernández, O.A.","Effect of light quality and culture medium on somatic embryogenesis of Agave tequilana Weber var. Azul",2011,"Plant Cell, Tissue and Organ Culture","104","2",,"271","275",,8,10.1007/s11240-010-9815-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79251644449&partnerID=40&md5=9ecddd570142d44cf80973728b585778",Article,Scopus,2-s2.0-79251644449
"Castellanos-Hernández, O.A., Rodríguez-Sahagún, A., Acevedo-Hernández, G.J., Rodríguez-Garay, B., Cabrera-Ponce, J.L., Herrera-Estrella, L.R.","Transgenic Paulownia elongata S. Y. Hu plants using biolistic-mediated transformation",2009,"Plant Cell, Tissue and Organ Culture","99","2",,"175","181",,4,10.1007/s11240-009-9590-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350554408&partnerID=40&md5=1a1ac6e8d981c6270abe8c146a019809",Article,Scopus,2-s2.0-70350554408
"López-Ochoa, L., Acevedo-Hernández, G., Martínez-Hernández, A., Argüello-Astorga, G., Herrera-Estrella, L.","Structural relationships between diverse cis-acting elements are critical for the functional properties of a rbcS minimal light regulatory unit",2007,"Journal of Experimental Botany","58","15-16",,"4397","4406",,12,10.1093/jxb/erm307,"http://www.scopus.com/inward/record.url?eid=2-s2.0-40049101272&partnerID=40&md5=b37cb65c9f97bea2932605c0b42b44d3",Article,Scopus,2-s2.0-40049101272
"López-Bucio, J., Acevedo-Hernández, G., Ramírez-Chávez, E., Molina-Torres, J., Herrera-Estrella, L.","Novel signals for plant development",2006,"Current Opinion in Plant Biology","9","5",,"523","529",,32,10.1016/j.pbi.2006.07.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33747891025&partnerID=40&md5=86b13790a9512774104d572e58bd2ea1",Review,Scopus,2-s2.0-33747891025
