Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ali, Z., Abulfaraj, A., Idris, A., Ali, S., Tashkandi, M., Mahfouz, M.M.","CRISPR/Cas9-mediated viral interference in plants",2015,"Genome Biology","16","1", 238,"","",,,10.1186/s13059-015-0799-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946745735&partnerID=40&md5=33b2e2d93e07372f6075d26aa2694b81",Article,Scopus,2-s2.0-84946745735
"Aouida, M., Eid, A., Ali, Z., Cradick, T., Lee, C., Deshmukh, H., Atef, A., Abusamra, D., Gadhoum, S.Z., Merzaban, J., Bao, G., Mahfouz, M.","Efficient fdCas9 synthetic endonuclease with improved specificity for precise genome engineering",2015,"PLoS ONE","10","7", e0133373,"","",,,10.1371/journal.pone.0133373,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941975665&partnerID=40&md5=2b54ccfd1c4d5cd0680939a33500496f",Article,Scopus,2-s2.0-84941975665
"Piatek, A., Ali, Z., Baazim, H., Li, L., Abulfaraj, A., Al-Shareef, S., Aouida, M., Mahfouz, M.M.","RNA-guided transcriptional regulation in planta via synthetic dCas9-based transcription factors",2015,"Plant Biotechnology Journal","13","4",,"578","589",,4,10.1111/pbi.12284,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928212884&partnerID=40&md5=2ad62f700240aacbfad137909b7dae3d",Article,Scopus,2-s2.0-84928212884
"Aouida, M., Li, L., Mahjoub, A., Alshareef, S., Ali, Z., Piatek, A., Mahfouz, M.M.","Transcription activator-like effector nucleases mediated metabolic engineering for enhanced fatty acids production in Saccharomyces cerevisiae",2015,"Journal of Bioscience and Bioengineering","120","4",,"364","371",,1,10.1016/j.jbiosc.2015.02.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940891387&partnerID=40&md5=b6cf190fc2b197eb1220ae3a37c4e73d",Article,Scopus,2-s2.0-84940891387
"Ali, Z., Abul-Faraj, A., Li, L., Ghosh, N., Piatek, M., Mahjoub, A., Aouida, M., Piatek, A., Baltes, N.J., Voytas, D.F., Dinesh-Kumar, S., Mahfouz, M.M.","Efficient Virus-Mediated Genome Editing in Plants Using the CRISPR/Cas9 System",2015,"Molecular Plant","8","8", 97,"1288","1291",,4,10.1016/j.molp.2015.02.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938746255&partnerID=40&md5=8f78c8a89f19e01de1a2e8ad66f7caeb",Article,Scopus,2-s2.0-84938746255
"Kim, W.-Y., Ali, Z., Park, H.J., Park, S.J., Cha, J.-Y., Perez-Hormaeche, J., Quintero, F.J., Shin, G., Kim, M.R., Qiang, Z., Ning, L., Park, H.C., Lee, S.Y., Bressan, R.A., Pardo, J.M., Bohnert, H.J., Yun, D.-J.","Release of SOS2 kinase from sequestration with GIGANTEA determines salt tolerance in Arabidopsis",2013,"Nature Communications","4",, 1352,"","",,31,10.1038/ncomms2357,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875581613&partnerID=40&md5=1a5ef8a96bcabdeee5f47b97102b1ddc",Article,Scopus,2-s2.0-84875581613
"Ali, A., Park, H.C., Aman, R., Ali, Z., Yun, D.-J.","Role of HKT1 in thellungiella salsuginea, a model extremophile plant",2013,"Plant Signaling and Behavior","8","8",,"","",,4,10.4161/psb.25196,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881032686&partnerID=40&md5=07a64dd5a050533cb5eecd322405737c",Article,Scopus,2-s2.0-84881032686
"Li, L., Atef, A., Piatek, A., Ali, Z., Piatek, M., Aouida, M., Sharakuu, A., Mahjoub, A., Wang, G., Khan, S., Fedoroff, N.V., Zhu, J.-K., Mahfouz, M.M.","Characterization and DNA-binding specificities of Ralstonia TAL-like effectors",2013,"Molecular Plant","6","4",,"1318","1330",,22,10.1093/mp/sst006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880287458&partnerID=40&md5=06a183623921e924c0fdfb18b03d8333",Article,Scopus,2-s2.0-84880287458
"Kim, W.-Y., Ali, Z., Park, H.J., Park, S.J., Cha, J.-Y., Perez-Hormaeche, J., Quintero, F.J., Shin, G., Kim, M.R., Qiang, Z., Ning, L., Park, H.C., Lee, S.Y., Bressan, R.A., Pardo, J.M., Bohnert, H.J., Yun, D.-J.","Erratum: Release of SOS2 kinase from sequestration with GIGANTEA determines salt tolerance in Arabidopsis (Nature Communications (2013) 4 (1352) DOI:10.1038/ncomms2357)",2013,"Nature Communications","4",, 1820,"","",,1,10.1038/ncomms2846,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878589421&partnerID=40&md5=97b718017c0c543d6f299daf6d896e2a",Erratum,Scopus,2-s2.0-84878589421
"Ali, Z., Park, H.C., Ali, A., Oh, D.-H., Aman, R., Kropornicka, A., Hong, H., Choi, W., Chung, W.S., Kim, W.-Y., Bressan, R.A., Bohnert, H.J., Lee, S.Y., Yun, D.-J.","TsHKT1;2, a HKT1 homolog from the extremophile arabidopsis relative Thellungiella salsuginea, shows K + specificity in the presence of NaCl",2012,"Plant Physiology","158","3",,"1463","1474",,33,10.1104/pp.111.193110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863230469&partnerID=40&md5=bf18c73e2953245d134f978fd1db98a9",Article,Scopus,2-s2.0-84863230469
