Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Badhan, A., Wang, Y.-X., Gruninger, R., Patton, D., Powlowski, J., Tsang, A., McAllister, T.A.","Improvement in saccharification yield of mixed rumen enzymes by identification of recalcitrant cell wall constituents using enzyme fingerprinting",2015,"BioMed Research International","2015",, 562952,"","",,,10.1155/2015/562952,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934980463&partnerID=40&md5=75dac3e0713349b097c20929cdadb79e",Article,Scopus,2-s2.0-84934980463
"Badhan, A., Wang, Y., Gruninger, R., Patton, D., Powlowski, J., Tsang, A., McAllister, T.","Formulation of enzyme blends to maximize the hydrolysis of alkaline peroxide pretreated alfalfa hay and barley straw by rumen enzymes and commercial cellulases",2014,"BMC Biotechnology","14",, 31,"","",,5,10.1186/1472-6750-14-31,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900468955&partnerID=40&md5=05acc846a8654feac98406f5235c7fcd",Article,Scopus,2-s2.0-84900468955
"Badhan, A., Jin, L., Wang, Y., Han, S., Kowalczys, K., Brown, D.C.W., Ayala, C.J., Latoszek-Green, M., Miki, B., Tsang, A., McAllister, T.","Expression of a fungal ferulic acid esterase in alfalfa modifies cell wall digestibility",2014,"Biotechnology for Biofuels","7","1", 39,"","",,4,10.1186/1754-6834-7-39,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899124266&partnerID=40&md5=38406f23c8f0841a18e41f685fcfa16a",Article,Scopus,2-s2.0-84899124266
"Rashid, A., Badhan, A., Deyholos, M., Kav, N.","Proteomic Profiling of the Aleurone Layer of Mature Arabidopsis thaliana Seed",2013,"Plant Molecular Biology Reporter","31","2",,"464","469",,2,10.1007/s11105-012-0498-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874533187&partnerID=40&md5=3e7958e827f28354e950079c8aa00fae",Article,Scopus,2-s2.0-84874533187
"Roach, M.J., Mokshina, N.Y., Badhan, A., Snegireva, A.V., Hobson, N., Deyholos, M.K., Gorshkova, T.A.","Development of cellulosic secondary walls in flax fibers requires β-galactosidase",2011,"Plant Physiology","156","3",,"1351","1363",,20,10.1104/pp.111.172676,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79960022079&partnerID=40&md5=0c2812bade97a4582490769a9179b969",Article,Scopus,2-s2.0-79960022079
"Badhan, A.K., Chadha, B.S., Saini, H.S.","Purification of the alkaliphilic xylanases from Myceliophthora sp. IMI 387099 using cellulose-binding domain as an affinity tag",2008,"World Journal of Microbiology and Biotechnology","24","7",,"973","981",,6,10.1007/s11274-007-9561-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44649102650&partnerID=40&md5=e9f854321e763a7d0d63e39c85fd7b05",Article,Scopus,2-s2.0-44649102650
"Sonia, K.G., Chadha, B.S., Badhan, A.K., Saini, H.S., Bhat, M.K.","Identification of glucose tolerant acid active β-glucosidases from thermophilic and thermotolerant fungi",2008,"World Journal of Microbiology and Biotechnology","24","5",,"599","604",,20,10.1007/s11274-007-9512-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-42049095517&partnerID=40&md5=fbe18a7e4898bdf67aa40be90827d780",Article,Scopus,2-s2.0-42049095517
"Badhan, A.K., Chadha, B.S., Kaur, J., Sonia, K.G., Saini, H.S., Bhat, M.K.","Role of transglycosylation products in the expression of multiple xylanases in Myceliophthora sp. IMI 387099",2007,"Current Microbiology","54","6",,"405","409",,5,10.1007/s00284-006-0204-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34249087778&partnerID=40&md5=e1d633569fc53866c1f14059822bd768",Article,Scopus,2-s2.0-34249087778
"Badhan, A.K., Chadha, B.S., Kaur, J., Saini, H.S., Bhat, M.K.","Production of multiple xylanolytic and cellulolytic enzymes by thermophilic fungus Myceliophthora sp. IMI 387099",2007,"Bioresource Technology","98","3",,"504","510",,71,10.1016/j.biortech.2006.02.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33748567153&partnerID=40&md5=cd423bf0d953752312a5f7b711d48872",Article,Scopus,2-s2.0-33748567153
"Badhan, A.K., Chadha, B.S., Sonia, K.G., Saini, H.S., Bhat, M.K.","Functionally diverse multiple xylanases of thermophilic fungus Myceliophthora sp. IMI 387099",2004,"Enzyme and Microbial Technology","35","5",,"460","466",,30,10.1016/j.enzmictec.2004.07.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4444355872&partnerID=40&md5=2165ca8780f1c872694a87d8fd0ceccf",Article,Scopus,2-s2.0-4444355872
