Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hummel, M., Dobrenel, T., Cordewener, J.J.H.G., Davanture, M., Meyer, C., Smeekens, S.J.C.M., Bailey-Serres, J., America, T.A.H.P., Hanson, J.","Proteomic LC-MS analysis of Arabidopsis cytosolic ribosomes: Identification of ribosomal protein paralogs and re-annotation of the ribosomal protein genes",2015,"Journal of Proteomics","128",,,"436","449",,,10.1016/j.jprot.2015.07.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943232798&partnerID=40&md5=0dc7111d85f388e2fadca0cf04a79f80",Article,Scopus,2-s2.0-84943232798
"Bazin, J., Bailey-Serres, J.","Emerging roles of long non-coding RNA in root developmental plasticity and regulation of phosphate homeostasis",2015,"Frontiers in Plant Science","6","June", 400,"","",6,,10.3389/fpls.2015.00400,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935870586&partnerID=40&md5=b53103057759560a5cf487c6303f798b",Review,Scopus,2-s2.0-84935870586
"Mickelbart, M.V., Hasegawa, P.M., Bailey-Serres, J.","Genetic mechanisms of abiotic stress tolerance that translate to crop yield stability",2015,"Nature Reviews Genetics","16","4",,"237","251",,4,10.1038/nrg3901,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925141106&partnerID=40&md5=b1a6e716009b5d0c3be49464b316c500",Review,Scopus,2-s2.0-84925141106
"Reynoso, M.A., Juntawong, P., Lancia, M., Blanco, F.A., Bailey-Serres, J., Zanetti, M.E.","Chapter 9 translating ribosome affi nity purifi cation (TRAP) followed by RNA sequencing technology (TRAP-SEQ) for quantitative assessment of plant translatomes",2015,"Methods in Molecular Biology","1284",,,"185","207",,1,10.1007/978-1-4939-2444-8_9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924912185&partnerID=40&md5=0c51361abf42793153a8fdd246bc5471",Article,Scopus,2-s2.0-84924912185
"Sorenson, R., Bailey-Serres, J.","Rapid immunopurification of ribonucleoprotein complexes of plants",2015,"Methods in Molecular Biology","1284",,,"209","219",,,10.1007/978-1-4939-2444-8_10,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924865539&partnerID=40&md5=aa1f2bc82fd622bb5e8bc1a3dccc68c4",Article,Scopus,2-s2.0-84924865539
"Juntawong, P., Hummel, M., Bazin, J., Bailey-Serres, J.","Ribosome profiling: A tool for quantitative evaluation of dynamics in mRNA translation",2015,"Methods in Molecular Biology","1284",,,"139","173",,,10.1007/978-1-4939-2444-8_7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924859896&partnerID=40&md5=5fcbdd8a297c6676b7ebf790a7355583",Article,Scopus,2-s2.0-84924859896
"Voesenek, L.A.C.J., Bailey-Serres, J.","Flood adaptive traits and processes: An overview",2015,"New Phytologist","206","1",,"57","73",,7,10.1111/nph.13209,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923493986&partnerID=40&md5=6698279ae28525f50f7292ae6a1beebd",Review,Scopus,2-s2.0-84923493986
"Bailey-Serres, J., Colmer, T.D.","Plant tolerance of flooding stress - recent advances",2014,"Plant, Cell and Environment",,,,"","",,,10.1111/pce.12420,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906294881&partnerID=40&md5=ee2b0b8da7c9cccd642f57a2afcbeb0e",Article in Press,Scopus,2-s2.0-84906294881
"Sorenson, R., Bailey-Serres, J.","Selective mRNA sequestration by OLIGOURIDYLATEBINDING PROTEIN 1 contributes to translational control during hypoxia in Arabidopsis",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","6",,"2373","2378",,7,10.1073/pnas.1314851111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893871275&partnerID=40&md5=c451f05487151d0127c4ea57bfa0b55e",Article,Scopus,2-s2.0-84893871275
"Juntawong, P., Girke, T., Bazin, J., Bailey-Serres, J.","Translational dynamics revealed by genome-wide profiling of ribosome footprints in Arabidopsis",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","1",,"E203","E212",,30,10.1073/pnas.1317811111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891945795&partnerID=40&md5=5693493cdac15c9cb345eb64e17c0c2c",Article,Scopus,2-s2.0-84891945795
