Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Larney, C., Bailey, T.L., Koopman, P.","Conservation analysis of sequences flanking the testis-determining gene Sry in 17 mammalian species Gametogenesis and fertilization",2015,"BMC Developmental Biology","15","1", 34,"","",,,10.1186/s12861-015-0085-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943230043&partnerID=40&md5=89e59259ef6614d07b15c22f7d6c711c",Article,Scopus,2-s2.0-84943230043
"Vidovic, D., Harris, L., Harvey, T.J., Evelyn Heng, Y.H., Smith, A.G., Osinski, J., Hughes, J., Thomas, P., Gronostajski, R.M., Bailey, T.L., Piper, M.","Expansion of the lateral ventricles and ependymal deficits underlie the hydrocephalus evident in mice lacking the transcription factor NFIX",2015,"Brain Research",,,,"","",,,10.1016/j.brainres.2015.04.057,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929650202&partnerID=40&md5=95e0cadeb21a68168a44d95e2c7c61ab",Article in Press,Scopus,2-s2.0-84929650202
"Lim, J.W.C., Donahoo, A.-L.S., Bunt, J., Edwards, T.J., Fenlon, L.R., Liu, Y., Zhou, J., Moldrich, R.X., Piper, M., Gobius, I., Bailey, T.L., Wray, N.R., Kessaris, N., Poo, M.-M., Rubenstein, J.L.R., Richards, L.J.","EMX1 regulates NRP1-mediated wiring of the mouse anterior cingulate cortex",2015,"Development (Cambridge)","142","21",,"3746","3757",,,10.1242/dev.119909,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946593084&partnerID=40&md5=6dbd058d3d1652ab600da59944c5779f",Article,Scopus,2-s2.0-84946593084
"Lesluyes, T., Johnson, J., Machanick, P., Bailey, T.L.","Differential motif enrichment analysis of paired ChIP-seq experiments",2014,"BMC Genomics","15","1", 752,"","",,2,10.1186/1471-2164-15-752,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907281048&partnerID=40&md5=4902d4e54ec20c355a0939a5beebfd66",Article,Scopus,2-s2.0-84907281048
"Plachez, C., Cato, K., McLeay, R.C., Heng, Y.H.E., Bailey, T.L., Gronostasjki, R.M., Richards, L.J., Puche, A.C., Piper, M.","Expression of nuclear factor one A and -B in the olfactory bulb",2014,"Journal of Comparative Neurology","522","11",,"2688","2688",,,10.1002/cne.23574,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901599420&partnerID=40&md5=cac2cda005c1c0b2ff4dcc2746452fb2",Erratum,Scopus,2-s2.0-84901599420
"Tanaka, E., Bailey, T.L., Keich, U.","Improving MEME via a two-tiered significance analysis",2014,"Bioinformatics","30","14",,"1965","1973",,2,10.1093/bioinformatics/btu163,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903954627&partnerID=40&md5=9e039b1394dbe8a3a6901055f5b85563",Article,Scopus,2-s2.0-84903954627
"Lajoie, M., Hsu, Y.-C., Gronostajski, R.M., Bailey, T.L.","An overlapping set of genes is regulated by both NFIB and the glucocorticoid receptor during lung maturation",2014,"BMC Genomics","15","1", 231,"","",,1,10.1186/1471-2164-15-231,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899090833&partnerID=40&md5=70e734b21164746dd9597daa4a87c4fe",Article,Scopus,2-s2.0-84899090833
"Piper, M., Barry, G., Harvey, T.J., McLeay, R., Smith, A.G., Harris, L., Mason, S., Stringer, B.W., Day, B.W., Wray, N.R., Gronostajski, R.M., Bailey, T.L., Boyd, A.W., Richards, L.J.","NFIB-mediated repression of the epigenetic factor Ezh2 regulates cortical development",2014,"Journal of Neuroscience","34","8",,"2921","2930",,5,10.1523/JNEUROSCI.2319-13.2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894046977&partnerID=40&md5=92e0637dcb141d015934cfff1b41cfb2",Article,Scopus,2-s2.0-84894046977
"Heng, Y.H.E., McLeay, R.C., Harvey, T.J., Smith, A.G., Barry, G., Cato, K., Plachez, C., Little, E., Mason, S., Dixon, C., Gronostajski, R.M., Bailey, T.L., Richards, L.J., Piper, M.","NFIX regulates neural progenitor cell differentiation during hippocampal morphogenesis",2014,"Cerebral Cortex","24","1",,"261","279",,12,10.1093/cercor/bhs307,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885176164&partnerID=40&md5=8c605c5fb8b37b304691222b65e7df0c",Article,Scopus,2-s2.0-84885176164
"Ay, F., Bailey, T.L., Noble, W.S.","Statistical confidence estimation for Hi-C data reveals regulatory chromatin contacts",2014,"Genome Research","24","6",,"999","1011",,20,10.1101/gr.160374.113,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901838628&partnerID=40&md5=255b8eba71a54f96fb42b13176b8dbfd",Article,Scopus,2-s2.0-84901838628
"O'Brien, A., Bailey, T.L.","GT-Scan: Identifying unique genomic targets",2014,"Bioinformatics","30","18",,"2673","2675",,3,10.1093/bioinformatics/btu354,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907486023&partnerID=40&md5=bbf167af0d33e2de4731b2e900a842ac",Article,Scopus,2-s2.0-84907486023
"Mehdi, A.M., Patrick, R., Bailey, T.L., Boden, M.","Predicting the dynamics of protein abundance",2014,"Molecular and Cellular Proteomics","13","5",,"1330","1340",,1,10.1074/mcp.M113.033076,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899747025&partnerID=40&md5=58bbea37fbc00be2a97448e7dfe48a16",Article,Scopus,2-s2.0-84899747025
"Larney, C., Bailey, T.L., Koopman, P.","Switching on sex: Transcriptional regulation of the testis-determining gene Sry",2014,"Development (Cambridge)","141","11",,"2195","2205",,9,10.1242/dev.107052,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901433428&partnerID=40&md5=0d54e6a6fe7ddd93e053d2b4d85c5803",Review,Scopus,2-s2.0-84901433428
"Ma, W., Noble, W.S., Bailey, T.L.","Motif-based analysis of large nucleotide data sets using MEME-ChIP",2014,"Nature Protocols","9","6",,"1428","1450",,6,10.1038/nprot.2014.083,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901830680&partnerID=40&md5=e96b9d6edc9eca43570db6866deb30f1",Article,Scopus,2-s2.0-84901830680
"Bailey, T., Krajewski, P., Ladunga, I., Lefebvre, C., Li, Q., Liu, T., Madrigal, P., Taslim, C., Zhang, J.","Practical Guidelines for the Comprehensive Analysis of ChIP-seq Data",2013,"PLoS Computational Biology","9","11", e1003326,"","",,26,10.1371/journal.pcbi.1003326,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888264156&partnerID=40&md5=789609fd60d0422e99488321d1f38a55",Article,Scopus,2-s2.0-84888264156
"Dixon, C., Harvey, T.J., Smith, A.G., Gronostajski, R.M., Bailey, T.L., Piper, M.","Nuclear factor one x regulates bobby sox during development of the mouse forebrain",2013,"Cellular and Molecular Neurobiology","33","7",,"867","873",,2,10.1007/s10571-013-9961-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885186560&partnerID=40&md5=ea7d97b642311c13f194085d5f7e098c",Article,Scopus,2-s2.0-84885186560
"Buske, F.A., Bauer, D.C., Mattick, J.S., Bailey, T.L.","Triplex-Inspector: An analysis tool for triplex-mediated targeting of genomic loci",2013,"Bioinformatics","29","15",,"1895","1897",,2,10.1093/bioinformatics/btt315,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880525038&partnerID=40&md5=765c599277ad2cf60a4e5f9f87ed2898",Article,Scopus,2-s2.0-84880525038
"Wong, E.S.W., Hardy, M.C., Wood, D., Bailey, T., King, G.F.","SVM-Based Prediction of Propeptide Cleavage Sites in Spider Toxins Identifies Toxin Innovation in an Australian Tarantula",2013,"PLoS ONE","8","7", e66279,"","",,5,10.1371/journal.pone.0066279,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880654224&partnerID=40&md5=df6324f65f06101a8e0f6373e93c83dd",Article,Scopus,2-s2.0-84880654224
"Thandapani, P., O'Connor, T.R., Bailey, T.L., Richard, S.","Defining the RGG/RG Motif",2013,"Molecular Cell","50","5",,"613","623",,39,10.1016/j.molcel.2013.05.021,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878840917&partnerID=40&md5=701ef24344fb7363ebc65408e7a4aafb",Review,Scopus,2-s2.0-84878840917
"Mehdi, A.M., Sehgal, M.S.B., Kobe, B., Bailey, T.L., Bodén, M.","DLocalMotif: A discriminative approach for discovering local motifs in protein sequences",2013,"Bioinformatics","29","1",,"39","46",,2,10.1093/bioinformatics/bts654,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871739991&partnerID=40&md5=00d35d6e8693c4bab17b9e36a7fa49b5",Article,Scopus,2-s2.0-84871739991
"Peterson, K.A., Nishi, Y., Ma, W., Vedenko, A., Shokri, L., Zhang, X., McFarlane, M., Baizabal, J.-M., Junker, J.P., van Oudenaarden, A., Mikkelsen, T., Bernstein, B.E., Bailey, T.L., Bulyk, M.L., Wong, W.H., McMahon, A.P.","Neural-specific Sox2 input and differential Gli-binding affinity provide context and positional information in Shh-directed neural patterning",2012,"Genes and Development","26","24",,"2802","2816",,38,10.1101/gad.207142.112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871587536&partnerID=40&md5=390e40e69563288c0303fa4cd9635b2d",Article,Scopus,2-s2.0-84871587536
"Sun, L., Zhang, Z., Bailey, T.L., Perkins, A.C., Tallack, M.R., Xu, Z., Liu, H.","Prediction of novel long non-coding RNAs based on RNA-Seq data of mouse Klf1 knockout study",2012,"BMC Bioinformatics","13","1", 331,"","",,17,10.1186/1471-2105-13-331,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870899078&partnerID=40&md5=8dd641bc28d6a42f380e544ab790c738",Article,Scopus,2-s2.0-84870899078
