Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Bao, Z., Hua, J.","Interaction of CPR5 with cell cycle regulators UVI4 and OSD1 in Arabidopsis",2014,"PLoS ONE","9","6", e100347,"","",,3,10.1371/journal.pone.0100347,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903288804&partnerID=40&md5=80d6dbf52f04dce1ee9b71d1bdc24652",Article,Scopus,2-s2.0-84903288804
"Bao, Z., Zhang, N., Hua, J.","Endopolyploidization and flowering time are antagonistically regulated by checkpoint component MAD1 and immunity modulator MOS1",2014,"Nature Communications","5",, 5628,"","",,1,10.1038/ncomms6628,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922609805&partnerID=40&md5=a9c0e832da93c303aaad3c12ce61a224",Article,Scopus,2-s2.0-84922609805
"Bao, Z., Yang, H., Hua, J.","Perturbation of cell cycle regulation triggers plant immune response via activation of disease resistance genes",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","6",,"2407","2412",,18,10.1073/pnas.1217024110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873444909&partnerID=40&md5=aa8466cc1791f5aaf4bb19f2efeacd73",Article,Scopus,2-s2.0-84873444909
"Gou, M., Shi, Z., Zhu, Y., Bao, Z., Wang, G., Hua, J.","The F-box protein CPR1/CPR30 negatively regulates R protein SNC1 accumulation",2012,"Plant Journal","69","3",,"411","420",,29,10.1111/j.1365-313X.2011.04799.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856240117&partnerID=40&md5=fc84c61deead2b01a979154317648ed8",Article,Scopus,2-s2.0-84856240117
"Wang, Y., Bao, Z., Zhu, Y., Hua, J.","Analysis of temperature modulation of plant defense against biotrophic microbes",2009,"Molecular Plant-Microbe Interactions","22","5",,"498","506",,59,10.1094/MPMI-22-5-0498,"http://www.scopus.com/inward/record.url?eid=2-s2.0-66149155878&partnerID=40&md5=2bc64b5285fcdb3b7a5f71d74ce5de7a",Article,Scopus,2-s2.0-66149155878
"Ren, X., Liu, F., Bao, Z., Zhang, C., Wu, X., Chen, L., Liu, R., Dong, H.","Root growth of Arabidopsis thaliana is regulated by ethylene and abscisic acid signaling interaction in response to HrpNEa, a bacterial protein of harpin group",2008,"Plant Molecular Biology Reporter","26","3",,"225","240",,15,10.1007/s11105-008-0038-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-48849108558&partnerID=40&md5=833b34661cd6f3594cdbf1042d5744a6",Article,Scopus,2-s2.0-48849108558
"Zhang, C., Qian, J., Bao, Z., Hong, X., Dong, H.","The induction of abscisic-acid-mediated drought tolerance is independent of ethylene signaling in Arabidopsis plants responding to a harpin protein",2007,"Plant Molecular Biology Reporter","25","3-4",,"98","114",,16,10.1007/s11105-007-0012-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-47649090645&partnerID=40&md5=250fb0a8fefd734866183cfb7bf486c0",Article,Scopus,2-s2.0-47649090645
"Dong, H.-P., Yu, H., Bao, Z., Guo, X., Peng, J., Yao, Z., Chen, G., Qu, S., Dong, H.","The ABI2-dependent abscisic acid signalling controls HrpN-induced drought tolerance in Arabidopsis",2005,"Planta","221","3",,"313","327",,43,10.1007/s00425-004-1444-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-21144437937&partnerID=40&md5=576f6c983598ac0d6d1bf839527d2612",Article,Scopus,2-s2.0-21144437937
"Dong, H.-P., Peng, J., Bao, Z., Meng, X., Bonasera, J.M., Chen, G., Beer, S.V., Dong, H.","Downstream divergence of the ethylene signaling pathway for harpin-stimulated arabidopsis growth and insect defense",2004,"Plant Physiology","136","3",,"3628","3638",,74,10.1104/pp.104.048900,"http://www.scopus.com/inward/record.url?eid=2-s2.0-16544376193&partnerID=40&md5=da4a111d2d92023bb8c09af132986f60",Article,Scopus,2-s2.0-16544376193
"Peng, J.-L., Bao, Z.-L., Ren, H.-Y., Wang, J.-S., Dong, H.-S.","Expression of harpinXoo in transgenic tobacco induces pathogen defense in the absence of hypersensitive cell death",2004,"Phytopathology","94","10",,"1048","1055",,63,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4644371409&partnerID=40&md5=5d12f225dffe94704ffd037af4eb53b6",Article,Scopus,2-s2.0-4644371409
"Peng, J.-L., Bao, Z.-L., Li, P., Chen, G.-Y., Wang, J.-S., Dong, H.-S.","HarpinX00 and its functional domains activate pathogen-inducible plant promoters in Arabidopsis",2004,"Acta Botanica Sinica","46","9",,"1083","1090",,14,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-17844383735&partnerID=40&md5=de48c764766434d88f65c358ff0c360c",Article,Scopus,2-s2.0-17844383735
