Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wu, E.Y., Walsh, A.R., Materne, E.C., Hiltner, E.P., Zielinski, B., Miller, B.R., Mawby, L., Modeste, E., Parish, C.A., Barnes, W.M., Kermekchiev, M.B.","A conservative isoleucine to leucine mutation causes major rearrangements and cold sensitivity in KlenTaq1 DNA polymerase",2015,"Biochemistry","54","3",,"881","889",,,10.1021/bi501198f,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922051452&partnerID=40&md5=d5300b666bfcbace7b396d09c2428987",Article,Scopus,2-s2.0-84922051452
"Zhang, Z., Kermekchiev, M.B., Barnes, W.M.","Direct DNA amplification from crude clinical samples using a PCR enhancer cocktail and novel mutants of Taq",2010,"Journal of Molecular Diagnostics","12","2",,"152","161",,35,10.2353/jmoldx.2010.090070,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77649113149&partnerID=40&md5=04dd96b0d34f1a58ff2bd6e9e9d269d5",Article,Scopus,2-s2.0-77649113149
"Kermekchiev, M.B., Kirilova, L.I., Vail, E.E., Barnes, W.M.","Mutants of Taq DNA polymerase resistant to PCR inhibitors allow DNA amplification from whole blood and crude soil samples",2009,"Nucleic Acids Research","37","5", e40,"","",,79,10.1093/nar/gkn1055,"http://www.scopus.com/inward/record.url?eid=2-s2.0-63249099357&partnerID=40&md5=63c4b320fc0819a2e0d79c8092fa5159",Article,Scopus,2-s2.0-63249099357
"Barnes, W.M., Frawley, E.R.","Streamlined gene assembly PCR",2008,"Cold Spring Harbor Protocols","3","3",,"","",,1,10.1101/pdb.prot4862,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44949152388&partnerID=40&md5=4757614fca0a2e21ede5fef4b6ff19f5",Article,Scopus,2-s2.0-44949152388
"Ren, C.-P., Chaudhuri, R.R., Fivian, A., Bailey, C.M., Antonio, M., Barnes, W.M., Pallen, M.J.","The ETT2 gene cluster, encoding a second type III secretion system from Escherichia coli, is present in the majority of strains but has undergone widespread mutational attrition",2004,"Journal of Bacteriology","186","11",,"3547","3560",,53,10.1128/JB.186.11.3547-3560.2004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2442646490&partnerID=40&md5=3fc6b665baeccacf220176785f022bbb",Article,Scopus,2-s2.0-2442646490
"Kermekchiev, M.B., Tzekov, A., Barnes, W.M.","Cold-sensitive mutants of Taq DNA polymerase provide a hot start for PCR",2003,"Nucleic Acids Research","31","21",,"6139","6147",,37,10.1093/nar/gkg813,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0344011118&partnerID=40&md5=8f9026223c18626c5b13ccfc6c3fbf30",Article,Scopus,2-s2.0-0344011118
"Stratman, J.L., Barnes, W.M., Simon, T.C.","Universal PCR genotyping assay that achieves single copy sensitivity with any primer pair",2003,"Transgenic Research","12","4",,"521","522",,26,10.1023/A:1024225408961,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0042360616&partnerID=40&md5=45d5ffd7a38f58bb97aa6ee9dd1db520",Review,Scopus,2-s2.0-0042360616
"Pergams, O.R.W., Barnes, W.M., Nyberg, D.","Erratum: Rapid change in mouse mitochondrial DNA (Nature (2003) 423, (397))",2003,"Nature","423","6943",,"938","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038451471&partnerID=40&md5=5fe5283048170d4511ee90cce67b98b5",Erratum,Scopus,2-s2.0-0038451471
"Pergams, O.R., Barnes, W.M., Nyberg, D.","Mammalian microevolution: Rapid change in mouse mitochondrial DNA.",2003,"Nature","423","6938",,"397","",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038618881&partnerID=40&md5=9e564f4287ce8e23944f0256ec3ea309",Article,Scopus,2-s2.0-0038618881
"Pergams, O.R.W., Barnes, W.M., Nyberg, D.","Rapid change in mouse mitochondrial DNA",2003,"Nature","423","6938",,"397","",,21,10.1038/423397a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037686708&partnerID=40&md5=5c1daf705693c9a023e6c8202e4ab928",Article,Scopus,2-s2.0-0037686708
"Barnes, W.M., Rowlyk, K.R.","Magnesium precipitate hot start method for PCR",2002,"Molecular and Cellular Probes","16","3",,"167","171",,11,10.1006/mcpr.2002.0407,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036599248&partnerID=40&md5=55c54c38fe6a017f1df172b592acb05d",Article,Scopus,2-s2.0-0036599248
