Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Medema, M.H., Kottmann, R., Yilmaz, P., Cummings, M., Biggins, J.B., Blin, K., De Bruijn, I., Chooi, Y.H., Claesen, J., Coates, R.C., Cruz-Morales, P., Duddela, S., Düsterhus, S., Edwards, D.J., Fewer, D.P., Garg, N., Geiger, C., Gomez-Escribano, J.P., Greule, A., Hadjithomas, M., Haines, A.S., Helfrich, E.J.N., Hillwig, M.L., Ishida, K., Jones, A.C., Jones, C.S., Jungmann, K., Kegler, C., Kim, H.U., Kötter, P., Krug, D., Masschelein, J., Melnik, A.V., Mantovani, S.M., Monroe, E.A., Moore, M., Moss, N., Nützmann, H.-W., Pan, G., Pati, A., Petras, D., Reen, F.J., Rosconi, F., Rui, Z., Tian, Z., Tobias, N.J., Tsunematsu, Y., Wiemann, P., Wyckoff, E., Yan, X., Yim, G., Yu, F., Xie, Y., Aigle, B., Apel, A.K., Balibar, C.J., Balskus, E.P., Barona-Gómez, F., Bechthold, A., Bode, H.B., Borriss, R., Brady, S.F., Brakhage, A.A., Caffrey, P., Cheng, Y.Q., Clardy, J., Cox, R.J., De Mot, R., Donadio, S., Donia, M.S., Van Der Donk, W.A., Dorrestein, P.C., Doyle, S., Driessen, A.J.M., Ehling-Schulz, M., Entian, K.-D., Fischbach, M.A., Gerwick, L., Gerwick, W.H., Gross, H., Gust, B., Hertweck, C., Höfte, M., Jensen, S.E., Ju, J., Katz, L., Kaysser, L., Klassen, J.L., Keller, N.P., Kormanec, J., Kuipers, O.P., Kuzuyama, T., Kyrpides, N.C., Kwon, H.-J., Lautru, S., Lavigne, R., Lee, C.Y., Linquan, B., Liu, X., Liu, W., Luzhetskyy, A., Mahmud, T., Mast, Y., Méndez, C., Metsä-Ketelä, M., Micklefield, J., Mitchell, D.A., Moore, B.S., Moreira, L.M., Müller, R., Neilan, B.A., Nett, M., Nielsen, J., O'Gara, F., Oikawa, H., Osbourn, A., Osburne, M.S., Ostash, B., Payne, S.M., Pernodet, J.-L., Petricek, M., Piel, J., Ploux, O., Raaijmakers, J.M., Salas, J.A., Schmitt, E.K., Scott, B., Seipke, R.F., Shen, B., Sherman, D.H., Sivonen, K., Smanski, M.J., Sosio, M., Stegmann, E., Süssmuth, R.D., Tahlan, K., Thomas, C.M., Tang, Y., Truman, A.W., Viaud, M., Walton, J.D., Walsh, C.T., Weber, T., Van Wezel, G.P., Wilkinson, B., Willey, J.M., Wohlleben, W., Wright, G.D., Ziemert, N., Zhang, C., Zotchev, S.B., Breitling, R., Takano, E., Glöckner, F.O.","Minimum Information about a Biosynthetic Gene cluster",2015,"Nature Chemical Biology","11","9",,"625","631",,2,10.1038/nchembio.1890,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939557642&partnerID=40&md5=fecb9988ce40a134045804ae076726c8",Review,Scopus,2-s2.0-84939557642
"Noda-García, L., Juárez-Vázquez, A.L., Ávila-Arcos, M.C., Verduzco-Castro, E.A., Montero-Morán, G., Gaytán, P., Carrillo-Tripp, M., Barona-Gómez, F.","Insights into the evolution of enzyme substrate promiscuity after the discovery of (βα)<inf>8</inf> isomerase evolutionary intermediates from a diverse metagenome",2015,"BMC Evolutionary Biology","15","1", 107,"","",,1,10.1186/s12862-015-0378-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938987230&partnerID=40&md5=3fdcc234e020cd3eaa8987708472c532",Article,Scopus,2-s2.0-84938987230
"Barona-Gómez, F.","Re-annotation of the sequence > annotation: Opportunities for the functional microbiologist",2015,"Microbial Biotechnology","8","1",,"2","4",,1,10.1111/1751-7915.12242,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922657564&partnerID=40&md5=c8fea3f7b63242d4143ecf31393874eb",Article,Scopus,2-s2.0-84922657564
"Verdel-Aranda, K., López-Cortina, S.T., Hodgson, D.A., Barona-Gómez, F.","Molecular annotation of ketol-acid reductoisomerases from Streptomyces reveals a novel amino acid biosynthesis interlock mediated by enzyme promiscuity",2015,"Microbial Biotechnology","8","2",,"239","252",,1,10.1111/1751-7915.12175,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923266465&partnerID=40&md5=dbce7a2c27f7886bbd375b8eae71dca8",Article,Scopus,2-s2.0-84923266465
"Espinosa-Cantú, A., Ascencio, D., Barona-Gómez, F., De Luna, A.","Gene duplication and the evolution of moonlighting proteins",2015,"Frontiers in Genetics","6","JUL", 227,"","",,,10.3389/fgene.2015.00227,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940100456&partnerID=40&md5=0259e2abaab7f222f53bbcc4c82077ee",Short Survey,Scopus,2-s2.0-84940100456
"Adams, N.E., Thiaville, J.J., Proestos, J., Juárez-Vázquez, A.L., McCoy, A.J., Barona-Gómez, F., Iwata-Reuyl, D., de Crécy-Lagard, V., Maurelli, A.T.","Promiscuous and adaptable enzymes fill “Holes” in the tetrahydrofolate pathway in Chlamydia species",2014,"mBio","5","4", e01378-14,"","",14,3,10.1128/mBio.01378-14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908302117&partnerID=40&md5=8302e7c29deaca0b985778d92ec31d5b",Article,Scopus,2-s2.0-84908302117
"Zhuo, Y., Zhang, T., Wang, Q., Cruz-Morales, P., Zhang, B., Liu, M., Barona-Gómez, F., Zhang, L.","Synthetic biology of avermectin for production improvement and structure diversification",2014,"Biotechnology Journal","9","3",,"316","325",,6,10.1002/biot.201200383,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897648007&partnerID=40&md5=70e78db32a9a02ea2dd0fa858bb8c13c",Review,Scopus,2-s2.0-84897648007
"Cruz-Morales, P., Vijgenboom, E., Iruegas-Bocardo, F., Girard, G., Yáñez-Guerra, L.A., Ramos-Aboites, H.E., Pernodet, J.-L., Anné, J., Van Wezel, G.P., Barona-Gómez, F.","The genome sequence of Streptomyces lividans 66 reveals a novel tRNA-dependent peptide biosynthetic system within a metal-related genomic island",2013,"Genome Biology and Evolution","5","6",,"1165","1175",,25,10.1093/gbe/evt082,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891598612&partnerID=40&md5=cd50d87b71cb8e5faf727cad98c73070",Article,Scopus,2-s2.0-84891598612
"Noda-García, L., Camacho-Zarco, A.R., Medina-Ruíz, S., Gaytán, P., Carrillo-Tripp, M., Fülöp, V., Barona-Gómez, F.","Evolution of substrate specificity in a recipient's enzyme following horizontal gene transfer",2013,"Molecular Biology and Evolution","30","9",,"2024","2034",,8,10.1093/molbev/mst115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883251089&partnerID=40&md5=0f8d7aa167d4a62becce90cbd416c61a",Article,Scopus,2-s2.0-84883251089
"Hoskisson, P.A., Jones, A.L., Van Wezel, G.P., Barona-Gómez, F.","The evolution of actinomycetes: Papers from the 16th International Symposium on the Biology of Actinomycetes",2012,"Antonie van Leeuwenhoek, International Journal of General and Molecular Microbiology","102","3",,"407","408",,1,10.1007/s10482-012-9805-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84867582731&partnerID=40&md5=aea2fba17f10973a1bf0e96fd91e3a8e",Editorial,Scopus,2-s2.0-84867582731
