Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Zhang, B., Karnik, R., Wang, Y., Wallmeroth, N., Blatt, M.R., Grefen, C.","The arabidopsis R-SNARE VAMP721 interacts with KAT1 and KC1 K+ channels to moderate K+ current at the plasma membrane",2015,"Plant Cell","27","6",,"1697","1717",,,10.1105/tpc.15.00305,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936946568&partnerID=40&md5=673a3ef1e07192d0cb601e306f6f028e",Article,Scopus,2-s2.0-84936946568
"Blatt, M.R.","Vigilante science",2015,"Plant Physiology","169","2",,"907","909",,,10.1104/pp.15.01443,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942878958&partnerID=40&md5=3a150281249241eb3a127682b89cecf9",Editorial,Scopus,2-s2.0-84942878958
"Papanatsiou, M., Scuffi, D., Blatt, M.R., García-Mata, C.","Hydrogen sulfide regulates inward-rectifying K+ channels in conjunction with stomatal closure",2015,"Plant Physiology","168","1",,"29","35",,,10.1104/pp.114.256057,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929452845&partnerID=40&md5=a2c00383b39132895ecc7d9aef731dab",Article,Scopus,2-s2.0-84929452845
"Minguet-Parramona, C., Wang, Y., Hills, A., Vialet-Chabrand, S., Griffiths, H., Rogers, S., Lawson, T., Lew, V., Blatt, M.R.","Emergent oscillatory properties in modelling ion transport of guard cells",2015,"Rhythms in Plants: Dynamic Responses in a Dynamic Environment",,,,"323","342",,,10.1007/978-3-319-20517-5_12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944208290&partnerID=40&md5=86c163d7be981b968f5c9479112c1db9",Book Chapter,Scopus,2-s2.0-84944208290
"Hecker, A., Wallmeroth, N., Peter, S., Blatt, M.R., Harter, K., Grefen, C.","Binary 2in1 vectors improve in planta (Co)localization and dynamic protein interaction studies",2015,"Plant Physiology","168","3",,"776","787",,,10.1104/pp.l5.00533,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936079438&partnerID=40&md5=9f6f65430a7ad04bee76f007597480e7",Article,Scopus,2-s2.0-84936079438
"Blatt, M.R., Wang, Y., Leonhardt, N., Hills, A.","Exploring emergent properties in cellular homeostasis using OnGuard to model K+ and other ion transport in guard cells",2014,"Journal of Plant Physiology","171","9",,"770","778",,13,10.1016/j.jplph.2013.09.014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899785514&partnerID=40&md5=a5691d14404661bdd6a623ccbbfd2a74",Article,Scopus,2-s2.0-84899785514
"Blatt, M.R., Chaumont, F., Farquhar, G.","Focus on water",2014,"Plant Physiology","164","4",,"1553","1555",,,10.1104/pp.114.900484,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898767950&partnerID=40&md5=f552bf55c9c4afd254c1d6749fd636d2",Editorial,Scopus,2-s2.0-84898767950
"Lawson, T., Blatt, M.R.","Stomatal size, speed, and responsiveness impact on photosynthesis and water use efficiency",2014,"Plant Physiology","164","4",,"1556","1570",,26,10.1104/pp.114.237107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898765912&partnerID=40&md5=6dc4478a9591275daedd0bc7b66978b6",Article,Scopus,2-s2.0-84898765912
"Wang, Y., Hills, A., Blatt, M.R.","Systems analysis of guard cell membrane transport for enhanced stomatal dynamics and water use efficiency",2014,"Plant Physiology","164","4",,"1593","1599",,11,10.1104/pp.113.233403,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898747521&partnerID=40&md5=0b7974a81be33d6193ea50243d79e0eb",Article,Scopus,2-s2.0-84898747521
"Gehl, B., Lee, C.P., Bota, P., Blatt, M.R., Sweetlove, L.J.","An arabidopsis stomatin-like protein affects mitochondrial respiratory supercomplex organization",2014,"Plant Physiology","164","3",,"1389","1400",,5,10.1104/pp.113.230383,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897600256&partnerID=40&md5=1d7e9146465195503abfa57852e1c309",Article,Scopus,2-s2.0-84897600256
"Hachez, C., Laloux, T., Reinhardt, H., Cavez, D., Degand, H., Grefen, C., De Rycke, R., Inzé, D., Blatt, M.R., Russinova, E., Chaumont, F.","Arabidopsis SNAREs SYP61 and SYP121 coordinate the trafficking of plasma membrane aquaporin PIP2;7 to modulate the cell membrane water permeability",2014,"Plant Cell","26","7",,"3132","3147",,12,10.1105/tpc.114.127159,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907318655&partnerID=40&md5=fac3320c462ae88b8f60df10ce87bc95",Article,Scopus,2-s2.0-84907318655
