Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pydiura, N.A., Bayer, G.Y., Galinousky, D.V., Yemets, A.I., Pirko, Y.V., Padvitski, T.A., Anisimova, N.V., Khotyleva, L.V., Kilchevsky, A.V., Blume, Y.B.","Bioinformatic search for cellulose synthase genes in flax (Linum usitatissimum) and their phylogenetic analysis",2015,"Cytology and Genetics","49","5",,"279","287",,,10.3103/S0095452715050084,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944047709&partnerID=40&md5=c36d73dfb15b26f3b9acc609a30f42a8",Article,Scopus,2-s2.0-84944047709
"Samofalova, D.A., Karpov, P.A., Blume, Y.B.","Bioinformatic comparison of human and higher plant phosphatomes",2015,"Cytology and Genetics","49","4",,"207","219",,,10.3103/S0095452715040088,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938546376&partnerID=40&md5=d19789e9d3ed2acee5e7267210e6cfd8",Article,Scopus,2-s2.0-84938546376
"Isayenkov, S.V., Sekan, A.S., Sorochinsky, B.V., Blume, Y.B.","Molecular aspects of endosomal cellular transport",2015,"Cytology and Genetics","49","3",,"192","205",,,10.3103/S009545271503007X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930627341&partnerID=40&md5=080e84ef48933aef90852a2a961e68c0",Article,Scopus,2-s2.0-84930627341
"Vernygorodskyi, S.V., Degtiariova, L.V., Iatsyna, O.I., Blume, Y.B., Yemets, A.I.","Role of transcription factors in transdifferentiation of the gastric mucosa",2015,"T͡Sitologii͡a i genetika","49","2",,"42","47",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930786949&partnerID=40&md5=6f8a07e254bf698a14fd6a198a4b5fb8",Article,Scopus,2-s2.0-84930786949
"Vernygorodskyi, S.V., Degtiariova, L.V., Iatsyna, O.I., Blume, Y.B., Yemets, A.I.","Role of transcription factors in transdifferentiation of the gastric mucosa",2015,"Cytology and Genetics","49","2",,"113","117",,,10.3103/S0095452715020115,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928107112&partnerID=40&md5=c8aa720315d2eec788b52cc9efb647d1",Article,Scopus,2-s2.0-84928107112
"Burlaka, O.M., Pirko, Y.V., Yemets, A.I., Blume, Y.B.","Application of carbon nanotubes for plant genetic transformation",2015,"Springer Proceedings in Physics","156",,,"233","255",,,10.1007/978-3-319-06611-0_20,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927601691&partnerID=40&md5=ca9b987017e48b0aae6aefe7321f7ea1",Conference Paper,Scopus,2-s2.0-84927601691
"Tanasienko, I.V., Yemets, A.I., Finiuk, N.S., Stoika, R.R., Blume, Y.B.","DMAEM-based cationic polymers as novel carriers for DNA delivery into cells",2015,"Cell Biology International","39","3",,"243","245",,,10.1002/cbin.10381,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923038120&partnerID=40&md5=17c12fd3e5df5ba8fa48cdc2ac89982e",Review,Scopus,2-s2.0-84923038120
"Yemets, A.I., Krasylenko, Y.A., Blume, Y.B.","Nitric oxide and UV-B radiation",2015,"Nitric Oxide Action in Abiotic Stress Responses in Plants",,,,"141","154",,,10.1007/978-3-319-17804-2_9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943793667&partnerID=40&md5=d9a6147c9f2af35fcd02a3c3f27f451a",Book Chapter,Scopus,2-s2.0-84943793667
"Borovaya, M.N., Naumenko, A.P., Matvieieva, N.A., Blume, Y.B., Yemets, A.I.","Biosynthesis of luminescent CdS quantum dots using plant hairy root culture",2014,"Nanoscale Research Letters","9","1",,"","",7,,10.1186/1556-276X-9-686,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928667804&partnerID=40&md5=80d1fcf6a6b449363ef9163fcc0aa8c8",Article,Scopus,2-s2.0-84928667804
"Novozhylov, O.V., Blume, Y.B.","Preliminary risk assessment of transgenic plant use in Ukraine",2014,"AgBioForum","17","2-3",,"191","196",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920284982&partnerID=40&md5=2e0f18e0c16152d877130df64ba8ab73",Article,Scopus,2-s2.0-84920284982
"Kozub, N.A., Boguslavskii, R.L., Sozinov, I.A., Tverdokhleb, Y.V., Xynias, I.N., Blume, Y.B., Sozinov, A.A.","Alleles at storage protein loci in Triticum spelta L. accessions and their occurrence in related wheats",2014,"Cytology and Genetics","48","1",,"33","41",,,10.3103/S0095452714010046,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897729968&partnerID=40&md5=9a44f7c997a923b698528346f741c2a4",Article,Scopus,2-s2.0-84897729968
"Kozub, N.A., Motsnyi, I.I., Sozinov, I.A., Blume, Y.B., Sozinov, A.A.","Mapping a new secalin locus on the rye 1RS arm",2014,"Cytology and Genetics","48","4",,"203","207",,,10.3103/S0095452714040021,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906223368&partnerID=40&md5=1739eb8ae0fc77e4cfe208c2479205ee",Article,Scopus,2-s2.0-84906223368
"Kozub, N.O., Motsnyǐ, I.I., Sozinov, I.O., Blium, I.B., Sizinov, O.O.","[Mapping a new secalin locus on the rye iRS arm].",2014,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","48","4",,"3","8",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907063878&partnerID=40&md5=a618260adcfae74389d2e12acf27ac09",Article,Scopus,2-s2.0-84907063878
"Nyporko, A.I., Blium, I.B.","[Structural mechanisms of interaction of cyanoacrylates with plant tubulin].",2014,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","48","1",,"10","17",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901851291&partnerID=40&md5=aaed7df68a67e83a8c5f33fb63ffcac3",Article,Scopus,2-s2.0-84901851291
"Radchuk, V., Pirko, I.V., Isaenkov, S.V., Emets, A.I., Blium, I.B.","[cDNA library construction from panicle meristem of finger millet].",2014,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","48","5",,"3","10",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908129783&partnerID=40&md5=e5baf3d6d395b30d6e3251a96bfd48aa",Article,Scopus,2-s2.0-84908129783
"Lytvyn, D.I., Syvura, V.V., Kurylo, V.V., Olenieva, V.D., Yemets, A.I., Blume, Ya.B.","Creation of transgenic sugar beet lines expressing insect pest resistance genes cry1C and cry2A",2014,"Cytology and Genetics","48","2",,"69","75",,,10.3103/S0095452714020078,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900811668&partnerID=40&md5=773fd5dbe9ad2c3e4264fae01fce7d27",Article,Scopus,2-s2.0-84900811668
"Pokotylo, I.V., Kretynin, S.V., Khripach, V.A., Ruelland, E., Blume, Y.B., Kravets, V.S.","Influence of 24-epibrassinolide on lipid signalling and metabolism in Brassica napus",2014,"Plant Growth Regulation","73","1",,"9","17",,2,10.1007/s10725-013-9863-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898447752&partnerID=40&md5=2093be8f9323fb62a94efe9298df5a0b",Article,Scopus,2-s2.0-84898447752
"Nyporko, A.Yu., Blume, Ya.B.","Structural mechanisms of interaction of cyanolcrylates with plant tubulin",2014,"Cytology and Genetics","48","1",,"7","14",,,10.3103/S009545271401006X,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897723114&partnerID=40&md5=dd1f65856b7e0c0a2aeb7583692b1418",Article,Scopus,2-s2.0-84897723114
"Baer, G.I., Emets, A.I., Blium, I.B.","[Obtaining the transgenic lines of finger millet Eleusine coracana (L.) Gaertn. With dinitroaniline resistance].",2014,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","48","3",,"3","11",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906952799&partnerID=40&md5=2fea697d02ddb5270117437ad58c5196",Article,Scopus,2-s2.0-84906952799
"Bayer, G.Ya., Yemets, A.I., Blume, Ya.B.","Obtaining the transgenic lines of finger millet Eleusine coracana (L.). with dinitroaniline resistance",2014,"Cytology and Genetics","48","3",,"139","144",,,10.3103/S0095452714030025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903547035&partnerID=40&md5=dfc208e70459b001a490f334c7f20fcf",Article,Scopus,2-s2.0-84903547035
"Radchuk, V., Pirko, Y.V., Isayenkov, S.V., Yemets, A.I., Blume, Y.B.","cDNA library construction from meristematic tissue of finger millet panicle",2014,"Cytology and Genetics","48","5",,"273","278",,,10.3103/S0095452714050089,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84910146925&partnerID=40&md5=912e455dd840edb3790cd667885df8c0",Article,Scopus,2-s2.0-84910146925
"Litvin, D.I., Sivura, V.V., Kurilo, V.V., Oleneva, V.D., Emets, A.I., Blium, I.B.","[Creation of transgenic sugar beet lines expressing insect pest resistance genes cry1C and cry2A].",2014,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","48","2",,"3","11",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901429576&partnerID=40&md5=4125e7f01d90969f5479194bb8682b76",Article,Scopus,2-s2.0-84901429576
"Kozub, N.A., Boguslavskiǐ, R.L., Sozinov, I.A., Tverdokhleb, E.V., Ksinias, I.N., Blium, I.B., Sozinov, A.A.","[Alleles at storage protein loci in Triticum spelta L. accessions and their occurrence in related wheats].",2014,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","48","1",,"41","51",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901848096&partnerID=40&md5=04cf778ea1f247f47c053f3033eb4348",Article,Scopus,2-s2.0-84901848096
"Finiuk, N.S., Chaplya, A.Y., Mitina, N.Y., Boiko, N.M., Lobachevska, O.V., Miahkota, O.S., Yemets, A.I., Blume, Y.B., Zaichenko, O.S., Stoika, R.S.","Genetic transformation of moss Ceratodon purpureus by means of polycationic carriers of DNA",2014,"Cytology and Genetics","48","6",,"345","351",,,10.3103/S0095452714060048,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84915826180&partnerID=40&md5=3bde70f636dc029891a17f87d9e4b598",Article,Scopus,2-s2.0-84915826180
"Blume, Y.B., Krasylenko, Y.A., Demchuk, O.M., Yemets, A.I.","Tubulin tyrosine nitration regulates microtubule organization in plant cells",2013,"Frontiers in Plant Science","4","DEC", 530,"","",,7,10.3389/fpls.2013.00530,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900865844&partnerID=40&md5=e7c783df7a7e3b1a0e52c0ead2d6b4b2",Article,Scopus,2-s2.0-84900865844
"Tigunova, O.A., Shulga, S.M., Blume, Y.B.","Biobutanol as an alternative type of fuel",2013,"Cytology and Genetics","47","6",,"366","382",,1,10.3103/S0095452713060042,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890925070&partnerID=40&md5=6efeb481ffedb61dfa20f0c3c93c6449",Article,Scopus,2-s2.0-84890925070
"Tigunova, E.A., Shul'ga, S.M., Blium, I.B.","[Alternative type of fuel--biobutanol].",2013,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","47","6",,"51","71",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893181111&partnerID=40&md5=dafd2f4a57cf1e5380ef264916a9fbb6",Review,Scopus,2-s2.0-84893181111
"Korkhovoy, V.I., Blume, Y.B.","Biodiesel from microalgae: Ways for increasing the effectiveness of lipid accumulation by genetic engineering methods",2013,"Cytology and Genetics","47","6",,"349","358",,2,10.3103/S0095452713060030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890944051&partnerID=40&md5=f7537c8dc9d8ba9f70e657e914487da9",Article,Scopus,2-s2.0-84890944051
"Korkhovoǐ, V.I., Blium, I.B.","[Biodiesel from microalgae: ways of increasing effectiveness of lipids accumulation by genetic engineering methods].",2013,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","47","6",,"30","42",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893169151&partnerID=40&md5=7742b287faf57b71c621096579ffd7e6",Review,Scopus,2-s2.0-84893169151
"Karelov, A.V., Pilipenko, L.A., Kozub, N.A., Bondus, R.A., Borzykh, A.U., Sozinov, I.A., Blium, I.B., Sozinov, A.A.","[Allelic state of the molecular marker for the golden nematode (Globodera rostochiensis) resistance gene H1 among Ukrainian and world cultivars of potato (Solanum tuberosum ssp. tuberosum)].",2013,"T{combining double inverted breve}Sitologii{combining double inverted breve}a i genetika","47","5",,"41","46",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891552091&partnerID=40&md5=230130c7c902fc5fa3fe8b4c96bf44ab",Article,Scopus,2-s2.0-84891552091
"Karelov, A.V., Pylypenko, L.A., Kozub, N.O., Bondus, R.O., Borzykh, O.I., Sozinov, I.A., Blume, Y.B., Sozinov, A.A.","Allelic state of the molecular marker for golden nematode (Globodera rostochiensis) resistance gene H1 among Ukrainian and world potato (Solanum tuberosum ssp. tuberosum) cultivars",2013,"Cytology and Genetics","47","5",,"294","297",,1,10.3103/S0095452713050058,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886675382&partnerID=40&md5=22c7e81023a5c4365d414ae97b99eb74",Article,Scopus,2-s2.0-84886675382
"Tsygankova, V.A., Yemets, A.I., Iutinska, H.O., Beljavska, L.O., Galkin, A.P., Blume, Y.B.","Increasing the resistance of rape plants to the parasitic nematode Heterodera schachtii using RNAi technology",2013,"Cytology and Genetics","47","4",,"222","230",,1,10.3103/S0095452713040105,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883010376&partnerID=40&md5=16c03c6ba39bded5abdeb82dc0d7c385",Article,Scopus,2-s2.0-84883010376
