Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Raineri, J., Wang, S., Peleg, Z., Blumwald, E., Chan, R.L.","The rice transcription factor OsWRKY47 is a positive regulator of the response to water deficit stress",2015,"Plant Molecular Biology","88","4-5",,"401","413",,1,10.1007/s11103-015-0329-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933676215&partnerID=40&md5=2f71307b4201b557e778a67fae4b8466",Article,Scopus,2-s2.0-84933676215
"Tamaki, H., Reguera, M., Abdel-Tawab, Y.M., Takebayashi, Y., Kasahara, H., Blumwald, E.","Targeting hormone-related pathways to improve grain yield in rice: A chemical approach",2015,"PLoS ONE","10","6", e0131213,"","",,,10.1371/journal.pone.0131213,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939160310&partnerID=40&md5=35c6e08b51d9e620d6abe327beedd0d1",Article,Scopus,2-s2.0-84939160310
"Shalom, L., Shlizerman, L., Zur, N., Doron-Faigenboim, A., Blumwald, E., Sadka, A.","Molecular characterization of SQUAMOSA PROMOTER BINDING PROTEIN-LIKE (SPL) gene family from Citrus and the effect of fruit load on their expression",2015,"Frontiers in Plant Science","6","MAY", 389,"1","10",,1,10.3389/fpls.2015.00389,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934876107&partnerID=40&md5=80fa84c284fb0f961f9cfdc7ac7e1d6a",Article,Scopus,2-s2.0-84934876107
"Kim, H.-Y., Saha, P., Farcuh, M., Li, B., Sadka, A., Blumwald, E.","RNA-Seq Analysis of Spatiotemporal Gene Expression Patterns During Fruit Development Revealed Reference Genes for Transcript Normalization in Plums",2015,"Plant Molecular Biology Reporter",,,,"","",16,,10.1007/s11105-015-0860-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923675866&partnerID=40&md5=f8e8e45c06ea994f2ec2cb69721f8a1a",Article in Press,Scopus,2-s2.0-84923675866
"Kim, H.-Y., Farcuh, M., Cohen, Y., Crisosto, C., Sadka, A., Blumwald, E.","Non-climacteric ripening and sorbitol homeostasis in plum fruits",2015,"Plant Science","231",,,"30","39",,1,10.1016/j.plantsci.2014.11.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84914153147&partnerID=40&md5=e4c864b9e57b7e9d641004c6ca6f6ca5",Article,Scopus,2-s2.0-84914153147
"Mittler, R., Blumwald, E.","The roles of ROS and ABA in systemic acquired acclimation",2015,"Plant Cell","27","1",,"64","70",,7,10.1105/tpc.114.133090,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923039056&partnerID=40&md5=704645004d7b1a8d672aacf1c52b7dd4",Article,Scopus,2-s2.0-84923039056
"Conde, A., Regalado, A., Rodrigues, D., Costa, J.M., Blumwald, E., Chaves, M.M., Gerós, H.","Polyols in grape berry: Transport and metabolic adjustments as a physiological strategy for water-deficit stress tolerance in grapevine",2015,"Journal of Experimental Botany","66","3",,"889","906",,1,10.1093/jxb/eru446,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928231602&partnerID=40&md5=72ce003f2a74958ed9cc330cc046a44c",Article,Scopus,2-s2.0-84928231602
"Reguera, M., Bassil, E., Tajima, H., Wimmer, M., Chanoca, A., Otegui, M.S., Paris, N., Blumwald, E.","Ph regulation by NHX-type antiporters is required for receptor-mediated protein trafficking to the vacuole in Arabidopsis",2015,"Plant Cell","27","4",,"1200","1217",,,10.1105/tpc.114.135699,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928969724&partnerID=40&md5=2cfe1aacd809662451b1e37529707bbd",Article,Scopus,2-s2.0-84928969724
"Saha, P., Blumwald, E.","Assessing reference genes for accurate transcript normalization using quantitative real-time PCR in Pearl Millet [Pennisetum glaucum (L.) R. Br.]",2014,"PLoS ONE","9","8", e106308,"","",,2,10.1371/journal.pone.0106308,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920120365&partnerID=40&md5=1c9dd2345866cb15ef1f35ebd2b6f3b8",Article,Scopus,2-s2.0-84920120365
"Shen, G., Wei, J., Qiu, X., Hu, R., Kuppu, S., Auld, D., Blumwald, E., Gaxiola, R., Payton, P., Zhang, H.","Co-overexpression of AVP1 and AtNHX1 in Cotton Further Improves Drought and Salt Tolerance in Transgenic Cotton Plants",2014,"Plant Molecular Biology Reporter",,,,"","",,1,10.1007/s11105-014-0739-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84901584489&partnerID=40&md5=38a526596f476b325d4d119bc1490559",Article in Press,Scopus,2-s2.0-84901584489
