Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pinhassi, R.I., Kallmann, D., Saper, G., Larom, S., Linkov, A., Boulouis, A., Schöttler, M.-A., Bock, R., Rothschild, A., Adir, N., Schuster, G.","Photosynthetic membranes of Synechocystis or plants convert sunlight to photocurrent through different pathways due to different architectures",2015,"PLoS ONE","10","4", e0122616,"","",,,10.1371/journal.pone.0122616,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928569518&partnerID=40&md5=b690198ef967510e3087c49d885750bd",Article,Scopus,2-s2.0-84928569518
"Liu, J., Zhou, W., Liu, G., Yang, C., Sun, Y., Wu, W., Cao, S., Wang, C., Hai, G., Wang, Z., Bock, R., Huang, J., Cheng, Y.","The conserved endoribonuclease YbeY is required for chloroplast ribosomal RNA processing in arabidopsis",2015,"Plant Physiology","168","1",,"205","221",,1,10.1104/pp.114.255000,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930623584&partnerID=40&md5=bd9904aeff859895566adc2f28aae202",Article,Scopus,2-s2.0-84930623584
"Zhou, W., Karcher, D., Fischer, A., Maximova, E., Walther, D., Bock, R.","Multiple RNA processing defects and impaired chloroplast function in plants deficient in the organellar protein-only RNase P enzyme",2015,"PLoS ONE","10","3", e0120533,"","",,1,10.1371/journal.pone.0120533,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925652373&partnerID=40&md5=00044cbf638a8bc180db5744d328efa4",Article,Scopus,2-s2.0-84925652373
"Zhang, J., Khan, S.A., Hasse, C., Ruf, S., Heckel, D.G., Bock, R.","Full crop protection from an insect pest by expression of long double-stranded RNAs in plastids",2015,"Science","347","6225",,"991","994",,12,10.1126/science.1261680,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923778615&partnerID=40&md5=473926928f53747d4584fcbb60ecdc86",Article,Scopus,2-s2.0-84923778615
"Emadpour, M., Karcher, D., Bock, R.","Boosting riboswitch efficiency by RNA amplification",2015,"Nucleic Acids Research","43","10", e66,"","",,,10.1093/nar/gkv165,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931265590&partnerID=40&md5=45b6e8a4e85a3c61d48234e20fe1fffc",Article,Scopus,2-s2.0-84931265590
"Kühn, K., Obata, T., Feher, K., Bock, R., Fernie, A.R., Meyer, E.H.","Complete mitochondrial complex I deficiency induces an up-regulation of respiratory fluxes that is abolished by traces of functional complex I",2015,"Plant Physiology","168","4",,"1537","1549",,1,10.1104/pp.15.00589,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939169304&partnerID=40&md5=1d375de84a8cc255f12b12ada54c0c40",Article,Scopus,2-s2.0-84939169304
"Bock, R.","Engineering plastid genomes: Methods, tools, and applications in basic research and biotechnology",2015,"Annual Review of Plant Biology","66",,,"211","241",,4,10.1146/annurev-arplant-050213-040212,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928885296&partnerID=40&md5=e638a2036284289d55174767f1781577",Article,Scopus,2-s2.0-84928885296
"Idoine, A.D., Boulouis, A., Rupprecht, J., Bock, R.","The diurnal logic of the expression of the chloroplast genome in chlamydomonas reinhardtii",2014,"PLoS ONE","9","10", e108760,"","",,1,10.1371/journal.pone.0108760,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907494013&partnerID=40&md5=eb6d75b5c1f58aa39f724f57fd14e9c3",Article,Scopus,2-s2.0-84907494013
"Bock, R.","Genetic engineering of the chloroplast: Novel tools and new applications",2014,"Current Opinion in Biotechnology","26",,,"7","13",,16,10.1016/j.copbio.2013.06.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883266614&partnerID=40&md5=867abc6d0ec7b2d194ef305ca872d41e",Review,Scopus,2-s2.0-84883266614
"Tiller, N., Bock, R.","The translational apparatus of plastids and its role in plant development",2014,"Molecular Plant","7","7",,"1105","1120",,15,10.1093/mp/ssu022,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904335682&partnerID=40&md5=ac3793ace171e753c5988f9bf35bd4d4",Review,Scopus,2-s2.0-84904335682
