Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pineda, G., Shen, Z., Albuquerque, C.P., Reynoso, E., Chen, J., Tu, C.-C., Tang, W., Briggs, S., Zhou, H., Wang, J.Y.J.","Proteomics studies of the interactome of RNA polymerase II C-terminal repeated domain",2015,"BMC Research Notes",,,,"","",,,10.1186/s13104-015-1569-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945957166&partnerID=40&md5=24874a07a8b2026cae6af1614e343051",Article in Press,Scopus,2-s2.0-84945957166
"Walley, J., Xiao, Y., Wang, J.-Z., Baidoo, E.E., Keasling, J.D., Shen, Z., Briggs, S.P., Dehesh, K.","Plastid-produced interorgannellar stress signal MEcPP potentiates induction of the unfolded protein response in endoplasmic reticulum",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","19",,"6212","6217",,1,10.1073/pnas.1504828112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929208100&partnerID=40&md5=cf73846d517239005a2907015c55978f",Article,Scopus,2-s2.0-84929208100
"Walley, J.W., Briggs, S.P.","Dual use of peptide mass spectra: Protein atlas and genome annotation",2015,"Current Plant Biology","2",,,"21","24",,,10.1016/j.cpb.2015.02.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927518182&partnerID=40&md5=336462b6692332829078983019804314",Review,Scopus,2-s2.0-84927518182
"Marcon, C., Malik, W.A., Walley, J.W., Shen, Z., Paschold, A., Smith, L.G., Piepho, H.-P., Briggs, S.P., Hochholdinger, F.","A high-resolution tissue-specific proteome and phosphoproteome atlas of maize primary roots reveals functional gradients along the root axes",2015,"Plant Physiology","168","1",,"233","246",,,/10.1104/pp.15.00138,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929455267&partnerID=40&md5=d42c1535764da4b1d16970fdd46d45ae",Article,Scopus,2-s2.0-84929455267
"Chaudhary, R., Atamian, H.S., Shen, Z., Briggs, S.P., Kaloshian, I.","Potato aphid salivary proteome: Enhanced salivation using resorcinol and identification of aphid phosphoproteins",2015,"Journal of Proteome Research","14","4",,"1762","1778",,1,10.1021/pr501128k,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926432275&partnerID=40&md5=0ef70e328c556bcabfd6f9a5380db78e",Article,Scopus,2-s2.0-84926432275
"Xiong, J., Todorova, D., Su, N.-Y., Kim, J., Lee, P.-J., Shen, Z., Briggs, S.P., Xu, Y.","Stemness factor Sall4 is required for DNA damage response in embryonic stem cells",2015,"Journal of Cell Biology","208","5",,"513","520",,,10.1083/jcb.201408106,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924911771&partnerID=40&md5=10e2ffb4a69928ca16ecdeb7ba5eecad",Article,Scopus,2-s2.0-84924911771
"Wang, Q., Sun, T., Xu, J., Shen, Z., Briggs, S.P., Zhou, D., Wang, L.","Response and adaptation of Escherichia coli to suppression of the amber stop codon",2014,"ChemBioChem","15","12",,"1744","1749",,1,10.1002/cbic.201402235,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906059028&partnerID=40&md5=2cc7b99b99944d43c83a99af5258d5e6",Article,Scopus,2-s2.0-84906059028
"Widhopf II, G.F., Cui, B., Ghia, E.M., Chen, L., Messer, K., Shen, Z., Briggs, S.P., Croce, C.M., Kipps, T.J.","ROR1 can interact with TCL1 and enhance leukemogenesis in E [i-TCL1 transgenic mice]",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","2",,"793","798",,16,10.1073/pnas.1308374111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892611828&partnerID=40&md5=8ac0f97c32b5ddf32bc28f8192c911de",Article,Scopus,2-s2.0-84892611828
"Almenar-Queralt, A., Falzone, T.L., Shen, Z., Lillo, C., Killian, R.L., Arreola, A.S., Niederst, E.D., Ng, K.S., Kim, S.N., Briggs, S.P., Williams, D.S., Goldstein, L.S.B.","UV irradiation accelerates amyloid precursor protein (APP) processing and disrupts APP axonal transport",2014,"Journal of Neuroscience","34","9",,"3320","3339",,6,10.1523/JNEUROSCI.1503-13.2014,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894431292&partnerID=40&md5=7c3328cb650a805bbe4db90984c215e5",Article,Scopus,2-s2.0-84894431292
"Castellana, N.E., Shen, Z., He, Y., Walley, J.W., Cassidy, C.J., Briggs, S.P., Bafna, V.","An automated proteogenomic method uses mass spectrometry to reveal novel genes in Zea mays",2014,"Molecular and Cellular Proteomics","13","1",,"157","167",,15,10.1074/mcp.M113.031260,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891760451&partnerID=40&md5=db02a8b05aa5cfd063e94ecce6010841",Article,Scopus,2-s2.0-84891760451
"Chaudhary, R., Atamian, H.S., Shen, Z., Briggs, S.P., Kaloshian, I.","GroEL from the endosymbiont Buchnera aphidicola betrays the aphid by triggering plant defense",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","24",,"8919","8924",,10,10.1073/pnas.1407687111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902603276&partnerID=40&md5=19334d87cdf71f11520d1f7757667acc",Article,Scopus,2-s2.0-84902603276
