Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Mcqualter, R.B., Petrasovits, L.A., Gebbie, L.K., Schweitzer, D., Blackman, D.M., Chrysanthopoulos, P., Hodson, M.P., Plan, M.R., Riches, J.D., Snell, K.D., Brumbley, S.M., Nielsen, L.K.","The use of an acetoacetyl-CoA synthase in place of a β-ketothiolase enhances poly-3-hydroxybutyrate production in sugarcane mesophyll cells",2015,"Plant Biotechnology Journal","13","5",,"700","707",,,10.1111/pbi.12298,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929519665&partnerID=40&md5=ccc44b5b29809cadc685eb93ae7512b5",Article,Scopus,2-s2.0-84929519665
"Mcqualter, R.B., Bellasio, C., Gebbie, L.K., Petrasovits, L.A., Palfreyman, R.W., Hodson, M.P., Plan, M.R., Blackman, D.M., Brumbley, S.M., Nielsen, L.K.","Systems biology and metabolic modelling unveils limitations to polyhydroxybutyrate accumulation in sugarcane leaves; lessons for C<inf>4</inf> engineering",2015,"Plant Biotechnology Journal",,,,"","",,1,10.1111/pbi.12399,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930341925&partnerID=40&md5=eb366f95d0c62095396516f0c69a477f",Article in Press,Scopus,2-s2.0-84930341925
"McQualter, R.B., Somleva, M.N., Gebbie, L.K., Li, X., Petrasovits, L.A., Snell, K.D., Nielsen, L.K., Brumbley, S.M.","Factors affecting polyhydroxybutyrate accumulation in mesophyll cells of sugarcane and switchgrass",2014,"BMC Biotechnology","14","1", 83,"","",,3,10.1186/1472-6750-14-83,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907411889&partnerID=40&md5=73b0a72c76181ecc0015c69ec708c2f8",Article,Scopus,2-s2.0-84907411889
"McQualter, R.B., Somleva, M.N., Gebbie, L.K., Li, X., Petrasovits, L.A., Snell, K.D., Nielsen, L.K., Brumbley, S.M.","Factors affecting polyhydroxybutyrate accumulation in mesophyll cells of sugarcane and switchgrass.",2014,"BMC biotechnology","14",,,"","",,,10.1186/1472-6750-14-83,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908111957&partnerID=40&md5=95956816bef72a11e97dac94c8e45f72",Article,Scopus,2-s2.0-84908111957
"Tilbrook, K., Poirier, Y., Gebbie, L., Schenk, P.M., Mcqualter, R.B., Brumbley, S.M.","Reduced peroxisomal citrate synthase activity increases substrate availability for polyhydroxyalkanoate biosynthesis in plant peroxisomes",2014,"Plant Biotechnology Journal","12","8",,"1044","1052",,,10.1111/pbi.12211,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925945088&partnerID=40&md5=471abad1570fdf7039fbe56eced8d4a4",Article,Scopus,2-s2.0-84925945088
"Petrasovits, L.A., Mcqualter, R.B., Gebbie, L.K., Blackman, D.M., Nielsen, L.K., Brumbley, S.M.","Chemical inhibition of acetyl coenzyme A carboxylase as a strategy to increase polyhydroxybutyrate yields in transgenic sugarcane",2013,"Plant Biotechnology Journal","11","9",,"1146","1151",,3,10.1111/pbi.12109,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888127464&partnerID=40&md5=3ea0bc0599e10a66e48b40cc59736ea4",Article,Scopus,2-s2.0-84888127464
"O'neill, B.P., Purnell, M.P., Kurniawan, N.D., Cowin, G.J., Galloway, G.J., Nielsen, L.K., Brumbley, S.M.","Non-invasive monitoring of sucrose mobilization from culm storage parenchyma by magnetic resonance spectroscopy",2013,"Bioscience, Biotechnology and Biochemistry","77","3",,"487","496",,,10.1271/bbb.120682,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876377137&partnerID=40&md5=b640fcae45d88de81795d1fb726de92b",Article,Scopus,2-s2.0-84876377137
"O'Neill, B.P., Purnell, M.P., Nielsen, L.K., Brumbley, S.M.","RNAi-mediated abrogation of trehalase expression does not affect trehalase activity in sugarcane",2012,"SpringerPlus","1","1",,"1","6",,1,10.1186/2193-1801-1-74,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876441553&partnerID=40&md5=24f4201641672642b0bdd6092419c24c",Article,Scopus,2-s2.0-84876441553
"O'Neill, B.P., Purnell, M.P., Anderson, D.J., Nielsen, L.K., Brumbley, S.M.","Sucrose Mobilisation in Sugarcane Stalk Induced by Heterotrophic Axillary Bud Growth",2012,"Tropical Plant Biology","5","2",,"173","182",,2,10.1007/s12042-012-9097-6,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863400012&partnerID=40&md5=6f48c81d504d3ffa20ea60872271250d",Review,Scopus,2-s2.0-84863400012
"Petrasovits, L.A., Zhao, L., McQualter, R.B., Snell, K.D., Somleva, M.N., Patterson, N.A., Nielsen, L.K., Brumbley, S.M.","Enhanced polyhydroxybutyrate production in transgenic sugarcane",2012,"Plant Biotechnology Journal","10","5",,"569","578",,17,10.1111/j.1467-7652.2012.00686.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863407596&partnerID=40&md5=9944d6e80c0fcc431283d0b600141532",Article,Scopus,2-s2.0-84863407596
