Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kole, C., Muthamilarasan, M., Henry, R., Edwards, D., Sharma, R., Abberton, M., Batley, J., Bentley, A., Blakeney, M., Bryant, J., Cai, H., Cakir, M., Cseke, L.J., Cockram, J., de Oliveira, A.C., De Pace, C., Dempewolf, H., Ellison, S., Gepts, P., Greenland, A., Hall, A., Hori, K., Hughes, S., Humphreys, M.W., Iorizzo, M., Ismail, A.M., Marshall, A., Mayes, S., Nguyen, H.T., Ogbonnaya, F.C., Ortiz, R., Paterson, A.H., Simon, P.W., Tohme, J., Tuberosa, R., Valliyodan, B., Varshney, R.K., Wullschleger, S.D., Yano, M., Prasad, M.","Application of genomics-assisted breeding for generation of climate resilient crops: Progress and prospects",2015,"Frontiers in Plant Science","6","AUG", 563,"","",16,,10.3389/fpls.2015.00563,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940185077&partnerID=40&md5=fb0b5f7c8aa4d269b068016686286fcb",Review,Scopus,2-s2.0-84940185077
"Abberton, M., Batley, J., Bentley, A., Bryant, J., Cai, H., Cockram, J., Costa de Oliveira, A., Cseke, L.J., Dempewolf, H., De Pace, C., Edwards, D., Gepts, P., Greenland, A., Hall, A.E., Henry, R., Hori, K., Howe, G.T., Hughes, S., Humphreys, M., Lightfoot, D., Marshall, A., Mayes, S., Nguyen, H.T., Ogbonnaya, F.C., Ortiz, R., Paterson, A.H., Tuberosa, R., Valliyodan, B., Varshney, R.K., Yano, M.","Global agricultural intensification during climate change: A role for genomics",2015,"Plant Biotechnology Journal",,,,"","",,,10.1111/pbi.12467,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941578552&partnerID=40&md5=dcba96aa1f7be871c98772a6760388f4",Article in Press,Scopus,2-s2.0-84941578552
"Hughes, S.G., Richards, P., Bryant, J.A., Shen, X.","JOINING UP: The social and political dimensions",2014,"Genomics and Breeding for Climate-Resilient Crops","1",,,"461","501",,,10.1007/978-3-642-37045-8_13,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930582693&partnerID=40&md5=8c4371725434a127485b07aae76ab152",Book Chapter,Scopus,2-s2.0-84930582693
"Bryant, J.","Cell cycling with the SEB: A personal view",2014,"Journal of Experimental Botany","65","10",,"2563","2572",,2,10.1093/jxb/ert469,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902375496&partnerID=40&md5=45e136cb294181af92b9a673f353841a",Review,Scopus,2-s2.0-84902375496
"Bryant, J.A., Aves, S.J.","Initiation of DNA replication: Functional and evolutionary aspects",2011,"Annals of Botany","107","7",,"1119","1126",,14,10.1093/aob/mcr075,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956130030&partnerID=40&md5=e0438274f94e0a16217aabbea1e6e4a8",Review,Scopus,2-s2.0-79956130030
"Bryant, J.A., Francis, D.","The plant cell cycle",2011,"Annals of Botany","107","7",,"1063","",,,10.1093/aob/mcr101,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956112968&partnerID=40&md5=90fc4b91b98743d39a606c79850b3e62",Editorial,Scopus,2-s2.0-79956112968
"Bryant, J.A., Hughes, S.G.","Vicia",2011,"Wild Crop Relatives: Genomic and Breeding Resources: Legume Crops and Forages",,,,"273","289",,,10.1007/978-3-642-14387-8_14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84920111317&partnerID=40&md5=620ee5cc6d1885a87143f52dd2a30802",Book Chapter,Scopus,2-s2.0-84920111317
"Bryant, J.A.","John Bryant takes a closer look at some of this month's original articles",2009,"Annals of botany","104","6",,"v","vi",,,10.1093/aob/mcp264,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925547889&partnerID=40&md5=51197078c2e5f29c80d9fc016bbe8d73",Editorial,Scopus,2-s2.0-84925547889
"Bryant, J.A.","John Bryant takes a closer look at some of this month's Original Articles",2009,"Annals of Botany","104","4",,"v","vi",,,10.1093/aob/mcp209,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69249230916&partnerID=40&md5=37854a7a2f0732093632f4feb6816b10",Article,Scopus,2-s2.0-69249230916
"Bryant, J.A.","John Bryant takes a closer look at some of this month's Original Articles",2009,"Annals of botany","103","7",,"iii","iv",,,10.1093/aob/mcp094,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927681592&partnerID=40&md5=3a434ff2e72c64f29c42b5afb7faa190",Editorial,Scopus,2-s2.0-84927681592
"Bryant, J.A.","John Bryant takes a closer look at some of this month's Original Articles.",2009,"Annals of botany","103","1",,"iii","iv",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-63349104680&partnerID=40&md5=0bdbe17f62565ef14e618a281dd26e2d",Editorial,Scopus,2-s2.0-63349104680
"Bryant, J.A.","Copying the template--with a little help from my friends?",2008,"SEB experimental biology series","59",,,"71","80",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149178847&partnerID=40&md5=cb3131ebbc7c9a9f3740a0b93c85c835",Article,Scopus,2-s2.0-58149178847
"Bryant, J.A., Francis, D.","Initiation of DNA replication.",2008,"SEB experimental biology series","59",,,"29","44",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149178849&partnerID=40&md5=eec0e0bb089c357c1f206acff118036d",Review,Scopus,2-s2.0-58149178849
"Bryant, J., Francis, D.","The eukaryotic cell cycle. Preface.",2008,"SEB experimental biology series","59",,,"xvii","xviii",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58149196460&partnerID=40&md5=e62d30f81fa38f1eb375b4d5310b3c0d",Editorial,Scopus,2-s2.0-58149196460
