Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Carella, P., Wilson, D.C., Cameron, R.K.","Some things get better with age: Differences in salicylic acid accumulation and defense signaling in young and mature Arabidopsis",2015,"Frontiers in Plant Science","5","JAN", 775,"","",6,1,10.3389/fpls.2014.00775,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922235029&partnerID=40&md5=bd3cc1258b25048e3ea50f417b5f5ced",Article,Scopus,2-s2.0-84922235029
"Yeo, M.T.S., Carella, P., Fletcher, J., Champigny, M.J., Weretilnyk, E.A., Cameron, R.K.","Development of a Pseudomonas syringae-Eutrema salsugineum pathosystem to investigate disease resistance in a stress tolerant extremophile model plant",2015,"Plant Pathology","64","2",,"297","306",,,10.1111/ppa.12271,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924354932&partnerID=40&md5=bdd215c0ee254b2ba8d78e4bd9faf540",Article,Scopus,2-s2.0-84924354932
"Carella, P., Isaacs, M., Cameron, R.K.","Plasmodesmata-located protein overexpression negatively impacts the manifestation of systemic acquired resistance and the long-distance movement of Defective in Induced Resistance1 in Arabidopsis",2015,"Plant Biology","17","2",,"395","401",,1,10.1111/plb.12234,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924241894&partnerID=40&md5=136a23009ed3ceeb1d35894e189adfc6",Article,Scopus,2-s2.0-84924241894
"Wilson, D.C., Carella, P., Cameron, R.K.","Intercellular salicylic acid accumulation during compatible and incompatible Arabidopsis-Pseudomonas syringae interactions",2014,"Plant Signaling and Behavior","9","8", e29362,"","",3,1,10.4161/psb.29362,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922236233&partnerID=40&md5=053c533369e4e9db156af3365210de6a",Article,Scopus,2-s2.0-84922236233
"Carviel, J.L., Wilson, D.C., Isaacs, M., Carella, P., Catana, V., Golding, B., Weretilnyk, E.A., Cameron, R.K.","Investigation of intercellular salicylic acid accumulation during compatible and incompatible Arabidopsis-Pseudomonas syringae interactions using a fast neutron-generated mutant allele of EDS5 identified by genetic mapping and whole-genome sequencing",2014,"PLoS ONE","9","3", e88608,"","",,3,10.1371/journal.pone.0088608,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897044468&partnerID=40&md5=fec2d0a8026a7c3d2653f661bf046866",Article,Scopus,2-s2.0-84897044468
"Wilson, D.C., Carella, P., Isaacs, M., Cameron, R.K.","The floral transition is not the developmental switch that confers competence for the Arabidopsis age-related resistance response to Pseudomonas syringae pv. tomato",2013,"Plant Molecular Biology","83","3",,"235","246",,3,10.1007/s11103-013-0083-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884493530&partnerID=40&md5=93c4085fce14102be47c4218e5baaf64",Article,Scopus,2-s2.0-84884493530
"Champigny, M.J., Sung, W.W.L., Catana, V., Salwan, R., Summers, P.S., Dudley, S.A., Provart, N.J., Cameron, R.K., Golding, G.B., Weretilnyk, E.A.","RNA-Seq effectively monitors gene expression in Eutrema salsugineum plants growing in an extreme natural habitat and in controlled growth cabinet conditions",2013,"BMC Genomics","14","1", 578,"","",,5,10.1186/1471-2164-14-578,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883124675&partnerID=40&md5=736e5672611c8353a492754a05948676",Article,Scopus,2-s2.0-84883124675
"Champigny, M.J., Isaacs, M., Carella, P., Faubert, J., Fobert, P.R., Cameron, R.K.","Long distance movement of DIR1 and investigation of the role of DIR1-like during systemic acquired resistance in Arabidopsis",2013,"Frontiers in Plant Science","4","JUL", 230,"","",,15,10.3389/fpls.2013.00230,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898869350&partnerID=40&md5=62220d55e06c628b14bd9c34b1eecd34",Article,Scopus,2-s2.0-84898869350
"Al-Daoud, F., Cameron, R.K.","ANAC055 and ANAC092 contribute non-redundantly in an EIN2-dependent manner to Age-Related Resistance in Arabidopsis",2011,"Physiological and Molecular Plant Pathology","76","3-4",,"212","222",,5,10.1016/j.pmpp.2011.09.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-82355190243&partnerID=40&md5=72e79fdf4f3c93aa4e2f244ed45ca233",Article,Scopus,2-s2.0-82355190243
"Champigny, M.J., Shearer, H., Mohammad, A., Haines, K., Neumann, M., Thilmony, R., He, S.Y., Fobert, P., Dengler, N., Cameron, R.K.","Localization of DIR1 at the tissue, cellular and subcellular levels during Systemic Acquired Resistance in Arabidopsis using DIR1:GUS and DIR1:EGFP reporters",2011,"BMC Plant Biology","11",, 125,"","",,16,10.1186/1471-2229-11-125,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052555726&partnerID=40&md5=fe36ad15f27d47e820163b21760f37d4",Article,Scopus,2-s2.0-80052555726
