Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wang, P., Dudareva, N., Morgan, J.A., Chapple, C.","Genetic manipulation of lignocellulosic biomass for bioenergy",2015,"Current Opinion in Chemical Biology","29",,,"32","39",,,10.1016/j.cbpa.2015.08.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941032512&partnerID=40&md5=914e2dbd046f2ef7205c2027f34841ec",Review,Scopus,2-s2.0-84941032512
"Liu, B., Wang, P., Kim, J.I., Zhang, D., Xia, Y., Chapple, C., Cheng, J.-X.","Vibrational Fingerprint Mapping Reveals Spatial Distribution of Functional Groups of Lignin in Plant Cell Wall",2015,"Analytical Chemistry","87","18",,"9436","9442",,,10.1021/acs.analchem.5b02434,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941686911&partnerID=40&md5=407a773dfd7c745b7bf514059e09e9e1",Article,Scopus,2-s2.0-84941686911
"Strauch, R.C., Svedin, E., Dilkes, B., Chapple, C., Li, X.","Discovery of a novel amino acid racemase through exploration of natural variation in Arabidopsis thaliana",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","37",,"11726","11731",,,10.1073/pnas.1503272112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941671292&partnerID=40&md5=43e550c05e2e50288e7ab7c1f3bb03f2",Article,Scopus,2-s2.0-84941671292
"Parsell, T., Yohe, S., Degenstein, J., Jarrell, T., Klein, I., Gencer, E., Hewetson, B., Hurt, M., Kim, J.I., Choudhari, H., Saha, B., Meilan, R., Mosier, N., Ribeiro, F., Delgass, W.N., Chapple, C., Kenttämaa, H.I., Agrawal, R., Abu-Omar, M.M.","A synergistic biorefinery based on catalytic conversion of lignin prior to cellulose starting from lignocellulosic biomass",2015,"Green Chemistry","17","3",,"1492","1499",,11,10.1039/c4gc01911c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924370719&partnerID=40&md5=d4a042dbbca9b1aacca0915b419baa48",Article,Scopus,2-s2.0-84924370719
"Anderson, N.A., Bonawitz, N.D., Nyffeler, K., Chapple, C.","Loss of FERULATE 5-HYDROXYLASE leads to mediator-dependent inhibition of soluble phenylpropanoid biosynthesis in arabidopsis",2015,"Plant Physiology","169","3",,"1557","1567",,,10.1104/pp.15.00294,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946215120&partnerID=40&md5=a3500da9bcab930d6382ce78d88bce78",Article,Scopus,2-s2.0-84946215120
"Kim, J.I., Dolan, W.L., Anderson, N.A., Chapple, C.","Indole glucosinolate biosynthesis limits phenylpropanoid accumulation in Arabidopsis thaliana",2015,"Plant Cell","27","5",,"1529","1546",,1,10.1105/tpc.15.00127,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930732852&partnerID=40&md5=6c05072c1b7a5219aadd5d4e3af7c04b",Article,Scopus,2-s2.0-84930732852
"Pekel, A.Y., Kim, J.I., Chapple, C., Adeola, O.","Nutritional characteristics of camelina meal for 3-week-old broiler chickens",2015,"Poultry Science","94","3",,"371","378",,,10.3382/ps/peu066,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924413394&partnerID=40&md5=880254c1536d2118ba3f9abed9e31dfa",Article,Scopus,2-s2.0-84924413394
"Kim, J.I., Ciesielski, P.N., Donohoe, B.S., Chapple, C., Li, X.","Chemically induced conditional rescue of the reduced Epidermal Fluorescence8 mutant of arabidopsis reveals rapid restoration of growth and selective turnover of secondary metabolite pools",2014,"Plant Physiology","164","2",,"584","595",,6,10.1104/pp.113.229393,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893497243&partnerID=40&md5=c4f634e5814a00c61c24477783d7c40a",Article,Scopus,2-s2.0-84893497243
"Ciesielski, P.N., Resch, M.G., Hewetson, B., Killgore, J.P., Curtin, A., Anderson, N., Chiaramonti, A.N., Hurley, D.C., Sanders, A., Himmel, M.E., Chapple, C., Mosier, N., Donohoe, B.S.","Engineering plant cell walls: Tuning lignin monomer composition for deconstructable biofuel feedstocks or resilient biomaterials",2014,"Green Chemistry","16","5",,"2627","2635",,10,10.1039/c3gc42422g,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899444318&partnerID=40&md5=bc289de7e28176f3ece6b273a24e2f65",Article,Scopus,2-s2.0-84899444318
"Bonawitz, N.D., Kim, J.I., Tobimatsu, Y., Ciesielski, P.N., Anderson, N.A., Ximenes, E., Maeda, J., Ralph, J., Donohoe, B.S., Ladisch, M., Chapple, C.","Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant",2014,"Nature","509","7500",,"376","380",,40,10.1038/nature13084,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897528005&partnerID=40&md5=18261d8b8245741189a5265ba9454141",Article,Scopus,2-s2.0-84897528005
"Li, X., Svedin, E., Mo, H., Atwell, S., Dilkes, B.P., Chapple, C.","Exploiting natural variation of secondary metabolism identifies a gene controlling the glycosylation diversity of dihydroxybenzoic acids in Arabidopsis thaliana",2014,"Genetics","198","3",,"1267","1276",,2,10.1534/genetics.114.168690,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908642171&partnerID=40&md5=d1e16c524ed43cafb21e1ead33db20d1",Article,Scopus,2-s2.0-84908642171
"Block, A., Widhalm, J.R., Fatihi, A., Cahoon, R.E., Wamboldt, Y., Elowsky, C., Mackenzie, S.A., Cahoon, E.B., Chapple, C., Dudareva, N., Basset, G.J.","The origin and biosynthesis of the benzenoid moiety of ubiquinone (Coenzyme Q) in Arabidopsis",2014,"Plant Cell","26","5",,"1938","1948",,7,10.1105/tpc.114.125807,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903581554&partnerID=40&md5=3a15852ff782749c2fd5d9d83659dc26",Article,Scopus,2-s2.0-84903581554
"Curtin, A.E., Chiaramonti, A.N., Sanders, A.W., Ciesielski, P.N., Chapple, C., Mosier, N., Donohoe, B.S.","Electron and helium ion imaging of arabidopsis affected by genetic mutation and thermochemical treatment for biofuel applications",2014,"Microscopy and Microanalysis","20","3",,"1338","1339",,,10.1017/S1431927614008423,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927920789&partnerID=40&md5=fce6bc3ef7976d25eb0b2ec9109c4b64",Conference Paper,Scopus,2-s2.0-84927920789
"García, J.R., Anderson, N., Le-Feuvre, R., Iturra, C., Elissetche, J., Chapple, C., Valenzuela, S.","Rescue of syringyl lignin and sinapate ester biosynthesis in Arabidopsis thaliana by a coniferaldehyde 5-hydroxylase from Eucalyptus globulus",2014,"Plant Cell Reports","33","8",,"1263","1274",,2,10.1007/s00299-014-1614-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904579929&partnerID=40&md5=9464007cf3cc9bd728ba6c217523a446",Article,Scopus,2-s2.0-84904579929
"Liu, J., Inouye, H., Venugopalan, N., Fischetti, R.F., Gleber, S.C., Vogt, S., Cusumano, J.C., Kim, J.I., Chapple, C., Makowski, L.","Tissue specific specialization of the nanoscale architecture of Arabidopsis",2013,"Journal of Structural Biology","184","2",,"103","114",,2,10.1016/j.jsb.2013.09.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887259042&partnerID=40&md5=3a30ab2db7ae7bd27821c752b40d4c1c",Article,Scopus,2-s2.0-84887259042
"Tobimatsu, Y., Wagner, A., Donaldson, L., Mitra, P., Niculaes, C., Dima, O., Kim, J.I., Anderson, N., Loque, D., Boerjan, W., Chapple, C., Ralph, J.","Visualization of plant cell wall lignification using fluorescence-tagged monolignols",2013,"Plant Journal","76","3",,"357","366",,12,10.1111/tpj.12299,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885588562&partnerID=40&md5=a950b1b3e32e33416572525501a0fa8e",Article,Scopus,2-s2.0-84885588562
"Krothapalli, K., Buescher, E.M., Li, X., Brown, E., Chapple, C., Dilkes, B.P., Tuinstra, M.R.","Forward genetics by genome sequencing reveals that rapid cyanide release deters insect herbivory of Sorghum bicolor",2013,"Genetics","195","2",,"309","318",,6,10.1534/genetics.113.149567,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884963819&partnerID=40&md5=5e39e7d696340571ad704292a3e27bcd",Article,Scopus,2-s2.0-84884963819
"Venkata, B.P., Lauter, N., Li, X., Chapple, C., Krupke, C., Johal, G., Moose, S.","crw1 - A Novel Maize Mutant Highly Susceptible to Foliar Damage by the Western Corn Rootworm Beetle",2013,"PLoS ONE","8","8", e71296,"","",,,10.1371/journal.pone.0071296,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881222871&partnerID=40&md5=bd3032e516c92486c4841959976fcb27",Article,Scopus,2-s2.0-84881222871
