Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sun, H., Chen, Z.-H., Chen, F., Xie, L., Zhang, G., Vincze, E., Wu, F.","DNA microarray revealed and RNAi plants confirmed key genes conferring low Cd accumulation in barley grains",2015,"BMC Plant Biology","15","1", 259,"","",,,10.1186/s12870-015-0648-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945316065&partnerID=40&md5=b1e930e0c5810199f4887781b7729e74",Article,Scopus,2-s2.0-84945316065
"Cai, S., Han, Z., Huang, Y., Chen, Z.-H., Zhang, G., Dai, F.","Genetic Diversity of Individual Phenolic Acids in Barley and Their Correlation with Barley Malt Quality",2015,"Journal of Agricultural and Food Chemistry","63","31",,"7051","7057",,,10.1021/acs.jafc.5b02960,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938718768&partnerID=40&md5=db1551eafaff6a082381bc109c9f5cf4",Article,Scopus,2-s2.0-84938718768
"Wang, X., Zhang, X., Cai, S., Ye, L., Zhou, M., Chen, Z., Zhang, G., Dai, F.","Genetic Diversity and QTL Mapping of Thermostability of Limit Dextrinase in Barley",2015,"Journal of Agricultural and Food Chemistry","63","14",,"3778","3783",,,10.1021/acs.jafc.5b00190,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927941704&partnerID=40&md5=7c661da0155b6d06bfe45084b4906bcc",Article,Scopus,2-s2.0-84927941704
"Wu, H., Shabala, L., Liu, X., Azzarello, E., Zhou, M., Pandolfi, C., Chen, Z.-H., Bose, J., Mancuso, S., Shabala, S.","Linking salinity stress tolerance with tissue-specific Na+ sequestration in wheat roots",2015,"Frontiers in Plant Science","6","FEB", 71,"","",13,1,10.3389/fpls.2015.00071,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923224694&partnerID=40&md5=8a05abbfa410fabea808bd1831062cc6",Article,Scopus,2-s2.0-84923224694
"Liu, X., Mak, M., Babla, M., Wang, F., Chen, G., Veljanoski, F., Wang, G., Shabala, S., Zhou, M., Chen, Z.-H.","Linking stomatal traits and expression of slow anion channel genes HvSLAH1 and HvSLAC1 with grain yield for increasing salinity tolerance in barley",2014,"Frontiers in Plant Science","5","NOV",,"","",12,2,10.3389/fpls.2014.00634,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84912544832&partnerID=40&md5=5a7d56b9641221fd32e36738e3598daf",Article,Scopus,2-s2.0-84912544832
"Dai, F., Chen, Z.-H., Wang, X., Li, Z., Jin, G., Wu, D., Cai, S., Wang, N., Wu, F., Nevo, E., Zhang, G.","Transcriptome profiling reveals mosaic genomic origins of modern cultivated barley",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","37",,"13403","13408",,7,10.1073/pnas.1414335111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907221024&partnerID=40&md5=e8fff2c3f61e8bde0091ffef31ce63d3",Article,Scopus,2-s2.0-84907221024
"Cao, F., Chen, F., Sun, H., Zhang, G., Chen, Z.-H., Wu, F.","Genome-wide transcriptome and functional analysis of two contrasting genotypes reveals key genes for cadmium tolerance in barley",2014,"BMC Genomics","15","1", 611,"","",,3,10.1186/1471-2164-15-611,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904915682&partnerID=40&md5=7fb2e1e62efade5849a867cb1ba590b3",Article,Scopus,2-s2.0-84904915682
"Hua, S., Chen, Z.-H., Zhang, Y., Yu, H., Lin, B., Zhang, D.","Chlorophyll and carbohydrate metabolism in developing silique and seed are prerequisite to seed oil content of Brassica napus L",2014,"Botanical Studies","55","1",,"","",,,10.1186/1999-3110-55-34,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899148803&partnerID=40&md5=0767928a51da61705207f296cc26f95d",Article,Scopus,2-s2.0-84899148803
"Dai, H., Zhao, J., Ahmed, I.M., Cao, F., Chen, Z.-H., Zhang, G., Li, C., Wu, F.","Differences in physiological features associated with aluminum tolerance in Tibetan wild and cultivated barleys",2014,"Plant Physiology and Biochemistry","75",,,"36","44",,1,10.1016/j.plaphy.2013.11.025,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890827866&partnerID=40&md5=f3c244501699a760721be580c0d56d05",Article,Scopus,2-s2.0-84890827866
"Abbasi, G.H., Akhtar, J., Anwar-Ul-Haq, M., Ali, S., Chen, Z.-H., Malik, W.","Exogenous potassium differentially mitigates salt stress in tolerant and sensitive maize hybrids",2014,"Pakistan Journal of Botany","46","1",,"135","146",,3,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892459336&partnerID=40&md5=67c2f2604b8d01925385fdb9e90a71a8",Article,Scopus,2-s2.0-84892459336
