Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Fonseca, S., Rosado, A., Vaughan-Hirsch, J., Bishopp, A., Chini, A.","Molecular locks and keys: The role of small molecules in phytohormone research",2014,"Frontiers in Plant Science","5","DEC", 709,"","",16,4,10.3389/fpls.2014.00709,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919428397&partnerID=40&md5=f5e8cd464d2fb3c3177ec74ba6ff21e1",Review,Scopus,2-s2.0-84919428397
"Chini, A.","Application of yeast-two hybrid assay to chemical genomic screens: a high-throughput system to identify novel molecules modulating plant hormone receptor complexes.",2014,"Methods in molecular biology (Clifton, N.J.)","1056",,,"35","43",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891801174&partnerID=40&md5=3082e4e6d644462172dc4ff77b188e24",Article,Scopus,2-s2.0-84891801174
"Monte, I., Hamberg, M., Chini, A., Gimenez-Ibanez, S., García-Casado, G., Porzel, A., Pazos, F., Boter, M., Solano, R.","Rational design of a ligand-based antagonist of jasmonate perception",2014,"Nature Chemical Biology","10","8",,"671","676",,8,10.1038/nchembio.1575,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907424742&partnerID=40&md5=7ca0442ba47c8c5c612f721a37d8709c",Article,Scopus,2-s2.0-84907424742
"Chico, J.-M., Fernández-Barbero, G., Chini, A., Fernández-Calvo, P., Díez-Díaz, M., Solano, R.","Repression of jasmonate-dependent defenses by shade involves differential regulation of protein stability of MYC transcription factors and their JAZ repressors in Arabidopsis",2014,"Plant Cell","26","5",,"1967","1980",,20,10.1105/tpc.114.125047,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903638180&partnerID=40&md5=c7c6f8bfa53bc762f8d214db56da02c2",Article,Scopus,2-s2.0-84903638180
"Gimenez-Ibanez, S., Boter, M., Fernández-Barbero, G., Chini, A., Rathjen, J.P., Solano, R.","The Bacterial Effector HopX1 Targets JAZ Transcriptional Repressors to Activate Jasmonate Signaling and Promote Infection in Arabidopsis",2014,"PLoS Biology","12","2", e1001792,"","",,28,10.1371/journal.pbio.1001792,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84895478823&partnerID=40&md5=d17ab8a2a4acd55e375dbb3883c1ae36",Article,Scopus,2-s2.0-84895478823
"Chini, A.","Application of yeast-two hybrid assay to chemical genomic screens: A high-throughput system to identify novel molecules modulating plant hormone receptor complexes",2014,"Methods in Molecular Biology","1056",,,"35","43",,2,10.1007/978-1-62703-592-7_4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892863409&partnerID=40&md5=7efce8d320f757a304056e68a5f17f71",Article,Scopus,2-s2.0-84892863409
"Sun, X., Gilroy, E.M., Chini, A., Nurmberg, P.L., Hein, I., Lacomme, C., Birch, P.R.J., Hussain, A., Yun, B.-W., Loake, G.J.","ADS1 encodes a MATE-transporter that negatively regulates plant disease resistance",2011,"New Phytologist","192","2",,"471","482",,7,10.1111/j.1469-8137.2011.03820.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80053220290&partnerID=40&md5=9217886467fb47f46581805b679a9ead",Article,Scopus,2-s2.0-80053220290
"Fernández-Calvo, P., Chini, A., Fernández-Barbero, G., Chico, J.-M., Gimenez-Ibanez, S., Geerinck, J., Eeckhout, D., Schweizer, F., Godoy, M., Franco-Zorrilla, J.M., Pauwels, L., Witters, E., Puga, M.I., Paz-Ares, J., Goossens, A., Reymond, P., de Jaeger, G., Solano, R.","The Arabidopsis bHLH transcription factors MYC3 and MYC4 are targets of JAZ repressors and act additively with MYC2 in the activation of jasmonate responses",2011,"Plant Cell","23","2",,"701","715",,212,10.1105/tpc.110.080788,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953122769&partnerID=40&md5=f2889cff35a76e1c8fd1566e5b376149",Article,Scopus,2-s2.0-79953122769
"Chini, A., Boter, M., Solano, R.","Plant oxylipins: COI1/JAZs/MYC2 as the core jasmonic acid-signalling module",2009,"FEBS Journal","276","17",,"4682","4692",,60,10.1111/j.1742-4658.2009.07194.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-68849129110&partnerID=40&md5=a5817ebf49824c564c0bd8f14f44e431",Short Survey,Scopus,2-s2.0-68849129110
"Chini, A., Fonseca, S., Chico, J.M., Fernández-Calvo, P., Solano, R.","The ZIM domain mediates homo- and heteromeric interactions between Arabidopsis JAZ proteins",2009,"Plant Journal","59","1",,"77","87",,93,10.1111/j.1365-313X.2009.03852.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67649494630&partnerID=40&md5=73b708e743e5e300f2fdc5abb1a8911a",Article,Scopus,2-s2.0-67649494630
