Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Chastain, C.J., Xu, W., Parsley, K., Sarath, G., Hibberd, J.M., Chollet, R.","The pyruvate, orthophosphate dikinase regulatory proteins of Arabidopsis possess a novel, unprecedented Ser/Thr protein kinase primary structure",2008,"Plant Journal","53","5",,"854","863",,22,10.1111/j.1365-313X.2007.03366.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-41849105442&partnerID=40&md5=eb007f9fddec78d0641993742d5a53e5",Article,Scopus,2-s2.0-41849105442
"Moellering, E.R., Ouyang, Y., Mamedov, T.G., Chollet, R.","The two divergent PEP-carboxylase catalytic subunits in the green microalga Chlamydomonas reinhardtii respond reversibly to inorganic-N supply and co-exist in the high-molecular-mass, hetero-oligomeric Class-2 PEPC complex",2007,"FEBS Letters","581","25",,"4871","4876",,13,10.1016/j.febslet.2007.09.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34948821244&partnerID=40&md5=b490b9de0503cc8b73c03b33ead99fc7",Article,Scopus,2-s2.0-34948821244
"Xu, W., Sato, S.J., Clemente, T.E., Chollet, R.","The PEP-carboxylase kinase gene family in Glycine max (GmPpcK1-4): An in-depth molecular analysis with nodulated, non-transgenic and transgenic plants",2007,"Plant Journal","49","5",,"910","923",,9,10.1111/j.1365-313X.2006.03006.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33847157484&partnerID=40&md5=52623e430a12ee71ff23512b86b4150d",Article,Scopus,2-s2.0-33847157484
"Xu, W., Ahmed, S., Moriyama, H., Chollet, R.","The importance of the strictly conserved, C-terminal glycine residue in phosphoenolpyruvate carboxylase for overall catalysis: Mutagenesis and truncation of GLY-961 in the sorghum C4 leaf isoform",2006,"Journal of Biological Chemistry","281","25",,"17238","17245",,10,10.1074/jbc.M602299200,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33745218323&partnerID=40&md5=0762fe0b806e543104b5631934e43a3f",Article,Scopus,2-s2.0-33745218323
"Mamedov, T.G., Moellering, E.R., Chollet, R.","Identification and expression analysis of two inorganic C- and N-responsive genes encoding novel and distinct molecular forms of eukaryotic phosphoenolpyruvate carboxylase in the green microalga Chlamydomonas reinhardtii",2005,"Plant Journal","42","6",,"832","843",,36,10.1111/j.1365-313X.2005.02416.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-21244448079&partnerID=40&md5=eaef147f0aac3363e0542eeaebf82812",Article,Scopus,2-s2.0-21244448079
"Chollet, R., Spreitzer, R.J.","Highlight section: The C-fixing enzymes in plants: Note from the guest co-editors",2003,"Archives of Biochemistry and Biophysics","414","2",,"129","",,,10.1016/S0003-9861(03)00110-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038440546&partnerID=40&md5=0ff54d390623fd53cf028f3171d38ca1",Editorial,Scopus,2-s2.0-0038440546
"Chastain, C.J., Chollet, R.","Regulation of pyruvate, orthophosphate dikinase by ADP-/Pi-dependent reversible phosphorylation in C3 and C4 plants",2003,"Plant Physiology and Biochemistry","41","6-7",,"523","532",,27,10.1016/S0981-9428(03)00065-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0242584824&partnerID=40&md5=d1007a70ca49bc9f6a52d06baa7fdf14",Review,Scopus,2-s2.0-0242584824
"Ermolova, N.V., Cushman, M.A., Taybi, T., Condon, S.A., Cushman, J.C., Chollet, R.","Expression, purification, and initial characterization of a recombinant form of plant PEP-carboxylase kinase from CAM-induced Mesembryanthemum crystallinum with enhanced solubility in Escherichia coli",2003,"Protein Expression and Purification","29","1",,"123","131",,18,10.1016/S1046-5928(03)00014-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038025270&partnerID=40&md5=06804dff489e874585549038ca60b1a8",Article,Scopus,2-s2.0-0038025270
"Xu, W., Zhou, Y., Chollet, R.","Identification and expression of a soybean nodule-enhanced PEP-carboxylase kinase gene (NE-PpcK) that shows striking up-/down-regulation in vivo",2003,"Plant Journal","34","4",,"441","452",,23,10.1046/j.1365-313X.2003.01740.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0038751865&partnerID=40&md5=05dad7a7e090f0d76dc87bc54e7430e9",Article,Scopus,2-s2.0-0038751865
"Outlaw Jr., W.H., Du, Z., Meng, F.X., Aghoram, K., Riddle, K.A., Chollet, R.","Requirements for activation of the signal-transduction network that leads to regulatory phosphorylation of leaf guard-cell phosphoenolpyruvate carboxylase during fusicoccin-stimulated stomatal opening",2002,"Archives of Biochemistry and Biophysics","407","1",,"63","71",,22,10.1016/S0003-9861(02)00460-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0036408233&partnerID=40&md5=c85b22f01316a66b261259e0804715df",Article,Scopus,2-s2.0-0036408233
