Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Schwessinger, B., Bart, R., Krasileva, K.V., Coaker, G.","Focus issue on plant immunity: From model systems to crop species",2015,"Frontiers in Plant Science","6","MAR",,"1","3",,,10.3389/fpls.2015.00195,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928032621&partnerID=40&md5=f79aae914f3e6fa0ffd80dbfb43c5afc",Article,Scopus,2-s2.0-84928032621
"Lee, D., Bourdais, G., Yu, G., Robatzek, S., Coaker, G.","Phosphorylation of the plant immune regulator RPM1-INTERACTING PROTEIN4 enhances plant plasma membrane h+-ATPase activity and inhibits flagellin-triggered immune responses in arabidopsis",2015,"Plant Cell","27","7",,"2042","2056",,,10.1105/tpc.114.132308,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938884589&partnerID=40&md5=dd74b3b6d45f3355f4df07f953bf85f9",Article,Scopus,2-s2.0-84938884589
"Henry, E., Fung, N., Liu, J., Drakakaki, G., Coaker, G.","Beyond Glycolysis: GAPDHs Are Multi-functional Enzymes Involved in Regulation of ROS, Autophagy, and Plant Immune Responses",2015,"PLoS Genetics","11","4", e1005199,"","",27,1,10.1371/journal.pgen.1005199,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930349982&partnerID=40&md5=4b1db6849f9d972bfc4b3efbd0de18f5",Article,Scopus,2-s2.0-84930349982
"Thapa, S.P., Miyao, E.M., Michael Davis, R., Coaker, G.","Identification of QTLs controlling resistance to Pseudomonas syringae pv. tomato race 1 strains from the wild tomato, Solanum habrochaites LA1777",2015,"Theoretical and Applied Genetics","128","4",,"681","692",,,10.1007/s00122-015-2463-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925518027&partnerID=40&md5=f6521748840000e6382c383c28f74cc4",Article,Scopus,2-s2.0-84925518027
"Ma, K.-W., Jiang, S., Hawara, E., Lee, D., Pan, S., Coaker, G., Song, J., Ma, W.","Two serine residues in Pseudomonas syringae effector HopZ1a are required for acetyltransferase activity and association with the host co-factor",2015,"New Phytologist","208","4",,"1157","1168",,,10.1111/nph.13528,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946491427&partnerID=40&md5=ab1c854e5e0b814655e03f7b002d32b3",Article,Scopus,2-s2.0-84946491427
"Hurley, B., Lee, D., Mott, A., Wilton, M., Liu, J., Liu, Y.C., Angers, S., Coaker, G., Guttman, D.S., Desveaux, D.","The Pseudomonas syringae type III effector HopF2 suppresses arabidopsis stomatal immunity",2014,"PLoS ONE","9","12", e114921,"","",,3,10.1371/journal.pone.0114921,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84917706582&partnerID=40&md5=d59878e6c565854baddbff4de6c155e8",Article,Scopus,2-s2.0-84917706582
"Coaker, G.","Pathogen specialization",2014,"Science","343","6170",,"496","497",,,10.1126/science.1250171,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84893079873&partnerID=40&md5=31cd2e5b1d6d0b16f2c812f342da8bb4",Short Survey,Scopus,2-s2.0-84893079873
"Li, M., Ma, X., Chiang, Y.-H., Yadeta, K.A., Ding, P., Dong, L., Zhao, Y., Li, X., Yu, Y., Zhang, L., Shen, Q.-H., Xia, B., Coaker, G., Liu, D., Zhou, J.-M.","Proline isomerization of the immune receptor-interacting protein RIN4 by a cyclophilin inhibits effector-triggered immunity in arabidopsis",2014,"Cell Host and Microbe","16","4",,"473","483",,5,10.1016/j.chom.2014.09.007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908070998&partnerID=40&md5=8afa85d7f671a73f2855d324b77bd68e",Article,Scopus,2-s2.0-84908070998
"Rastogi, G., Coaker, G.L., Leveau, J.H.J.","New insights into the structure and function of phyllosphere microbiota through high-throughput molecular approaches",2013,"FEMS Microbiology Letters","348","1",,"1","10",,25,10.1111/1574-6968.12225,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885481609&partnerID=40&md5=477f5d62942e981488e07c4e1f07e759",Article,Scopus,2-s2.0-84885481609
"Henry, E., Yadeta, K.A., Coaker, G.","Recognition of bacterial plant pathogens: Local, systemic and transgenerational immunity",2013,"New Phytologist","199","4",,"908","915",,8,10.1111/nph.12214,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881235715&partnerID=40&md5=7c37a0acce99ea7767081fa188ef3694",Review,Scopus,2-s2.0-84881235715
"Park, S.-W., Li, W., Viehhauser, A., He, B., Kim, S., Nilsson, A.K., Andersson, M.X., Kittle, J.D., Ambavaram, M.M.R., Luan, S., Esker, A.R., Tholl, D., Cimini, D., Ellerström, M., Coaker, G., Mitchell, T.K., Pereira, A., Dietz, K.-J., Lawrence, C.B.","Cyclophilin 20-3 relays a 12-oxo-phytodienoic acid signal during stress responsive regulation of cellular redox homeostasis",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","23",,"9559","9564",,40,10.1073/pnas.1218872110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878712483&partnerID=40&md5=ed688e243ba86a9cf3d68ac75aedf859",Article,Scopus,2-s2.0-84878712483
"Cui, F., Wu, S., Sun, W., Coaker, G., Kunkel, B., He, P., Shan, L.","The Pseudomonas syringae type III effector AvrRpt2 promotes pathogen virulence via stimulating arabidopsis auxin/indole acetic acid protein turnover",2013,"Plant Physiology","162","2",,"1018","1029",,15,10.1104/pp.113.219659,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84878433740&partnerID=40&md5=a0268d2bd03895e12ba37759a3a2b8f1",Article,Scopus,2-s2.0-84878433740
"Yadeta, K.A., Mitch Elmore, J., Coaker, G.","Advancements in the analysis of the Arabidopsis plasma membrane proteome",2013,"Frontiers in Plant Science","4","APR", 86,"","",,3,10.3389/fpls.2013.00086,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900853273&partnerID=40&md5=921f409781faad4db2cc6b6fe29d2164",Review,Scopus,2-s2.0-84900853273
"Li, W., Yadeta, K.A., Elmore, J.M., Coaker, G.","The Pseudomonas syringae effector HopQ1 promotes bacterial virulence and interacts with tomato 14-3-3 proteins in a phosphorylation-dependent manner",2013,"Plant Physiology","161","4",,"2062","2074",,12,10.1104/pp.112.211748,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875463050&partnerID=40&md5=bfc7914636a8a07f3819f9cbf440818e",Article,Scopus,2-s2.0-84875463050
"Li, W., Chiang, Y.-H., Coaker, G.","The HopQ1 Effector's Nucleoside Hydrolase-Like Domain Is Required for Bacterial Virulence in Arabidopsis and Tomato, but Not Host Recognition in Tobacco",2013,"PLoS ONE","8","3", e59684,"","",,4,10.1371/journal.pone.0059684,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875409460&partnerID=40&md5=2d5bd75d75d31ded59281e40a48bf66b",Article,Scopus,2-s2.0-84875409460
"Coaker, G., Baker, D.","Signal Transduction Pathways Activated by R Proteins",2012,"Molecular Plant Immunity",,,,"41","53",,,10.1002/9781118481431.ch3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886827281&partnerID=40&md5=decea6ce752c43b6018f5299d9e1cb1c",Book Chapter,Scopus,2-s2.0-84886827281
