Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wei, F., Zhang, J., Zhou, S., He, R., Schaeffer, M., Collura, K., Kudrna, D., Faga, B.P., Wissotski, M., Golser, W., Rock, S.M., Graves, T.A., Fulton, R.S., Coe, E., Schnable, P.S., Schwartz, D.C., Ware, D., Clifton, S.W., Wilson, R.K., Wing, R.A.","The physical and genetic framework of the maize B73 genome",2009,"PLoS Genetics","5","11", e1000715,"","",,54,10.1371/journal.pgen.1000715,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73649087948&partnerID=40&md5=c77b759210dbe341bfec1ce48bbcfa3c",Article,Scopus,2-s2.0-73649087948
"Coe, E.","East, Emerson, and the birth of maize genetics",2009,"Handbook of Maize: Genetics and Genomics",,,,"3","15",,2,10.1007/978-0-387-77863-1_1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919842836&partnerID=40&md5=0a5a3dce1f3c78462e493de2657f3561",Book Chapter,Scopus,2-s2.0-84919842836
"Cone, K.C., Coe, E.H.","Genetic mapping and maps",2009,"Handbook of Maize: Genetics and Genomics",,,,"507","522",,1,10.1007/978-0-387-77863-1_25,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84919876667&partnerID=40&md5=cde74fc4f73a083150fb2287a7887adb",Book Chapter,Scopus,2-s2.0-84919876667
"Shyu, C.-R., Harnsomburana, J., Green, J., Barb, A.S., Kazic, T., Schaeffer, M., Coe, E.","Searching and mining visually observed phenotypes of maize mutants",2007,"Journal of Bioinformatics and Computational Biology","5","6",,"1193","1213",,2,10.1142/S0219720007003181,"http://www.scopus.com/inward/record.url?eid=2-s2.0-38049003715&partnerID=40&md5=6df41174c78823787e8bf2ecb486e4f0",Article,Scopus,2-s2.0-38049003715
"Wei, F., Coe, E., Nelson, W., Bharti, A.K., Engler, F., Butler, E., Kim, H., Goicoechea, J.L., Chen, M., Lee, S., Fuks, G., Sanchez-Villeda, H., Schroeder, S., Fang, Z., McMullen, M., Davis, G., Bowers, J.E., Paterson, A.H., Schaeffer, M., Gardiner, J., Cone, K., Messing, J., Soderlund, C., Wing, R.A.","Physical and genetic structure of the maize genome reflects its complex evolutionary history.",2007,"PLoS genetics","3","7",,"","",,23,10.1371/journal.pgen.0030123,"http://www.scopus.com/inward/record.url?eid=2-s2.0-44449135511&partnerID=40&md5=e82c296f455a4569c35d9761048ec151",Article,Scopus,2-s2.0-44449135511
"Wei, F., Coe, E., Nelson, W., Bharti, A.K., Engler, F., Butler, E., Kim, H., Goicoechea, J.L., Chen, M., Lee, S., Fuks, G., Sanchez-Villeda, H., Schroeder, S., Fang, Z., McMullen, M., Davis, G., Bowers, J.E., Paterson, A.H., Schaeffer, M., Gardiner, J., Cone, K., Messing, J., Soderlund, C., Wing, R.A.","Physical and genetic structure of the maize genome reflects its complex evolutionary history",2007,"PLoS Genetics","3","7",,"1254","1263",,125,10.1371/journal.pgen.0030123,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34547634071&partnerID=40&md5=757aa471eb28f4d6b3938a694e464a49",Article,Scopus,2-s2.0-34547634071
"Shyu, C.-R., Green, J.M., Lun, D.P.K., Kazic, T., Schaeffer, M., Coe, E.","Image analysis for mapping immeasurable phenotypes in Maize",2007,"IEEE Signal Processing Magazine","24","3",,"116","119",,7,10.1109/MSP.2007.361609,"http://www.scopus.com/inward/record.url?eid=2-s2.0-34249664836&partnerID=40&md5=970c6ff0390d5d713740950db4fb7308",Article,Scopus,2-s2.0-34249664836
"Yim, Y.-S., Moak, P., Sanchez-Villeda, H., Musket, T.A., Close, P., Klein, P.E., Mullet, J.E., McMullen, M.D., Fang, Z., Schaeffer, M.L., Gardiner, J.M., Coe Jr., E.H., Davis, G.L.","A BAC pooling strategy combined with PCR-based screenings in a large, highly repetitive genome enables integration of the maize genetic and physical maps",2007,"BMC Genomics","8",, 47,"","",,32,10.1186/1471-2164-8-47,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33947361960&partnerID=40&md5=d646a8ec6a7d84ec3b81089069d6a52c",Article,Scopus,2-s2.0-33947361960
"Schaeffer, M., Byrne, P., Coe Jr., E.H.","Consensus quantitative trait maps in maize: A database strategy",2006,"Maydica","51","2",,"357","367",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33746415675&partnerID=40&md5=55212358800e0030dee8f5bd49930753",Article,Scopus,2-s2.0-33746415675
"Coe, E.H., Schaeffer, M.L.","Uncaging mutants: Moving from menageries to ménages",2006,"Maydica","51","2",,"263","267",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33746412932&partnerID=40&md5=253e058b6b52cb7a40d24df89a728157",Article,Scopus,2-s2.0-33746412932
"Vroh Bi, I., McMullen, M.D., Sanchez-Villeda, H., Schroeder, S., Gardiner, J., Polacco, M., Soderlund, C., Wing, R., Fang, Z., Coe Jr., E.H.","Single nucleotide polymorphisms and insertion-deletions for genetic markers and anchoring the maize fingerprint contig physical map",2006,"Crop Science","46","1",,"12","21",,43,10.2135/cropsci2004.0706,"http://www.scopus.com/inward/record.url?eid=2-s2.0-32344445134&partnerID=40&md5=f7ccc5e16919ed1a72a7cc12ce08299f",Article,Scopus,2-s2.0-32344445134
"Coe, E.H., Schaeffer, M.L.","Genetic, physical, maps, and database resources for maize",2005,"Maydica","50","3-4",,"285","303",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846101250&partnerID=40&md5=098d9b12de2e806353209b1b323fe13d",Article,Scopus,2-s2.0-33846101250
"Coe, E., Kass, L.B.","Proof of physical exchange of genes on the chromosomes",2005,"Proceedings of the National Academy of Sciences of the United States of America","102","19",,"6641","6646",,4,10.1073/pnas.0407340102,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18744412388&partnerID=40&md5=2a6606b66f0968351040f7859d28db0c",Review,Scopus,2-s2.0-18744412388
"Kass, L.B., Bonneuil, C., Coe Jr., E.H.","Cornfests, cornfabs and cooperation: The origins and beginnings of the maize genetics cooperation news letter",2005,"Genetics","169","4",,"1787","1797",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18844403870&partnerID=40&md5=7903207609974023c2894a0da1ef44d1",Review,Scopus,2-s2.0-18844403870
"Auger, D.L., Gray, A.D., Ream, T.S., Kato, A., Coe Jr., E.H., Birchler, J.A.","Nonadditive gene expression in diploid and triploid hybrids of maize",2005,"Genetics","169","1",,"389","397",,121,10.1534/genetics.104.032987,"http://www.scopus.com/inward/record.url?eid=2-s2.0-13744261166&partnerID=40&md5=6b167ba15d518c4ea8fb004d1a38e317",Article,Scopus,2-s2.0-13744261166
"Carson, C., Robertson, J., Coe, E.","High-volume mapping of maize mutants with simple sequence repeat markers",2004,"Plant Molecular Biology Reporter","22","2",,"131","143",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-18944363215&partnerID=40&md5=d5c57ba8e24b897ea01933d3e05eef53",Review,Scopus,2-s2.0-18944363215
