Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Cuperus, J.T., Lo, R.S., Shumaker, L., Proctor, J., Fields, S.","A tetO Toolkit to Alter Expression of Genes in Saccharomyces cerevisiae",2015,"ACS Synthetic Biology","4","7",,"842","852",,,10.1021/sb500363y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937154273&partnerID=40&md5=1eb3c646887334f6f390938499a4d60d",Article,Scopus,2-s2.0-84937154273
"Carbonell, A., Takeda, A., Fahlgren, N., Johnson, S.C., Cuperus, J.T., Carrington, J.C.","New generation of artificial MicroRNA and synthetic trans-acting small interfering RNA vectors for efficient gene silencing in Arabidopsis",2014,"Plant Physiology","165","1",,"15","29",,10,10.1104/pp.113.234989,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84899823774&partnerID=40&md5=7918703582c8180500889bd34e3cfa6b",Article,Scopus,2-s2.0-84899823774
"Fahlgren, N., Bollmann, S.R., Kasschau, K.D., Cuperus, J.T., Press, C.M., Sullivan, C.M., Chapman, E.J., Hoyer, J.S., Gilbert, K.B., Grünwald, N.J., Carrington, J.C.","Phytophthora Have Distinct Endogenous Small RNA Populations That Include Short Interfering and microRNAs",2013,"PLoS ONE","8","10", e77181,"","",,9,10.1371/journal.pone.0077181,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886924056&partnerID=40&md5=730e8e56412fb08fb23b6becb4b20300",Article,Scopus,2-s2.0-84886924056
"Carbonell, A., Fahlgren, N., Garcia-Ruiz, H., Gilbert, K.B., Montgomery, T.A., Nguyen, T., Cuperus, J.T., Carrington, J.C.","Functional analysis of three Arabidopsis argonautes using slicer-defective mutants",2012,"Plant Cell","24","9",,"3613","3629",,42,10.1105/tpc.112.099945,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868089450&partnerID=40&md5=c6739bb8ec7a92b06efaee5554d46af1",Article,Scopus,2-s2.0-84868089450
"Greenberg, M.V.C., Ausin, I., Chan, S.W.L., Cokus, S.J., Cuperus, J.T., Feng, S., Law, J.A., Chu, C., Pellegrini, M., Carrington, J.C., Jacobsen, S.E.","Identification of genes required for de novo DNA methylation in arabidopsis",2011,"Epigenetics","6","3",,"344","354",,29,10.4161/epi.6.3.14242,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952418374&partnerID=40&md5=43d42d1569bb1c0b46655c95aba77a4d",Article,Scopus,2-s2.0-79952418374
"Cuperus, J.T., Fahlgren, N., Carrington, J.C.","Evolution and functional diversification of MIRNA genes",2011,"Plant Cell","23","2",,"431","442",,208,10.1105/tpc.110.082784,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953086307&partnerID=40&md5=8b98377f70a3f38749f7e89393065fff",Review,Scopus,2-s2.0-79953086307
"Cuperus, J.T., Carbonell, A., Fahlgren, N., Garcia-Ruiz, H., Burke, R.T., Takeda, A., Sullivan, C.M., Gilbert, S.D., Montgomery, T.A., Carrington, J.C.","Unique functionality of 22-nt miRNAs in triggering RDR6-dependent siRNA biogenesis from target transcripts in Arabidopsis",2010,"Nature Structural and Molecular Biology","17","8",,"997","1003",,146,10.1038/nsmb.1866,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77955418697&partnerID=40&md5=2287bce1ba951e29d0bde3a4721f13e2",Article,Scopus,2-s2.0-77955418697
"Cuperus, J.T., Montgomery, T.A., Fahlgren, N., Burke, R.T., Townsend, T., Sullivan, C.M., Carrington, J.C.","Identification of MIR390a precursor processing-defective mutants in Arabidopsis by direct genome sequencing",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","1",,"466","471",,57,10.1073/pnas.0913203107,"http://www.scopus.com/inward/record.url?eid=2-s2.0-76249087711&partnerID=40&md5=471951deb62059f6c049a26f67da0a79",Article,Scopus,2-s2.0-76249087711
"Rubio-Somoza, I., Cuperus, J.T., Weigel, D., Carrington, J.C.","Regulation and functional specialization of small RNA-target nodes during plant development",2009,"Current Opinion in Plant Biology","12","5",,"622","627",,49,10.1016/j.pbi.2009.07.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349556320&partnerID=40&md5=b047d9f1fd2002db2446f4f20783679a",Review,Scopus,2-s2.0-70349556320
"Bhattacharjee, S., Lee, L.-Y., Oltmanns, H., Cao, H., Veena,  ., Cuperus, J., Gelvin, S.B.","IMPa-4, an Arabidopsis importin α isoform, is preferentially involved in Agrobacterium-mediated plant transformation",2008,"Plant Cell","20","10",,"2661","2680",,54,10.1105/tpc.108.060467,"http://www.scopus.com/inward/record.url?eid=2-s2.0-54849442381&partnerID=40&md5=a676bafd2a65ae138906d20d58c8b63b",Article,Scopus,2-s2.0-54849442381
