Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Campbell, B.W., Mani, D., Curtin, S.J., Slattery, R.A., Michno, J.-M., Ort, D.R., Schaus, P.J., Palmer, R.G., Orf, J.H., Stupar, R.M.","Identical substitutions in nagnesium chelatase paralogs result in chlorophyll-deficient soybean mutants",2015,"G3: Genes, Genomes, Genetics","5","1",,"123","131",,,10.1534/g3.114.015255,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921536596&partnerID=40&md5=f6c977f9f45b313ccf2ac345eb0e9105",Article,Scopus,2-s2.0-84921536596
"Curtin, S.J., Anderson, J.E., Starker, C.G., Baltes, N.J., Mani, D., Voytas, D.F., Stupar, R.M.","Targeted mutagenesis for functional analysis of gene duplication in legumes",2013,"Methods in Molecular Biology","1069",,,"25","42",,2,10.1007/978-1-62703-613-9_3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884176084&partnerID=40&md5=fed420c782c54f37750cad442adba9b9",Article,Scopus,2-s2.0-84884176084
"Curtin, S.J., Voytas, D.F., Stupar, R.M.","Genome engineering of crops with designer nucleases",2012,"Plant Genome","5","2",,"42","50",,30,10.3835/plantgenome2012.06.0008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871794394&partnerID=40&md5=ee7b37897096384f1273af63e314c619",Article,Scopus,2-s2.0-84871794394
"Curtin, S.J., Zsögön, A., Watson, J.M., Waterhouse, P.M.","Isolation and analysis of small RNAs from virus-infected plants.",2012,"Methods in molecular biology (Clifton, N.J.)","894",,,"173","189",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871690114&partnerID=40&md5=38edfd11df4804414b6cdaf02ab2431a",Article,Scopus,2-s2.0-84871690114
"Curtin, S.J., Kantar, M.B., Yoon, H.W., Whaley, A.M., Schlueter, J.A., Stupar, R.M.","Co-expression of soybean Dicer-like genes in response to stress and development",2012,"Functional and Integrative Genomics","12","4",,"671","682",,2,10.1007/s10142-012-0278-z,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877036143&partnerID=40&md5=de0d03b9609d17123dd60bb1141ac457",Article,Scopus,2-s2.0-84877036143
"Eamens, A.L., Kim, K.W., Curtin, S.J., Waterhouse, P.M.","DRB2 is required for microRNA biogenesis in Arabidopsis thaliana",2012,"PLoS ONE","7","4", e35933,"","",,16,10.1371/journal.pone.0035933,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860180215&partnerID=40&md5=8dbb46af551b6719692498104819fabd",Article,Scopus,2-s2.0-84860180215
"Curtin, S.J., Zsögön, A., Watson, J.M., Waterhouse, P.M.","Isolation and analysis of small RNAs from virus-infected plants",2012,"Methods in Molecular Biology","894",,,"173","189",,,10.1007/978-1-61779-882-5_12,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934438705&partnerID=40&md5=b72ae12bc7757ce125cf3022ac0ea265",Article,Scopus,2-s2.0-84934438705
"Curtin, S.J., Zhang, F., Sander, J.D., Haun, W.J., Starker, C., Baltes, N.J., Reyon, D., Dahlborg, E.J., Goodwin, M.J., Coffman, A.P., Dobbs, D., Joung, J.K., Voytas, D.F., Stupar, R.M.","Targeted mutagenesis of duplicated genes in soybean with zinc-finger nucleases",2011,"Plant Physiology","156","2",,"466","473",,68,10.1104/pp.111.172981,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79958065910&partnerID=40&md5=03fb3c878e6b54a7d00956a31c0e4dcf",Article,Scopus,2-s2.0-79958065910
"Sander, J.D., Dahlborg, E.J., Goodwin, M.J., Cade, L., Zhang, F., Cifuentes, D., Curtin, S.J., Blackburn, J.S., Thibodeau-Beganny, S., Qi, Y., Pierick, C.J., Hoffman, E., Maeder, M.L., Khayter, C., Reyon, D., Dobbs, D., Langenau, D.M., Stupar, R.M., Giraldez, A.J., Voytas, D.F., Peterson, R.T., Yeh, J.-R.J., Joung, J.K.","Selection-free zinc-finger-nuclease engineering by context-dependent assembly (CoDA)",2011,"Nature Methods","8","1",,"67","69",,218,10.1038/nmeth.1542,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650863981&partnerID=40&md5=86848b2d5cc99f4ab4fec84dbc01dfb5",Article,Scopus,2-s2.0-78650863981
"Eamens, A., Curtin, S.J., Waterhouse, P.M.","RNA silencing in plants",2010,"Plant Developmental Biology","2",,,"277","294",,,10.1007/978-3-642-04670-4_15,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900187915&partnerID=40&md5=14cc8458a7a4cd7d85328db8a4389809",Book Chapter,Scopus,2-s2.0-84900187915
