Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"de la Torre, F., Gutiérrez-Beltrán, E., Pareja-Jaime, Y., Chakravarthy, S., Martin, G.B., del Pozo, O.","The tomato calcium sensor Cbl10 and its interacting protein kinase cipk6 define a signaling pathway in plant immunity",2013,"Plant Cell","25","7",,"2748","2764",,20,10.1105/tpc.113.113530,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883143553&partnerID=40&md5=54452893f1f3338f0a6ea7a1a21a819a",Article,Scopus,2-s2.0-84883143553
"Lee, J., Teitzel, G.M., Munkvold, K., del Pozo, O., Martin, G.B., Michelmore, R.W., Greenberg, J.T.","Type III secretion and effectors shape the survival and growth pattern of Pseudomonas syringae on leaf surfaces",2012,"Plant Physiology","158","4",,"1803","1818",,20,10.1104/pp.111.190686,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859347445&partnerID=40&md5=6ed9e2f54a97a82b422763ffdb50ce06",Article,Scopus,2-s2.0-84859347445
"Moeder, W., Del Pozo, O., Navarre, D.A., Martin, G.B., Klessig, D.F.","Aconitase plays a role in regulating resistance to oxidative stress and cell death in Arabidopsis and Nicotiana benthamiana",2007,"Plant Molecular Biology","63","2",,"273","287",,65,10.1007/s11103-006-9087-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846066027&partnerID=40&md5=0d4d5970c33ba86d7de70f4c94d8fdc6",Article,Scopus,2-s2.0-33846066027
"Anand, A., Vaghchhipawala, Z., Ryu, C.-M., Kang, L., Wang, K., Del-Pozo, O., Martin, G.B., Mysore, K.S.","Identification and characterization of plant genes involved in Agrobacterium-mediated plant transformation by virus-induced silencing",2007,"Molecular Plant-Microbe Interactions","20","1",,"41","52",,48,10.1094/MPMI-20-0041,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33845603601&partnerID=40&md5=0b049f0328a243c1f163abb5ac62fa73",Article,Scopus,2-s2.0-33845603601
"Restrepo, S., Myers, K.L., Del Pozo, O., Martin, G.B., Hart, A.L., Buell, C.R., Fry, W.E., Smart, C.D.","Gene profiling of a compatible interaction between Phytophthora infestans and Solanum tuberosum suggests a role for carbonic anhydrase",2005,"Molecular Plant-Microbe Interactions","18","9",,"913","922",,81,10.1094/MPMI-18-0913,"http://www.scopus.com/inward/record.url?eid=2-s2.0-23844448372&partnerID=40&md5=a1ee91196b415e7aa96bb298c534d24e",Article,Scopus,2-s2.0-23844448372
"Del Pozo, O., Pedley, K.F., Martin, G.B.","MAPKKKα is a positive regulator of cell death associated with both plant immunity and disease",2004,"EMBO Journal","23","15",,"3072","3082",,185,10.1038/sj.emboj.7600283,"http://www.scopus.com/inward/record.url?eid=2-s2.0-4143088379&partnerID=40&md5=5742f14810e3cf676ef901766d9cd519",Article,Scopus,2-s2.0-4143088379
"He, X., Anderson, J.C., Del Pozo, O., Gu, Y.-Q., Tang, X., Martin, G.B.","Silencing of subfamily I of protein phosphatase 2A catalytic subunits results in activation of plant defense responses and localized cell death",2004,"Plant Journal","38","4",,"563","577",,61,10.1111/j.1365-313X.2004.02073.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2542584746&partnerID=40&md5=197a2732d34a17ecf6e839cfcd76c2bf",Article,Scopus,2-s2.0-2542584746
"Pontier, D., del Pozo, O., Lam, E.","Cell Death in Plant Disease: Mechanisms and Molecular Markers",2003,"Plant Cell Death Processes",,,,"37","50",,4,10.1016/B978-012520915-1/50006-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33644994694&partnerID=40&md5=5cf55cecaec36fb95b0532e2bc3ea7e8",Book Chapter,Scopus,2-s2.0-33644994694
"Del Pozo, O., Lam, E.","Expression of the baculovirus p35 protein in tobacco affects cell death progression and compromises N gene-mediated disease resistance response to Tobacco mosaic virus",2003,"Molecular Plant-Microbe Interactions","16","6",,"485","494",,65,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037572132&partnerID=40&md5=86158133d9e76a3669df61bf08661e4d",Article,Scopus,2-s2.0-0037572132
"Slaymaker, D.H., Navarre, D.A., Clark, D., Del Pozo, O., Martin, G.B., Klessig, D.F.","The tobacco salicylic acid-binding protein 3 (SABP3) is the chloroplast carbonic anhydrase, which exhibits antioxidant activity and plays a role in the hypersensitive defense response",2002,"Proceedings of the National Academy of Sciences of the United States of America","99","18",,"11640","11645",,149,10.1073/pnas.182427699,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0037015036&partnerID=40&md5=23bc2a263a2f38712e004b613b0d7509",Article,Scopus,2-s2.0-0037015036
