Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sánchez-Soto, A.I., Saavedra-González, G.I., Ibarra, J.E., Salcedo-Hernández, R., Barboza-Corona, J.E., Del Rincón-Castro, M.C.","Detection of β-exotoxin synthesis in Bacillus thuringiensis using an easy bioassay with the nematode Caenorhabditis elegans",2015,"Letters in Applied Microbiology",,,,"","",,,10.1111/lam.12493,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945231805&partnerID=40&md5=7174dd624c7fdee59424c668922808f8",Article in Press,Scopus,2-s2.0-84945231805
"Vázquez-Ramírez, Ma.F., Rangel-Núñez, J.C., Ibarra, J.E., Del Rincón-Castro, Ma.C.","Evaluation as biological control agents against the fall armyworm Spodoptera frugiperda (Lepidotera: Noctuidae) and characterization of Mexican Bacillus thuringiensis strains [Evaluación como agentes de control biológico y caracterización de cepas Mexicanas de Bacillus thuringiensis contra el gusano cogollero del maíz Spodoptera frugiperda (Lepidotera: Noctuidae)]",2015,"Interciencia","40","6",,"397","402",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937400844&partnerID=40&md5=31b44d8d9e16460de235085f84f1ebc4",Article,Scopus,2-s2.0-84937400844
"Barboza-Corona, J.E., Delgadillo-Ángeles, J.L., Castañeda-Ramírez, J.C., Barboza-Pérez, U.E., Casados-Vázquez, L.E., Bideshi, D.K., del Rincón-Castro, M.C.","Bacillus thuringiensis subsp. kurstaki HD1 as a factory to synthesize alkali-labile ChiA74{increment}sp chitinase inclusions, Cry crystals and spores for applied use",2014,"Microbial Cell Factories","13","1", 15,"","",,1,10.1186/1475-2859-13-15,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892681942&partnerID=40&md5=fca481469d89974e86fd020e0e79c25f",Article,Scopus,2-s2.0-84892681942
"Ortega-Estrada, M.D.J., Del Rincón-Castro, M.C., Basurto-Ríos, R., Toledo, J., Ibarra, J.E.","Phoresis between Serratia marcescens and Steinernema carpocapsae (Rhabditida: Steinernematidae) during infection of Galleria mellonella (Lepidoptera: Pyralidae) larvae",2012,"Florida Entomologist","95","1",,"120","127",,2,10.1653/024.095.0119,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860632926&partnerID=40&md5=c320b009cd44d614e62e3d7f83ad0603",Article,Scopus,2-s2.0-84860632926
"Hernández-Soto, A., Del Rincón-Castro, M.C., Espinoza, A.M., Ibarra, J.E.","Parasporal body formation via overexpression of the Cry10Aa toxin of Bacillus thuringiensis subsp. israelensis, and Cry10Aa-Cyt1Aa synergism",2009,"Applied and Environmental Microbiology","75","14",,"4661","4667",,16,10.1128/AEM.00409-09,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67650503456&partnerID=40&md5=d4719fa51f949afca4942b4efdb2e8f9",Article,Scopus,2-s2.0-67650503456
"Obregón-Barboza, V., Del Rincón-Castro, Ma.C., Cabrera-Ponce, J.L., Ibarra, J.E.","Infection, transfection, and co-transfection of baculoviruses by microprojectile bombardment of larvae",2007,"Journal of Virological Methods","140","1-2",,"124","131",,4,10.1016/j.jviromet.2006.11.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846567873&partnerID=40&md5=5291e02f80febf3be8863a935c53a242",Article,Scopus,2-s2.0-33846567873
"Monnerat, R., Martins, E., Queiroz, P., Ordúz, S., Jaramillo, G., Benintende, G., Cozzi, J., Real, M.D., Martinez-Ramirez, A., Rausell, C., Cerón, J., Ibarra, J.E., Del Rincon-Castro, M.C., Espinoza, A.M., Meza-Basso, L., Cabrera, L., Sánchez, J., Soberon, M., Bravo, A.","Genetic variability of Spodoptera frugiperda Smith (Lepidoptera: Noctuidae) populations from Latin America is associated with variations in susceptibility to Bacillus thuringiensis cry toxins",2006,"Applied and Environmental Microbiology","72","11",,"7029","7035",,29,10.1128/AEM.01454-06,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33751008085&partnerID=40&md5=fb18a94f4e7a3d2f07325dd742e214a5",Article,Scopus,2-s2.0-33751008085
"Del Rincón-Castro, M.C., Ibarra, J.E.","Effect of a nuclepolyhedrovirus of Autographa californica expressing the enhancin gene of Trichoplusia ni granulovirus on T. ni larvae",2005,"Biocontrol Science and Technology","15","7",,"701","710",,5,10.1080/09583150500136105,"http://www.scopus.com/inward/record.url?eid=2-s2.0-27544449836&partnerID=40&md5=70dd29a9b5c07204fad2cef612c018eb",Article,Scopus,2-s2.0-27544449836
"Lara-Reyna, J., Del Rincón-Castro, M.C., Ibarra, J.E.","Synergism between the nucleopolyhedroviruses of Autographa californica and Trichoplusia ni",2003,"Acta Virologica","47","3",,"189","194",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0242300142&partnerID=40&md5=a933dd80a7776025f739251ae70df005",Article,Scopus,2-s2.0-0242300142
"López-Meza, J.E., Barboza-Corona, J.E., Del Rincón-Castro, M.C., Ibarra, J.E.","Sequencing and characterization of plasmid pUIBI-1 from Bacillus thuringiensis serovar entomocidus LBIT-113",2003,"Current Microbiology","47","5",,"395","399",,11,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0141669022&partnerID=40&md5=aa3052909edd6f226e5b6520e7db320c",Article,Scopus,2-s2.0-0141669022
