Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dodd, A.N., Belbin, F.E., Frank, A., Webb, A.A.R.","Interactions between circadian clocks and photosynthesis for the temporal and spatial coordination of metabolism",2015,"Frontiers in Plant Science","6","APR",,"1","7",,1,10.3389/fpls.2015.00245,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928110747&partnerID=40&md5=bc0f0e98a510c8de7beaf79bfcae547e",Article,Scopus,2-s2.0-84928110747
"Dodd, A.N., Kusakina, J., Hall, A., Gould, P.D., Hanaoka, M.","The circadian regulation of photosynthesis",2014,"Photosynthesis Research","119","1-2",,"181","190",,7,10.1007/s11120-013-9811-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891634692&partnerID=40&md5=6ecd343174fcf233608a6003d7fe297f",Review,Scopus,2-s2.0-84891634692
"Dodd, A.N., Dalchau, N., Gardner, M.J., Baek, S.-J., Webb, A.A.R.","The circadian clock has transient plasticity of period and is required for timing of nocturnal processes in Arabidopsis",2014,"New Phytologist","201","1",,"168","179",,11,10.1111/nph.12489,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888292195&partnerID=40&md5=107ef1b8473339b7b201437531977c13",Article,Scopus,2-s2.0-84888292195
"Atkins, K.A., Dodd, A.N.","Circadian regulation of chloroplasts",2014,"Current Opinion in Plant Biology","21",,,"43","50",,2,10.1016/j.pbi.2014.06.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904266466&partnerID=40&md5=176dc34170b73292bcc161c01487627c",Review,Scopus,2-s2.0-84904266466
"Dodd, A.N., Webb, A.A.R.","Sugar and circadian rhythms: In a plant's own sweet time",2014,"Biochemist","36","2",,"8","11",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898861106&partnerID=40&md5=baca4f935e227fe9f7194ac104ccdd5f",Article,Scopus,2-s2.0-84898861106
"Noordally, Z.B., Ishii, K., Atkins, K.A., Wetherill, S.J., Kusakina, J., Walton, E.J., Kato, M., Azuma, M., Tanaka, K., Hanaoka, M., Dodd, A.N.","Circadian control of chloroplast transcription by a nuclear-encoded timing signal",2013,"Science","339","6125",,"1316","1319",,29,10.1126/science.1230397,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874951322&partnerID=40&md5=57ac62d9d779e15de5447553cc7e9b4d",Article,Scopus,2-s2.0-84874951322
"Kusakina, J., Dodd, A.N.","Phosphorylation in the plant circadian system",2012,"Trends in Plant Science","17","10",,"575","583",,18,10.1016/j.tplants.2012.06.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866864299&partnerID=40&md5=04a1309f596e96ff0b69cd1473d1c038",Review,Scopus,2-s2.0-84866864299
"Dalchau, N., Baek, S.J., Briggs, H.M., Robertson, F.C., Dodd, A.N., Gardner, M.J., Stancombe, M.A., Haydon, M.J., Stan, G.-B., Gonçalves, J.M., Webb, A.A.R.","The circadian oscillator gene GIGANTEA mediates a long-term response of the Arabidopsis thaliana circadian clock to sucrose",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","12",,"5104","5109",,65,10.1073/pnas.1015452108,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79953169515&partnerID=40&md5=bac5f93deba3cd7e529a2ef2be226ebf",Article,Scopus,2-s2.0-79953169515
"Dodd, A.N., Kudla, J., Sanders, D.","The language of calcium signaling",2010,"Annual Review of Plant Biology","61",,,"593","620",,301,10.1146/annurev-arplant-070109-104628,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952530584&partnerID=40&md5=284a04dfb19f2cc613ab589904234297",Article,Scopus,2-s2.0-77952530584
"Dodd, A.N., Gardner, M.J., Hotta, C.T., Hubbard, K.E., Dalchau, N., Robertson, F.C., Love, J., Sanders, D., Webb, A.A.R.","Response to comment on ""the Arabidopsis circadian clock incorporates a cADPR-based feedback loop""",2009,"Science","326","5950",,"230","c",,1,10.1126/science.1169736,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349866671&partnerID=40&md5=df07fdc90dd00c7755d0607c920e72de",Note,Scopus,2-s2.0-70349866671
