Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Koteyeva, N.K., Voznesenskaya, E.V., Edwards, G.E.","An assessment of the capacity for phosphoenolpyruvate carboxykinase to contribute to C4 photosynthesis",2015,"Plant Science","235",,,"70","80",,,10.1016/j.plantsci.2015.03.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925428223&partnerID=40&md5=3b45d150d95c391645eef228b244c42a",Article,Scopus,2-s2.0-84925428223
"Offermann, S., Friso, G., Doroshenk, K.A., Sun, Q., Sharpe, R.M., Okita, T.W., Wimmer, D., Edwards, G.E., Van Wijk, K.J.","Developmental and subcellular organization of single-cell C<inf>4</inf> photosynthesis in bienertia sinuspersici determined by large-scale proteomics and cDNA assembly from 454 DNA sequencing",2015,"Journal of Proteome Research","14","5",,"2090","2108",,,10.1021/pr5011907,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929659943&partnerID=40&md5=f10ebe1c9f571d971c22b2206ebaab28",Article,Scopus,2-s2.0-84929659943
"von Caemmerer, S., Edwards, G.E., Koteyeva, N., Cousins, A.B.","Single cell C4 photosynthesis in aquatic and terrestrial plants: A gas exchange perspective",2014,"Aquatic Botany","118",,,"71","80",,,10.1016/j.aquabot.2014.05.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908641372&partnerID=40&md5=bc31fd06adf28e5da9b2332f3e3ea9f5",Article,Scopus,2-s2.0-84908641372
"Stutz, S.S., Edwards, G.E., Cousins, A.B.","Single-cell C4 photosynthesis: Efficiency and acclimation of Bienertia sinuspersici to growth under low light",2014,"New Phytologist","202","1",,"220","232",,4,10.1111/nph.12648,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894504858&partnerID=40&md5=a0f382f0fb2a117f0491551400e04f28",Article,Scopus,2-s2.0-84894504858
"Rosnow, J., Yerramsetty, P., Berry, J.O., Okita, T.W., Edwards, G.E.","Exploring mechanisms linked to differentiation and function of dimorphic chloroplasts in the single cell C4 species Bienertia sinuspersici",2014,"BMC Plant Biology","14","1", 34,"","",,2,10.1186/1471-2229-14-34,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892564038&partnerID=40&md5=dc8ca78339191cd3952ef81a27861130",Article,Scopus,2-s2.0-84892564038
"Gandin, A., Koteyeva, N.K., Voznesenskaya, E.V., Edwards, G.E., Cousins, A.B.","The acclimation of photosynthesis and respiration to temperature in the C<inf>3</inf>-C<inf>4</inf> intermediate Salsola divaricata: Induction of high respiratory CO<inf>2</inf> release under low temperature",2014,"Plant, Cell and Environment","37","11",,"2601","2612",,2,10.1111/pce.12345,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925491860&partnerID=40&md5=c910c9ef44078bf2cf36e0f632938fdb",Article,Scopus,2-s2.0-84925491860
"Ocampo, G., Koteyeva, N.K., Voznesenskaya, E.V., Edwards, G.E., Sage, T.L., Sage, R.F., Travis Columbus, J.","Evolution of leaf anatomy and photosynthetic pathways in Portulacaceae",2013,"American Journal of Botany","100","12",,"2388","2402",,8,10.3732/ajb.1300094,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890051589&partnerID=40&md5=558bf660dc5b0ca6814f93df20a04abd",Article,Scopus,2-s2.0-84890051589
"Voznesenskaya, E.V., Koteyeva, N.K., Akhani, H., Roalson, E.H., Edwards, G.E.","Structural and physiological analyses in Salsoleae (Chenopodiaceae) indicate multiple transitions among C3, intermediate, and C4 photosynthesis",2013,"Journal of Experimental Botany","64","12",,"3583","3604",,11,10.1093/jxb/ert191,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84883227279&partnerID=40&md5=69e2f62f9bb324f74c338ed4191d2c9f",Article,Scopus,2-s2.0-84883227279
"Allakhverdiev, S.I., Shen, J.-R., Edwards, G.E.","Special issues on Photosynthesis Education honoring Govindjee",2013,"Photosynthesis Research","116","2-3",,"107","110",,1,10.1007/s11120-013-9913-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84887432491&partnerID=40&md5=d8362a887de3b172ba45c92b53740b3e",Editorial,Scopus,2-s2.0-84887432491
"Giuliani, R., Koteyeva, N., Voznesenskaya, E., Evans, M.A., Cousins, A.B., Edwards, G.E.","Coordination of leaf photosynthesis, transpiration, and structural traits in rice and wild relatives (Genus Oryza)",2013,"Plant Physiology","162","3",,"1632","1651",,17,10.1104/pp.113.217497,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84879698959&partnerID=40&md5=9eaefbb6810feb8af8e410805f821d56",Article,Scopus,2-s2.0-84879698959
