Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Engineer, C.B., Ghassemian, M., Anderson, J.C., Peck, S.C., Hu, H., Schroeder, J.I.","Erratum: Carbonic anhydrases, EPF2 and a novel protease mediate CO2 control of stomatal development (Nature (2014) 513 (246-250) DOI: 10.1038/nature13452)",2015,"Nature","526","7573",,"458","",,,10.1038/nature14961,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84944346029&partnerID=40&md5=1a0f88a1a4d65c61a96b8014ef9b81ab",Erratum,Scopus,2-s2.0-84944346029
"Hu, H., Rappel, W.-J., Occhipinti, R., Ries, A., Böhmer, M., You, L., Xiao, C., Engineer, C.B., Boron, W.F., Schroeder, J.I.","Distinct cellular locations of carbonic anhydrases mediate carbon dioxide control of stomatal movements",2015,"Plant Physiology","169","2",,"1168","1178",,,10.1104/pp.15.00646,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942939798&partnerID=40&md5=0e7edebd9b2b0b4938704fe1fa60e0b0",Article,Scopus,2-s2.0-84942939798
"Azoulay-Shemer, T., Palomares, A., Bagheri, A., Israelsson-Nordstrom, M., Engineer, C.B., Bargmann, B.O.R., Stephan, A.B., Schroeder, J.I.","Guard cell photosynthesis is critical for stomatal turgor production, yet does not directly mediate CO<inf>2</inf>- and ABA-induced stomatal closing",2015,"Plant Journal","83","4",,"567","581",,2,10.1111/tpj.12916,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938976469&partnerID=40&md5=d035a58dc6392024bfc4dbee710eeab9",Article,Scopus,2-s2.0-84938976469
"Engineer, C.B., Ghassemian, M., Anderson, J.C., Peck, S.C., Hu, H., Schroeder, J.I.","Carbonic anhydrases, EPF2 and a novel protease mediate CO2 control of stomatal development",2014,"Nature","513","7517",,"246","250",,21,10.1038/nature13452,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907297277&partnerID=40&md5=5ee60141d1f4031dbc2d79c71d54510d",Article,Scopus,2-s2.0-84907297277
"Bu, Q., Lv, T., Shen, H., Luong, P., Wang, J., Wang, Z., Huang, Z., Xiao, L., Engineer, C., Kim, T.H., Schroeder, J.I., Huq, E.","Regulation of drought tolerance by the F-box protein MAX2 in Arabidopsis",2014,"Plant Physiology","164","1",,"424","439",,18,10.1104/pp.113.226837,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891764933&partnerID=40&md5=d5b1b9fa0304e4dbb95c8f551d057b79",Article,Scopus,2-s2.0-84891764933
"Jones, A.M., Xuan, Y., Xu, M., Wang, R.-S., Ho, C.-H., Lalonde, S., You, C.H., Sardi, M.I., Parsa, S.A., Smith-Valle, E., Su, T., Frazer, K.A., Pilot, G., Pratelli, R., Grossmann, G., Acharya, B.R., Hu, H.-C., Engineer, C., Villiers, F., Ju, C., Takeda, K., Su, Z., Dong, Q., Assmann, S.M., Chen, J., Kwak, J.M., Schroeder, J.I., Albert, R., Rhee, S.Y., Frommer, W.B.","Border control - A membrane-linked interactome of Arabidopsis",2014,"Science","344","6185",,"711","716",,19,10.1126/science.1251358,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84900396278&partnerID=40&md5=0180848c633635b6f060bb20353f7d28",Article,Scopus,2-s2.0-84900396278
"Kim, T.-H., Kunz, H.-H., Bhattacharjee, S., Hauser, F., Park, J., Engineer, C., Liu, A., Ha, T., Parker, J.E., Gassmann, W., Schroeder, J.I.","Natural Variation in Small Molecule-Induced TIR-NB-LRR Signaling Induces Root Growth Arrest via EDS1- and PAD4-Complexed R Protein VICTR in Arabidopsis",2013,"Plant Cell","24","12",,"5177","5192",,14,10.1105/tpc.112.107235,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873030001&partnerID=40&md5=463ba1ca3304710f5a7c493acd63ec81",Article,Scopus,2-s2.0-84873030001
"Kapazoglou, A., Engineer, C., Drosou, V., Kalloniati, C., Tani, E., Tsaballa, A., Kouri, E.D., Ganopoulos, I., Flemetakis, E., Tsaftaris, A.S.","The study of two barley Type I-like MADS-box genes as potential targets of epigenetic regulation during seed development",2012,"BMC Plant Biology","12",, 166,"","",,9,10.1186/1471-2229-12-166,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84866157133&partnerID=40&md5=fcfa402d0fec998ab690e289e1a4a8e6",Article,Scopus,2-s2.0-84866157133
"Ioannidi, E., Kalamaki, M.S., Engineer, C., Pateraki, I., Alexandrou, D., Mellidou, I., Giovannonni, J., Kanellis, A.K.","Expression profiling of ascorbic acid-related genes during tomato fruit development and ripening and in response to stress conditions",2009,"Journal of Experimental Botany","60","2",,"663","678",,92,10.1093/jxb/ern322,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67650927318&partnerID=40&md5=db9e2ffa5e92e1310522fe59d1e847c6",Article,Scopus,2-s2.0-67650927318
"Engineer, C.B., Kranz, R.G.","Reciprocal leaf and root expression of AtAmt1.1 and root architectural changes in response to nitrogen starvation",2007,"Plant Physiology","143","1",,"236","250",,17,10.1104/pp.106.088500,"http://www.scopus.com/inward/record.url?eid=2-s2.0-33846378526&partnerID=40&md5=d50db96b362de767319afa0b815faf69",Article,Scopus,2-s2.0-33846378526
"Engineer, C.B., Fitzsimmons, K.C., Schmuke, J.J., Dotson, S.B., Kranz, R.G.","Development and evaluation of a Gal4-mediated LUC/GFP/GUS enhancer trap system in Arabidopsis",2005,"BMC Plant Biology","5",, 9,"","",,17,10.1186/1471-2229-5-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-23044432028&partnerID=40&md5=0e36c0496959f74a1dd2e2ee07f1d6b7",Article,Scopus,2-s2.0-23044432028
