Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Dai, X., Zhang, Y., Zhang, D., Chen, J., Gao, X., Estelle, M., Zhao, Y.","Embryonic lethality of Arabidopsis abp1-1 is caused by deletion of the adjacent BSM gene",2015,"Nature Plants","1",, 2015183,"","",,,10.1038/nplants.2015.183,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946762828&partnerID=40&md5=0e5ea2f8eb33a52f4b6a165146e56901",Article,Scopus,2-s2.0-84946762828
"Wu, M.-F., Yamaguchi, N., Xiao, J., Bargmann, B., Estelle, M., Sang, Y., Wagner, D.","Auxin-regulated chromatin switch directs acquisition of flower primordium founder fate",2015,"eLife","4","OCTOBER2015", e09269,"","",,,10.7554/eLife.09269,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946592895&partnerID=40&md5=a983e45f6c0e1fbf397f223bfb910e06",Article,Scopus,2-s2.0-84946592895
"Gao, Y., Zhang, Y., Zhang, D., Dai, X., Estelle, M., Zhao, Y.","Auxin binding protein 1 (ABP1) is not required for either auxin signaling or Arabidopsis development",2015,"Proceedings of the National Academy of Sciences of the United States of America","112","7",,"2275","2280",,24,10.1073/pnas.1500365112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923164523&partnerID=40&md5=4f51a0ad61bd95851c61023cbb882960",Article,Scopus,2-s2.0-84923164523
"Sugawara, S., Mashiguchi, K., Tanaka, K., Hishiyama, S., Sakai, T., Hanada, K., Kinoshita-Tsujimura, K., Yu, H., Dai, X., Takebayashi, Y., Takeda-Kamiya, N., Kakimoto, T., Kawaide, H., Natsume, M., Estelle, M., Zhao, Y., Hayashi, K.-I., Kamiya, Y., Kasahara, H.","Distinct Characteristics of Indole-3-Acetic Acid and Phenylacetic Acid, Two Common Auxins in Plants",2015,"Plant and Cell Physiology","56","8",,"1641","1654",,,10.1093/pcp/pcv088,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939512569&partnerID=40&md5=744f38e7690bf2f6e5a21d697ea476ba",Article,Scopus,2-s2.0-84939512569
"Salehin, M., Bagchi, R., Estelle, M.","ScfTIR1/AFB-based auxin perception: Mechanism and role in plant growth and development",2015,"Plant Cell","27","1",,"9","19",,13,10.1105/tpc.114.133744,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923037318&partnerID=40&md5=8c71fb1485758f838b41debdf8882264",Article,Scopus,2-s2.0-84923037318
"Gilkerson, J., Kelley, D.R., Tam, R., Estelle, M., Callis, J.","Lysine residues are not required for proteasome- mediated proteolysis of the auxin/indole acidic acid protein IAA1",2015,"Plant Physiology","168","2",,"708","720",,1,10.1104/pp.15.00402,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84933041493&partnerID=40&md5=87a9b78fdde4fcd7d32933c867cdbc02",Article,Scopus,2-s2.0-84933041493
"Greenham, K., Santner, A., Castillejo, C., Mooney, S., Sairanen, I., Ljung, K., Estelle, M.","Erratum: The AFB4 auxin receptor is a negative regulator of auxin signaling in seedlings (Current Biology (2011) 21 (520-525))",2015,"Current Biology","25","6",,"819","",,,10.1016/j.cub.2015.02.062,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926387930&partnerID=40&md5=e6292a0ada8ad2183a770307c5504a5c",Erratum,Scopus,2-s2.0-84926387930
"Iglesias, M.J., Terrile, M.C., Windels, D., Lombardo, M.C., Bartoli, C.G., Vazquez, F., Estelle, M., Casalongué, C.A.","MiR393 regulation of auxin signaling and redox-related components during acclimation to salinity in Arabidopsis",2014,"PLoS ONE","9","9", e107678,"","",,3,10.1371/journal.pone.0107678,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907157752&partnerID=40&md5=f8b2eed0e5ff2aeb53c6f87fadb2192a",Article,Scopus,2-s2.0-84907157752
"Bargmann, B.O.R., Estelle, M.","Auxin perception: In the IAA of the beholder",2014,"Physiologia Plantarum","151","1",,"52","61",,10,10.1111/ppl.12135,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898478378&partnerID=40&md5=0c67766894511b5287154b7601e69da9",Review,Scopus,2-s2.0-84898478378
"Wang, R., Estelle, M.","Diversity and specificity: Auxin perception and signaling through the TIR1/AFB pathway",2014,"Current Opinion in Plant Biology","21",,,"51","58",,14,10.1016/j.pbi.2014.06.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904270008&partnerID=40&md5=8eecebfcd3897b26b73e9655e8f74923",Review,Scopus,2-s2.0-84904270008
