Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Chen, F., Everhart, S.E., Bryson, P.K., Luo, C., Song, X., Liu, X., Schnabel, G.","Fungicide-induced transposon movement in Monilinia fructicola",2015,"Fungal Genetics and Biology","85",,,"38","44",,,10.1016/j.fgb.2015.10.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946404688&partnerID=40&md5=7ea7544151ea4cf9d07cb8deab218cb5",Article,Scopus,2-s2.0-84946404688
"Bem, B.P.D., Bogo, A., Everhart, S., Casa, R.T., Gonçalves, M.J., Filho, J.L.M., Cunha, I.C.D.","Effect of Y-trellis and vertical shoot positioning training systems on downy mildew and botrytis bunch rot of grape in highlands of southern Brazil",2015,"Scientia Horticulturae","185",,,"162","166",,,10.1016/j.scienta.2015.01.023,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923042681&partnerID=40&md5=1efda679a9faf69c15806444ff67a85c",Article,Scopus,2-s2.0-84923042681
"Everhart, S.E., Scherm, H.","Fine-scale genetic structure of Monilinia fructicola during brown rot epidemics within individual peach tree canopies",2015,"Phytopathology","105","4",,"542","549",,1,10.1094/PHYTO-03-14-0088-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928139802&partnerID=40&md5=074b91d46894cccfadd135501b032ab1",Article,Scopus,2-s2.0-84928139802
"Everhart, S.E., Tabima, J.F., Grünwald, N.J.","Phytophthora ramorum",2014,"Genomics of Plant-Associated Fungi and Oomycetes: Dicot Pathogens",,,,"159","174",,1,10.1007/978-3-662-44056-8_8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930712742&partnerID=40&md5=267e3a1f16e3d7c8782fa972f63bbbe3",Book Chapter,Scopus,2-s2.0-84930712742
"Everhart, S.E., Askew, A., Seymour, L., Scherm, H.","Spatio-temporal patterns of pre-harvest brown rot epidemics within individual peach tree canopies",2013,"European Journal of Plant Pathology","135","3",,"499","508",,3,10.1007/s10658-012-0113-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873713895&partnerID=40&md5=3a24ada19da7cd8d09341bd65cf32a27",Article,Scopus,2-s2.0-84873713895
"Everhart, S.E., Askew, A., Seymour, L., Holb, I.J., Scherm, H.","Characterization of three-dimensional spatial aggregation and association patterns of brown rot symptoms within intensively mapped sour cherry trees",2011,"Annals of Botany","108","6",,"1195","1202",,14,10.1093/aob/mcr029,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80054695310&partnerID=40&md5=a591e247941b4b39111cf61327773f97",Article,Scopus,2-s2.0-80054695310
"Everhart, S.E.","Upper canopy collection and identification of grapevines (Vitis) from selected forests in the Southeastern United States",2010,"Castanea","75","1",,"141","149",,,10.2179/08-052.1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952073335&partnerID=40&md5=f99613603adf729c629bbe9b1f47d076",Article,Scopus,2-s2.0-77952073335
"Everhart, S.E., Ely, J.S., Keller, H.W.","Evaluation of tree canopy epiphytes and bark characteristics associated with the presence of corticolous myxomycetes",2009,"Botany","87","5",,"509","517",,6,10.1139/B09-027,"http://www.scopus.com/inward/record.url?eid=2-s2.0-67249145553&partnerID=40&md5=d034d712bf9897ee65983e7df61cb040",Article,Scopus,2-s2.0-67249145553
"Kilgore, C.M., Scarborough, A.R., Keller, H.W., Snell, K.L., Everhart, S.E., Skrabal, M.S., Pottorff, C., Ely, J.S.","Tree canopy research and student experiences using the doubled rope climbing method",2008,"Journal of the Botanical Research Institute of Texas","2","2",,"1309","1336",,4,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-58749095857&partnerID=40&md5=65645d8970c36c8c7ba11ace566077f0",Article,Scopus,2-s2.0-58749095857
"Everhart, S.E., Keller, H.W.","Life history strategies of corticolous myxomycetes: The life cycle, plasmodial types, fruiting bodies, and taxonomic orders",2008,"Fungal Diversity","29",,,"1","16",,18,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-47049110091&partnerID=40&md5=d41fb6b1b7224da1e24e26d3b43d8e66",Article,Scopus,2-s2.0-47049110091
"Everhart, S.E., Keller, H.W., Ely, J.S.","Influence of bark pH on the occurrence and distribution of tree canopy myxomycete species",2008,"Mycologia","100","2",,"191","204",,17,10.3852/mycologia.100.2.191,"http://www.scopus.com/inward/record.url?eid=2-s2.0-48249137390&partnerID=40&md5=b74e401b6f8ffcf46740d70165a7d94c",Article,Scopus,2-s2.0-48249137390
