Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Yang, Y., Mao, L., Jittayasothorn, Y., Kang, Y., Jiao, C., Fei, Z., Zhong, G.-Y.","Messenger RNA exchange between scions and rootstocks in grafted grapevines",2015,"BMC Plant Biology","15","1", 251,"","",,,10.1186/s12870-015-0626-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945192330&partnerID=40&md5=77de01f49b6c97dd7504e0d8ab4a893c",Article,Scopus,2-s2.0-84945192330
"Holl, H.M., Gao, S., Fei, Z., Andrews, C., Brooks, S.A.","Generation of a de novo transcriptome from equine lamellar tissue",2015,"BMC Genomics","16","1", 739,"","",,,10.1186/s12864-015-1948-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943586437&partnerID=40&md5=75c81ffb55f7dadf012e077a90ea4420",Article,Scopus,2-s2.0-84943586437
"Chen, W., Hasegawa, D.K., Arumuganathan, K., Simmons, A.M., Wintermantel, W.M., Fei, Z., Ling, K.-S.","Estimation of the whitefly bemisia tabaci genome size based on k-mer and flow cytometric analyses",2015,"Insects","6","3",,"704","715",,,10.3390/insects6030704,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938543379&partnerID=40&md5=8bebab49b6ca275a5e6beddd53f6ed8f",Article,Scopus,2-s2.0-84938543379
"Guo, S., Sun, H., Zhang, H., Liu, J., Ren, Y., Gong, G., Jiao, C., Zheng, Y., Yang, W., Fei, Z., Xu, Y.","Comparative transcriptome analysis of cultivated and wild watermelon during fruit development",2015,"PLoS ONE","10","6", 0130267,"","",,,10.1371/journal.pone.0130267,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937884284&partnerID=40&md5=a51488cdf1dcb60a91d5d6f45b1c2329",Article,Scopus,2-s2.0-84937884284
"Zheng, Y., Wang, Y., Wu, J., Ding, B., Fei, Z.","A dynamic evolutionary and functional landscape of plant phased small interfering RNAs",2015,"BMC Biology","13","1", 32,"","",,1,10.1186/s12915-015-0142-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930629522&partnerID=40&md5=dd451d44545c850c493030ed7cd3eae7",Article,Scopus,2-s2.0-84930629522
"Jiao, C., Gao, M., Wang, X., Fei, Z.","Transcriptome characterization of three wild Chinese Vitis uncovers a large number of distinct disease related genes",2015,"BMC Genomics","16","1", 223,"","",,,10.1186/s12864-015-1442-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925363159&partnerID=40&md5=bde46d829ab4ef667ea4d5f57db3a872",Article,Scopus,2-s2.0-84925363159
"Freilich, S., Lev, S., Gonda, I., Reuveni, E., Portnoy, V., Oren, E., Lohse, M., Galpaz, N., Bar, E., Tzuri, G., Wissotsky, G., Meir, A., Burger, J., Tadmor, Y., Schaffer, A., Fei, Z., Giovannoni, J., Lewinsohn, E., Katzir, N.","Systems approach for exploring the intricate associations between sweetness, color and aroma in melon fruits",2015,"BMC Plant Biology","15","1", 71,"","",,,10.1186/s12870-015-0449-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934873691&partnerID=40&md5=f10c20ceeea6c83fbd0dd3fffd05dbcd",Article,Scopus,2-s2.0-84934873691
"Cheng, C., Jiao, C., Singer, S.D., Gao, M., Xu, X., Zhou, Y., Li, Z., Fei, Z., Wang, Y., Wang, X.","Gibberellin-induced changes in the transcriptome of grapevine (Vitis labrusca × V. vinifera) cv. Kyoho flowers",2015,"BMC Genomics","16","1", 128,"","",,1,10.1186/s12864-015-1324-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928750489&partnerID=40&md5=43ccf6ccd01a64aa3ce3ff9d8e9e9f40",Article,Scopus,2-s2.0-84928750489
"Pattison, R.J., Csukasi, F., Zheng, Y., Fei, Z., van der Knaap, E., Catalá, C.","Comprehensive tissue-specific transcriptome analysis reveals distinct regulatory programs during early tomato fruit development",2015,"Plant Physiology","168","4",,"1684","1701",,,10.1104/pp.15.00287,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939209652&partnerID=40&md5=220a68e24999728b34c3400173053e64",Article,Scopus,2-s2.0-84939209652
"Bolger, A., Scossa, F., Bolger, M.E., Lanz, C., Maumus, F., Tohge, T., Quesneville, H., Alseekh, S., Sørensen, I., Lichtenstein, G., Fich, E.A., Conte, M., Keller, H., Schneeberger, K., Schwacke, R., Ofner, I., Vrebalov, J., Xu, Y., Osorio, S., Aflitos, S.A., Schijlen, E., Jiménez-Goméz, J.M., Ryngajllo, M., Kimura, S., Kumar, R., Koenig, D., Headland, L.R., Maloof, J.N., Sinha, N., van Ham, R.C.H.J., Lankhorst, R.K., Mao, L., Vogel, A., Arsova, B., Panstruga, R., Fei, Z., Rose, J.K.C., Zamir, D., Carrari, F., Giovannoni, J.J., Weigel, D., Usadel, B., Fernie, A.R.","The genome of the stress-tolerant wild tomato species Solanum pennellii",2014,"Nature Genetics",,,,"","",,16,10.1038/ng.3046,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904534870&partnerID=40&md5=e8964dd713e3d543332f05bb9b5ffb04",Article in Press,Scopus,2-s2.0-84904534870
