Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hoenicka, H., Lehnhardt, D., Nunna, S., Reinhardt, R., Jeltsch, A., Briones, V., Fladung, M.","Level of tissue differentiation influences the activation of a heat-inducible flower-specific system for genetic containment in poplar (Populus tremula L.)",2015,"Plant Cell Reports",,,,"","",16,,10.1007/s00299-015-1890-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84945567777&partnerID=40&md5=4928d819d8a60dc64a24909e7f46c266",Article in Press,Scopus,2-s2.0-84945567777
"Schroeder, H., Fladung, M.","Differentiation of Populus species by chloroplast SNP markers for barcoding and breeding approaches",2015,"IForest","8","AUG2015",,"544","546",,,10.3832/ifor1326-007,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938794299&partnerID=40&md5=5865a1906beab12b79ed7aebc0b03853",Article,Scopus,2-s2.0-84938794299
"Pakull, B., Kersten, B., Lüneburg, J., Fladung, M.","A simple PCR-based marker to determine sex in aspen",2015,"Plant Biology","17","1",,"256","261",,2,10.1111/plb.12217,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84923248281&partnerID=40&md5=fdd976cd2023a3db1863943c67f511f3",Article,Scopus,2-s2.0-84923248281
"Kersten, B., Voss, M.M., Fladung, M.","Development of mitochondrial SNP markers in different Populus species",2015,"Trees - Structure and Function","29","2",,"575","582",,,10.1007/s00468-014-1136-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925515432&partnerID=40&md5=4f869dfa500df49eccdfc3d5818d6eee",Article,Scopus,2-s2.0-84925515432
"Fladung, M.","Plant Biotechnology 3.0 [Pflanzenbiotechnologie 3.0]",2015,"Gesunde Pflanzen","67","2",,"51","58",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930931829&partnerID=40&md5=88fd295083347e0665935cb859f27d11",Review,Scopus,2-s2.0-84930931829
"Bentley, A.R., Jensen, E.F., Mackay, I.J., Hönicka, H., Fladung, M., Hori, K., Yano, M., Mullet, J.E., Armstead, I.P., Hayes, C., Thorogood, D., Lovatt, A., Morris, R., Pullen, N., Mutasa-Göttgens, E., Cockram, J.","Flowering time",2014,"Genomics and Breeding for Climate-Resilient Crops","2",,,"1","66",,1,10.1007/978-3-642-37048-9_1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902084975&partnerID=40&md5=60f9c429e5489ef05043dcf5b3744952",Book Chapter,Scopus,2-s2.0-84902084975
"Tsourgiannis, L., Kazana, V., Karasavvoglou, A., Vettori, C., Fladung, M., Sijacic-Nikolic, M., Ionita, L.","Would consumers be willing to buy woody biomass energy products of transgenic origin?",2014,"Contributions to Economics","208",,,"189","202",,,10.1007/978-3-319-10133-0-11,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921381708&partnerID=40&md5=d5661b26b0877dae4dca10c757469c98",Article,Scopus,2-s2.0-84921381708
"Kersten, B., Pakull, B., Groppe, K., Lueneburg, J., Fladung, M.","The sex-linked region in Populus tremuloides Turesson 141 corresponds to a pericentromeric region of about two million base pairs on P. trichocarpa chromosome 19",2014,"Plant Biology","16","2",,"411","418",,6,10.1111/plb.12048,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897661563&partnerID=40&md5=4d15778a6c9ddc880ba596213b8ffcdf",Article,Scopus,2-s2.0-84897661563
"Hoenicka, H., Lehnhardt, D., Nilsson, O., Hanelt, D., Fladung, M.","Successful crossings with early flowering transgenic poplar: Interspecific crossings, but not transgenesis, promoted aberrant phenotypes in offspring",2014,"Plant Biotechnology Journal","12","8",,"1066","1074",,1,10.1111/pbi.12213,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925969833&partnerID=40&md5=e5cdab2a00dceb4be28aa6575e25b408",Article,Scopus,2-s2.0-84925969833
"Ahuja, M.R., Fladung, M.","Integration and inheritance of transgenes in crop plants and trees",2014,"Tree Genetics and Genomes","10","4",,"779","790",,,10.1007/s11295-014-0724-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904580985&partnerID=40&md5=8b9c52ae8b8190d4687eacfbced13f4c",Review,Scopus,2-s2.0-84904580985
"Bruegmann, T., Fladung, M.","Potentials and limitations of the cross-species transfer of nuclear microsatellite marker in six species belonging to three sections of the genus Populus L",2013,"Tree Genetics and Genomes","9","6",,"1413","1421",,1,10.1007/s11295-013-0647-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84888135958&partnerID=40&md5=0316620866cf0b56ab9d0b8c649818c9",Article,Scopus,2-s2.0-84888135958
"Fladung, M., Hoenicka, H., Raj Ahuja, M.","Genomic stability and long-term transgene expression in poplar",2013,"Transgenic Research","22","6",,"1167","1178",,3,10.1007/s11248-013-9719-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891665411&partnerID=40&md5=efc92061ecd29f84bb8a548c2531fa5d",Article,Scopus,2-s2.0-84891665411
"Hanke, M.-V., Flachowsky, H., Hoenicka, H., Fladung, M.","Functional genomics of flowering time in trees",2013,"Genomics of Tree Crops",,,,"39","69",,2,10.1007/978-1-4614-0920-5_3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922599640&partnerID=40&md5=b50601685908c2379fb9abbb05a403f5",Book Chapter,Scopus,2-s2.0-84922599640
"Kersten, B., Ghirardo, A., Schnitzler, J.-P., Kanawati, B., Schmitt-Kopplin, P., Fladung, M., Schroeder, H.","Integrated transcriptomics and metabolomics decipher differences in the resistance of pedunculate oak to the herbivore Tortrix viridana L.",2013,"BMC Genomics","14","1", 737,"","",,4,10.1186/1471-2164-14-737,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84886133029&partnerID=40&md5=d31748f189f1f6fdfb8ecbfe15590cff",Article,Scopus,2-s2.0-84886133029
"Bubner, B., Fladung, M., Lentzsch, P., Münzenberger, B., Hüttl, R.F.","Individual tree genotypes do not explain ectomycorrhizal biodiversity in soil cores of a pure stand of beech (Fagus sylvatica L.)",2013,"Trees - Structure and Function","27","5",,"1327","1338",,1,10.1007/s00468-013-0881-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84884205369&partnerID=40&md5=c18ff1948955684054ebea69a87753b3",Article,Scopus,2-s2.0-84884205369
