Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kobbe, D., Focke, M., Puchta, H.","Purification and characterization of recQ helicases of plants",2010,"Methods in Molecular Biology","587",,,"195","209",,5,10.1007/978-1-60327-355-8_14,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953014335&partnerID=40&md5=00fd1fbddf1907d36d9c88c1dc96f095",Article,Scopus,2-s2.0-77953014335
"Kobbe, D., Blanck, S., Focke, M., Puchta, H.","Biochemical characterization of AtRECQ3 reveals significant differences relative to other RecQ helicases",2009,"Plant Physiology","151","3",,"1658","1666",,9,10.1104/pp.109.144709,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350648582&partnerID=40&md5=daaca07e1b061a05ebdb4e8500fcce08",Article,Scopus,2-s2.0-70350648582
"Blanck, S., Kobbe, D., Hartung, F., Fengler, K., Focke, M., Puchta, H.","A SRS2 homolog from Arabidopsis thaliana disrupts recombinogenic DNA intermediates and facilitates single strand annealing",2009,"Nucleic Acids Research","37","21", gkp753,"7163","7176",,6,10.1093/nar/gkp753,"http://www.scopus.com/inward/record.url?eid=2-s2.0-75349098893&partnerID=40&md5=0077aca1e9bde3077d5730f234d8f093",Article,Scopus,2-s2.0-75349098893
"Geuting, V., Kobbe, D., Hartung, F., Diirr, J., Focke, M., Puchta, H.","Two distinct MUS81-EME1 complexes from arabidopsis process holliday junctions1[w]",2009,"Plant Physiology","150","2",,"1062","1071",,14,10.1104/pp.109.136846,"http://www.scopus.com/inward/record.url?eid=2-s2.0-66649107495&partnerID=40&md5=a1f38e0e14f704a6d37cb39fe4eaee02",Article,Scopus,2-s2.0-66649107495
"Kobbe, D., Blanck, S., Demand, K., Focke, M., Puchta, H.","AtRECQ2, a RecQ helicase homologue from Arabidopsis thaliana, is able to disrupt various recombinogenic DNA structures in vitro",2008,"Plant Journal","55","3",,"397","405",,15,10.1111/j.1365-313X.2008.03511.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-47749108328&partnerID=40&md5=44ab7b7f7fefafb485eccd71efa04200",Article,Scopus,2-s2.0-47749108328
"Focke, M., Gieringer, E., Schwan, S., Jänsch, L., Binder, S., Braun, H.-P.","Fatty Acid Biosynthesis in Mitochondria of Grasses: Malonyl-Coenzyme A Is Generated by a Mitochondrial-Localized Acetyl-Coenzyme A Carboxylase",2003,"Plant Physiology","133","2",,"875","884",,34,10.1104/pp.103.027375,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0141692862&partnerID=40&md5=38ec3351ee949f0c6ea813425da85ef6",Article,Scopus,2-s2.0-0141692862
"Ohlrogge, J., Pollard, M., Bao, X., Focke, M., Girke, T., Ruuska, S., Mekhedov, S., Benning, C.","Fatty acid synthesis: From CO2 to functional genomics",2000,"Biochemical Society Transactions","28","6",,"567","574",,22,10.1042/0300-5127:0280567,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034473187&partnerID=40&md5=43059b7ee3113fe19fb13331cf4fe096",Conference Paper,Scopus,2-s2.0-0034473187
"Bao, X., Focke, M., Pollard, M., Ohlrogge, J.","Understanding in vivo carbon precursor supply for fatty acid synthesis in leaf tissue",2000,"Plant Journal","22","1",,"39","50",,68,10.1046/j.1365-313X.2000.00712.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0034112053&partnerID=40&md5=772cedd242b690369961e0c37ff1ec56",Article,Scopus,2-s2.0-0034112053
"Schwender, J., Zeidler, J., Gröner, R., Müller, C., Focke, M., Braun, S., Lichtenthaler, F.W., Lichtenthaler, H.K.","Incorporation of 1-deoxy-D-xylulose into isoprene and phytol by higher plants and algae",1997,"FEBS Letters","414","1",,"129","134",,123,10.1016/S0014-5793(97)01002-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0030767523&partnerID=40&md5=1d557de5ab8310928be75b8aba330e84",Article,Scopus,2-s2.0-0030767523
"Motel, A., Günther, S., Clauss, M., Kobek, K., Focke, M., Lichtenthaler, H.K.","Studies on the inhibition of biotin-containing carboxylases by acetyl-coa carboxylase inhibitors",1993,"Zeitschrift fur Naturforschung - Section C Journal of Biosciences","48","3-4",,"294","300",,,10.1515/znc-1993-3-429,"http://www.scopus.com/inward/record.url?eid=2-s2.0-2842609187&partnerID=40&md5=ecb6188281bfbb4ff8f1913d9aaa6a26",Article,Scopus,2-s2.0-2842609187
"Focke, M., Feld, A., Lichtenthaler, H.K.","Acetyl-CoA synthetase as enzymic target for allicin, an antibiotic from garlic",1990,"Planta Medica","56","6",,"691","692",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025629910&partnerID=40&md5=1c3c6edc8102773a7673778e264f8e02",Conference Paper,Scopus,2-s2.0-0025629910
"Focke, M., Feld, A., Lichtenthaler, H.K.","Allicin, a naturally occurring antibiotic from garlic, specifically inhibits acetyl-CoA synthetase",1990,"FEBS Letters","261","1",,"106","108",,69,10.1016/0014-5793(90)80647-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0025115222&partnerID=40&md5=3b5462cc3675398e97847476fafae06e",Article,Scopus,2-s2.0-0025115222
"Focke, M., Feld, A., Lichtenthaler, H.K.","Effect of Thiolactomycin on de novo Fatty Acid Biosynthesis in Plants",1990,"Zeitschrift fur Naturforschung - Section C Journal of Biosciences","45","5",,"518","520",,2,10.1515/znc-1990-0537,"http://www.scopus.com/inward/record.url?eid=2-s2.0-80052140574&partnerID=40&md5=f5541f7db91d60cd20b61e6ee6b29d37",Article,Scopus,2-s2.0-80052140574
"Kobek, K., Focke, M., Lichtenthaler, H.K.","Fatty-acid biosynthesis and acetyl-coa carboxylase as a target of diclofop, fenoxaprop and other aryloxy-phenoxy-propionic acid herbicides",1988,"Zeitschrift fur Naturforschung - Section C Journal of Biosciences","43","1-2",,"47","54",,39,10.1515/znc-1988-1-212,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0002445328&partnerID=40&md5=39de0ae92c5df5c9cc307f34f372299d",Article,Scopus,2-s2.0-0002445328
"Focke, M., Lichtenthaler, H.K.","Inhibition of the acetyl-coa carboxylase of barley chloroplasts by cycloxydim and sethoxydim",1987,"Zeitschrift fur Naturforschung - Section C Journal of Biosciences","42","11-12",,"1361","1363",,36,10.1515/znc-1987-11-1240,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934409953&partnerID=40&md5=ac1be81b24314fd98964214ad4da0702",Note,Scopus,2-s2.0-84934409953
