Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Sosso, D., Luo, D., Li, Q.-B., Sasse, J., Yang, J., Gendrot, G., Suzuki, M., Koch, K.E., McCarty, D.R., Chourey, P.S., Rogowsky, P.M., Ross-Ibarra, J., Yang, B., Frommer, W.B.","Seed filling in domesticated maize and rice depends on SWEET-mediated hexose transport",2015,"Nature Genetics",,,,"","",,,10.1038/ng.3422,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84946127765&partnerID=40&md5=76c0abb134d5d1f2b861c3bfc00cf453",Article in Press,Scopus,2-s2.0-84946127765
"Ast, C., De Michele, R., Kumke, M.U., Frommer, W.B.","Single-fluorophore membrane transport activity sensors with dual-emission read-out",2015,"eLife","4","JUNE2015", e07113,"","",10,,10.7554/eLife.07113,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937064786&partnerID=40&md5=af422fcd849328a51adf4c9a52382188",Article,Scopus,2-s2.0-84937064786
"Eom, J.-S., Chen, L.-Q., Sosso, D., Julius, B.T., Lin, I.W., Qu, X.-Q., Braun, D.M., Frommer, W.B.","SWEETs, transporters for intracellular and intercellular sugar translocation",2015,"Current Opinion in Plant Biology","25",,,"53","62",,5,10.1016/j.pbi.2015.04.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929378877&partnerID=40&md5=23bd123d14ddd631900bb504c1013188",Review,Scopus,2-s2.0-84929378877
"Zhou, J., Peng, Z., Long, J., Sosso, D., Liu, B., Eom, J.-S., Huang, S., Liu, S., Vera Cruz, C., Frommer, W.B., White, F.F., Yang, B.","Gene targeting by the TAL effector PthXo2 reveals cryptic resistance gene for bacterial blight of rice",2015,"Plant Journal","82","4",,"632","643",,5,10.1111/tpj.12838,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929153076&partnerID=40&md5=e491cf65887ebbb0d6fa48ff6bf1bdd0",Article,Scopus,2-s2.0-84929153076
"Chen, L.-Q., Lin, I.W., Qu, X.-Q., Sosso, D., McFarlane, H.E., Londoño, A., Samuels, A.L., Frommer, W.B.","A cascade of sequentially expressed sucrose transporters in the seed coat and endosperm provides nutrition for the arabidopsis embryo",2015,"Plant Cell","27","3",,"607","619",,4,10.1105/tpc.114.134585,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927761220&partnerID=40&md5=688d6db4f0bfad61550892a612a27e98",Article,Scopus,2-s2.0-84927761220
"Rosas-Santiago, P., Lagunas-Gómez, D., Barkla, B.J., Vera-Estrella, R., Lalonde, S., Jones, A., Frommer, W.B., Zimmermannova, O., Sychrová, H., Pantoja, O.","Identification of rice cornichon as a possible cargo receptor for the Golgi-localized sodium transporter OsHKT1;3",2015,"Journal of Experimental Botany","66","9",,"2733","2748",,1,10.1093/jxb/erv069,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929378439&partnerID=40&md5=c2170e30a97b7ff889a40702efda6919",Article,Scopus,2-s2.0-84929378439
"Chen, H.-Y., Huh, J.-H., Yu, Y.-C., Ho, L.-H., Chen, L.-Q., Tholl, D., Frommer, W.B., Guo, W.-J.","The Arabidopsis vacuolar sugar transporter SWEET2 limits carbon sequestration from roots and restricts Pythium infection",2015,"Plant Journal","83","6",,"1046","1058",,,10.1111/tpj.12948,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941027947&partnerID=40&md5=2e64c2e01b5bd3e63094be35b466e897",Article,Scopus,2-s2.0-84941027947
"Chen, L.-Q., Cheung, L.S., Feng, L., Tanner, W., Frommer, W.B.","Transport of sugars",2015,"Annual Review of Biochemistry","84",,,"865","894",,7,10.1146/annurev-biochem-060614-033904,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929342678&partnerID=40&md5=16f1de3bf4b9cafe817208dbe4a64f6d",Review,Scopus,2-s2.0-84929342678
"Feng, L., Frommer, W.B.","Structure and function of SemiSWEET and SWEET sugar transporters",2015,"Trends in Biochemical Sciences","40","8",,"480","486",,,10.1016/j.tibs.2015.05.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937522071&partnerID=40&md5=0f75023510b5ca488b11ee5d99bb49ab",Review,Scopus,2-s2.0-84937522071
"Xu, Y., Tao, Y., Cheung, L.S., Fan, C., Chen, L.-Q., Xu, S., Perry, K., Frommer, W.B., Feng, L.","Structures of bacterial homologues of SWEET transporters in two distinct conformations",2014,"Nature","515","7527",,"448","452",,19,10.1038/nature13670,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84911473884&partnerID=40&md5=904e807ef125cc67d417bcb3cfd90cbb",Article,Scopus,2-s2.0-84911473884
