Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Chen, S.-C., Cannon, C.H., Kua, C.-S., Liu, J.-J., Galbraith, D.W.","Genome size variation in the Fagaceae and its implications for trees",2014,"Tree Genetics and Genomes","10","4",,"977","988",,1,10.1007/s11295-014-0736-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84904572966&partnerID=40&md5=7ff828e4c840eeefc16b857384cfe81a",Article,Scopus,2-s2.0-84904572966
"Zárate, X., Galbraith, D.W.","A cell-free expression platform for production of protein microarrays",2014,"Methods in Molecular Biology","1118",,,"297","307",,,10.1007/978-1-62703-782-2_21,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934436713&partnerID=40&md5=3421455a55a21524d9b87d5e2ba7b238",Article,Scopus,2-s2.0-84934436713
"Galbraith, D.W.","Flow cytometry and sorting in arabidopsis",2014,"Methods in Molecular Biology","1062",,,"509","537",,,10.1007/978-1-62703-580-4_27,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934444667&partnerID=40&md5=abe9d7d947cc5ca88e83469c9f3dd33c",Article,Scopus,2-s2.0-84934444667
"Mittal, A., Balasubramanian, R., Cao, J., Singh, P., Subramanian, S., Hicks, G., Nothnagel, E.A., Abidi, N., Janda, J., Galbraith, D.W., Rock, C.D.","TOPOISOMERASE 6B is involved in chromatin remodelling associated with control of carbon partitioning into secondary metabolites and cell walls, and epidermal morphogenesis in Arabidopsis",2014,"Journal of Experimental Botany","65","15",,"4217","4239",,1,10.1093/jxb/eru198,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84905197402&partnerID=40&md5=0c26f5342783d824367e0de5228085db",Article,Scopus,2-s2.0-84905197402
"Zárate, X., Galbraith, D.W.","A cell-free expression platform for production of protein microarrays",2014,"Methods in Molecular Biology","1118",,,"297","307",,2,10.1007/978-1-62703-782-2-21,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84898792057&partnerID=40&md5=2c5530b0a0c81733ddecdd966de3147a",Article,Scopus,2-s2.0-84898792057
"Galbraith, D.W.","Challenges and solutions in cytometric measurements of non-mammalian species",2014,"Cytometry Part A","85","10",,"831","832",,1,10.1002/cyto.a.22523,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927554396&partnerID=40&md5=2afbe78bdb595cddc5e1f53618e4c0e3",Article,Scopus,2-s2.0-84927554396
"Galbraith, D.W.","Flow cytometry and sorting in arabidopsis",2014,"Methods in Molecular Biology","1062",,,"509","537",,,10.1007/978-1-62703-580-4-27,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885672379&partnerID=40&md5=fa1599a63857449bc093d5af7a826178",Article,Scopus,2-s2.0-84885672379
"Galbraith, D.W.","Endoreduplicative standards for calibration of flow cytometric C-Value measurements",2014,"Cytometry Part A","85","4",,"368","374",,,10.1002/cyto.a.22440,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84897108655&partnerID=40&md5=b2d540a1be94cd7a6c91de30910e2231",Article,Scopus,2-s2.0-84897108655
"Grindberg, R.V., Yee-Greenbaum, J.L., McConnell, M.J., Novotny, M., O'Shaughnessy, A.L., Lambert, G.M., Araúzo-Bravo, M.J., Lee, J., Fishman, M., Robbins, G.E., Lin, X., Venepally, P., Badger, J.H., Galbraith, D.W., Gage, F.H., Lasken, R.S.","RNA-sequencing from single nuclei",2013,"Proceedings of the National Academy of Sciences of the United States of America","110","49",,"19802","19807",,19,10.1073/pnas.1319700110,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84889686392&partnerID=40&md5=c849f822ec9e586c0d1ca4fa7e586e4e",Article,Scopus,2-s2.0-84889686392
"Qin, J., Scheuring, C.F., Wei, G., Zhi, H., Zhang, M., Huang, J.J., Zhou, X., Galbraith, D.W., Zhang, H.-B.","Identification and characterization of a repertoire of genes differentially expressed in developing top ear shoots between a superior hybrid and its parental inbreds in Zea mays L.",2013,"Molecular Genetics and Genomics","288","12",,"691","705",,2,10.1007/s00438-013-0781-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84890986891&partnerID=40&md5=fb61a2ec361b498b625e8a0e011ca270",Article,Scopus,2-s2.0-84890986891
"Galbraith, D.W., Lambert, G.M.","High-throughput monitoring of plant nuclear DNA contents via flow cytometry.",2012,"Methods in molecular biology (Clifton, N.J.)","918",,,"311","325",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871876216&partnerID=40&md5=a12f1aea224a88caa9e3a2656258013f",Article,Scopus,2-s2.0-84871876216
"Wang, Z., Hobson, N., Galindo, L., Zhu, S., Shi, D., McDill, J., Yang, L., Hawkins, S., Neutelings, G., Datla, R., Lambert, G., Galbraith, D.W., Grassa, C.J., Geraldes, A., Cronk, Q.C., Cullis, C., Dash, P.K., Kumar, P.A., Cloutier, S., Sharpe, A.G., Wong, G.K.-S., Wang, J., Deyholos, M.K.","The genome of flax (Linum usitatissimum) assembled de novo from short shotgun sequence reads",2012,"Plant Journal","72","3",,"461","473",,79,10.1111/j.1365-313X.2012.05093.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84868204845&partnerID=40&md5=d2519e9b4de1153f8b6515a679c8c574",Article,Scopus,2-s2.0-84868204845
"Zhang, C., Galbraith, D.W.","RNA interference-mediated gene knockdown within specific cell types",2012,"Plant Molecular Biology","80","2",,"169","176",,3,10.1007/s11103-012-9937-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865413438&partnerID=40&md5=f1602994afeb25fdf1d193f4b3721bab",Article,Scopus,2-s2.0-84865413438
"Galbraith, D.","Flow cytometry and cell sorting: The next generation",2012,"Methods","57","3",,"249","250",,2,10.1016/j.ymeth.2012.08.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865589925&partnerID=40&md5=0b192671a573417229e19b042ff6b379",Editorial,Scopus,2-s2.0-84865589925
"Baisakh, N., Ramanarao, M.V., Rajasekaran, K., Subudhi, P., Janda, J., Galbraith, D., Vanier, C., Pereira, A.","Enhanced salt stress tolerance of rice plants expressing a vacuolar H +-ATPase subunit c1 (SaVHAc1) gene from the halophyte grass Spartina alterniflora Löisel",2012,"Plant Biotechnology Journal","10","4",,"453","464",,23,10.1111/j.1467-7652.2012.00678.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84859433861&partnerID=40&md5=b4fe1c4bef43cdaef482c9f85cc8de43",Article,Scopus,2-s2.0-84859433861
"Galbraith, D.W., Lambert, G.M.","High-throughput monitoring of plant nuclear DNA contents via flow cytometry",2012,"Methods in Molecular Biology","918",,,"311","325",,,10.1007/978-1-61779-995-2_16,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934435417&partnerID=40&md5=2f0cea98d08ee6581035e73d83f93f46",Article,Scopus,2-s2.0-84934435417
"Galbraith, D.W.","Frontiers in genomic assay technologies: The grand challenges in enabling data-intensive biological research",2011,"Frontiers in Genetics","2","JUNE", Article 26,"","",,1,10.3389/fgene.2011.00026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875950717&partnerID=40&md5=a5ba6de15e9b2208e315d8ff26f5a7dd",Article,Scopus,2-s2.0-84875950717
"Kimzey, M.J., Zarate, X., Galbraith, D.W., Lau, S.S.","Optimizing microarray-based in situ transcription-translation of proteins for matrix-assisted laser desorption ionization mass spectrometry",2011,"Analytical Biochemistry","414","2",,"282","286",,2,10.1016/j.ab.2011.03.030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956149793&partnerID=40&md5=95433f8e8c88873301ad84f9f262935e",Article,Scopus,2-s2.0-79956149793
"Bourzac, K.M., Rounseville, M.P., Zarate, X., Maddula, V.S.R.K., Henderson, D.C., Luckey, J.A., Seligmann, B., Galbraith, D.W.","A high-density quantitative nuclease protection microarray platform for high throughput analysis of gene expression",2011,"Journal of Biotechnology","154","1",,"68","75",,4,10.1016/j.jbiotec.2011.03.020,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79957477088&partnerID=40&md5=7546353b115fc016a690d7aed6c8f309",Article,Scopus,2-s2.0-79957477088
"Galbraith, D.W., Janda, J., Lambert, G.M.","Multiparametric analysis, sorting, and transcriptional profiling of plant protoplasts and nuclei according to cell type.",2011,"Methods in molecular biology (Clifton, N.J.)","699",,,"407","429",,9,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79956278277&partnerID=40&md5=870a4b0c158b77ac3a2cc699bb063c56",Review,Scopus,2-s2.0-79956278277
"Krishnan, A.R., Sweeney, M., Vasic, J., Galbraith, D.W., Vasic, B.","Barcodes for DNA sequencing with guaranteed error correction capability",2011,"Electronics Letters","47","4",,"236","237",,8,10.1049/el.2010.3546,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79951860587&partnerID=40&md5=d2316dd506ede25d8abc1a30efe5f8d1",Article,Scopus,2-s2.0-79951860587
"Liu, Y., Zhang, G., Bernardo, M., Leung, H., Zhu, X.Y., Zhang, S., Liu, B., Edwards, J., Galbraith, D.W., Leach, J.","Dissecting quantitative resistance against blast disease using heterogeneous inbred family lines in rice",2011,"Theoretical and Applied Genetics","122","2",,"341","353",,11,10.1007/s00122-010-1450-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79952275469&partnerID=40&md5=3671eafeefe1ca73a76fc1444d983758",Article,Scopus,2-s2.0-79952275469
"Oh, D.-H., Dassanayake, M., Haas, J.S., Kropornika, A., Wright, C., d'Urzo, M.P., Hong, H., Ali, S., Hernandez, A., Lambert, G.M., Inan, G., Galbraith, D.W., Bressan, R.A., Yun, D.-J., Zhu, J.-K., Cheeseman, J.M., Bohnert, H.J.","Genome structures and halophyte-specific gene expression of the extremophile thellungiella parvula in comparison with Thellungiella salsuginea (Thellungiella halophila) and arabidopsis",2010,"Plant Physiology","154","3",,"1040","1052",,41,10.1104/pp.110.163923,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78249231997&partnerID=40&md5=46020c51a2d1c3411668ffc6fbcefb6d",Article,Scopus,2-s2.0-78249231997
"Zárate, X., Henderson, D.C., Phillips, K.C., Lake, A.D., Galbraith, D.W.","Development of high-yield autofluorescent protein microarrays using hybrid cell-free expression with combined Escherichia coli S30 and wheat germ extracts",2010,"Proteome Science","8",, 32,"","",,7,10.1186/1477-5956-8-32,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77954879292&partnerID=40&md5=8f42e28ee8b8ba4761bdc95327ebe4c5",Article,Scopus,2-s2.0-77954879292
"Barthelson, R.A., Qaisar, U., Galbraith, D.W.","Functional analysis of the gossypium arboreum genome",2010,"Plant Molecular Biology Reporter","28","2",,"334","343",,8,10.1007/s11105-009-0157-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952882114&partnerID=40&md5=69a1f1c5f1406e967bba2b92832a9843",Article,Scopus,2-s2.0-77952882114
"Galbraith, D.W., Edwards, J.","Applications of microarrays for crop improvement: Here, there, and everywhere",2010,"BioScience","60","5",,"337","348",,6,10.1525/bio.2010.60.5.4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77952155393&partnerID=40&md5=ec721f491b26c79f61952647b5778c93",Article,Scopus,2-s2.0-77952155393
"Mustroph, A., Zanetti, M.E., Jang, C.J.H., Holtan, H.E., Repetti, P.P., Galbraith, D.W., Girke, T., Bailey-Serres, J.","Profiling translatomes of discrete cell populations resolves altered cellular priorities during hypoxia in Arabidopsis",2009,"Proceedings of the National Academy of Sciences of the United States of America","106","44",,"18843","18848",,184,10.1073/pnas.0906131106,"http://www.scopus.com/inward/record.url?eid=2-s2.0-73249145845&partnerID=40&md5=cc68c2a77cdabbe6da9df7556d601ad0",Article,Scopus,2-s2.0-73249145845
"Ophir, R., Pang, X., Halaly, T., Venkateswari, J., Lavee, S., Galbraith, D., Or, E.","Gene-expression profiling of grape bud response to two alternative dormancy-release stimuli expose possible links between impaired mitochondrial activity, hypoxia, ethylene-ABA interplay and cell enlargement",2009,"Plant Molecular Biology","71","4-5",,"403","423",,49,10.1007/s11103-009-9531-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70350216070&partnerID=40&md5=dfaa3c516a332871f39f9be76563ca78",Article,Scopus,2-s2.0-70350216070
"Andrés, F., Galbraith, D.W., Talón, M., Domingo, C.","Analysis of Photoperiod Sensitivity5 sheds light on the role of phytochromes in photoperiodic flowering in rice",2009,"Plant Physiology","151","2",,"681","690",,31,10.1104/pp.109.139097,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349647030&partnerID=40&md5=fa61886d969618cb38faecc16c193aed",Article,Scopus,2-s2.0-70349647030
"Lee, T.-H., Kim, Y.-K., Pham, T.T.M., Song, S.I., Kim, J.-K., Kang, K.Y., An, G., Jung, K.-H., Galbraith, D.W., Kim, M., Yoon, U.-H., Nahm, B.H.","RiceArrayNet: A database for correlating gene expression from transcriptome profiling, and its application to the analysis of coexpressed genes in rice",2009,"Plant Physiology","151","1",,"16","33",,52,10.1104/pp.109.139030,"http://www.scopus.com/inward/record.url?eid=2-s2.0-70349215646&partnerID=40&md5=413ca1f574a50c7a6c8ffea458ce0ea7",Article,Scopus,2-s2.0-70349215646
