Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Wu, S., Gallagher, K.L.","Techniques for assessing the effects of pharmacological inhibitors on intercellular protein movement",2015,"Methods in Molecular Biology","1217",,,"245","258",,,10.1007/978-1-4939-1523-1_16,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84921792033&partnerID=40&md5=31202c614e2da250ac6b7577373ec972",Article,Scopus,2-s2.0-84921792033
"Wu, S., Lee, C.-M., Hayashi, T., Price, S., Divol, F., Henry, S., Pauluzzi, G., Perin, C., Gallagher, K.L.","A plausible mechanism, based upon SHORT-ROOT movement, for regulating the number of cortex cell layers in roots",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","45",,"16184","16189",,2,10.1073/pnas.1407371111,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84909609619&partnerID=40&md5=befa0f0588970eb5defdc35a532cf9ac",Article,Scopus,2-s2.0-84909609619
"Wu, S., Gallagher, K.L.","The movement of the non-cell-autonomous transcription factor, SHORT-ROOT relies on the endomembrane system",2014,"Plant Journal","80","3",,"396","409",,2,10.1111/tpj.12640,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84924594497&partnerID=40&md5=b8407b7fb8a0a506c3e6feb885a29dc3",Article,Scopus,2-s2.0-84924594497
"Gallagher, K.L., Sozzani, R., Lee, C.-M.","Intercellular protein movement: deciphering the language of development",2014,"Annual review of cell and developmental biology","30",,,"207","233",,5,10.1146/annurev-cellbio-100913-012915,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926322732&partnerID=40&md5=8cdf91d826f7304fad95ceef0e605051",Review,Scopus,2-s2.0-84926322732
"Slewinski, T.L., Anderson, A.A., Price, S., Withee, J.R., Gallagher, K., Turgeon, R.","Short-root1 plays a role in the development of vascular tissue and Kranz anatomy in maize leaves",2014,"Molecular Plant","7","8",,"1388","1392",,2,10.1093/mp/ssu036,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84906241924&partnerID=40&md5=f46556e76b3f3a04b259974ed96b733c",Letter,Scopus,2-s2.0-84906241924
"Wu, S., Gallagher, K.L.","The movement of the non-cell-autonomous transcription factor, SHORT-ROOT relies on the endomembrane system",2014,"Plant Journal",,,,"","",,,10.1111/tpj.12640,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908876799&partnerID=40&md5=2eed4c99768e3a1c46e085c069c95945",Article in Press,Scopus,2-s2.0-84908876799
"Wu, S., Gallagher, K.L.","Intact microtubules are required for the intercellular movement of the SHORT-ROOT transcription factor",2013,"Plant Journal","74","1",,"148","159",,21,10.1111/tpj.12112,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84875366929&partnerID=40&md5=3ff5b9c3dc211745bc607d5c2a485e1d",Article,Scopus,2-s2.0-84875366929
"Gallagher, K.L., Koizumi, K.","Identification of SHRUBBY, a SHORT-ROOT and SCARECROW interacting protein that controls root growth and radial patterning",2013,"Development (Cambridge)","140","6",,"1292","1300",,11,10.1242/dev.090761,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874542258&partnerID=40&md5=794ad4ee09389f48335073936acdc2a9",Article,Scopus,2-s2.0-84874542258
"Koizumi, K., Hayashi, T., Gallagher, K.L.","SCARECROW reinforces SHORT-ROOT signaling and inhibits periclinal cell divisions in the ground tissue by maintaining SHR at high levels in the endodermis",2012,"Plant Signaling and Behavior","7","12",,"","",,5,10.4161/psb.22437,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870818709&partnerID=40&md5=ed13e738386afec0dc93d0a0a67be402",Article,Scopus,2-s2.0-84870818709
"Sang, Y., Silva-Ortega, C.O., Wu, S., Yamaguchi, N., Wu, M.-F., Pfluger, J., Gillmor, C.S., Gallagher, K.L., Wagner, D.","Mutations in two non-canonical Arabidopsis SWI2/SNF2 chromatin remodeling ATPases cause embryogenesis and stem cell maintenance defects",2012,"Plant Journal","72","6",,"1000","1014",,16,10.1111/tpj.12009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84871947886&partnerID=40&md5=e34cc17be2921477aacec20aa9686623",Article,Scopus,2-s2.0-84871947886
"Wu, S., Gallagher, K.L.","Transcription factors on the move",2012,"Current Opinion in Plant Biology","15","6",,"645","651",,26,10.1016/j.pbi.2012.09.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84870502395&partnerID=40&md5=3ba7ee250aa21581e015312b7aad5345",Review,Scopus,2-s2.0-84870502395
