Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Léran, S., Varala, K., Boyer, J.-C., Chiurazzi, M., Crawford, N., Daniel-Vedele, F., David, L., Dickstein, R., Fernandez, E., Forde, B., Gassmann, W., Geiger, D., Gojon, A., Gong, J.-M., Halkier, B.A., Harris, J.M., Hedrich, R., Limami, A.M., Rentsch, D., Seo, M., Tsay, Y.-F., Zhang, M., Coruzzi, G., Lacombe, B.","A unified nomenclature of nitrate transporter 1/peptide transporter family members in plants",2014,"Trends in Plant Science","19","1",,"5","9",,51,10.1016/j.tplants.2013.08.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84891371414&partnerID=40&md5=f4dc27e9df301abb02735506772f9d69",Review,Scopus,2-s2.0-84891371414
"Durbak, A.R., Phillips, K.A., Pike, S., O'Neill, M.A., Mares, J., Gallavotti, A., Malcomber, S.T., Gassmann, W., McSteen, P.","Transport of boron by the tassel-less1 aquaporin is critical for vegetative and reproductive development in maize",2014,"Plant Cell","26","7",,"2978","2995",,9,10.1105/tpc.114.125898,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84907325344&partnerID=40&md5=28c3ac222d42bcda47268b270bd729dd",Article,Scopus,2-s2.0-84907325344
"Pike, S., Gao, F., Kim, M.J., Kim, S.H., Schachtman, D.P., Gassmann, W.","Members of the NPF3 transporter subfamily encode pathogen-inducible nitrate/nitrite transporters in grapevine and arabidopsis",2014,"Plant and Cell Physiology","55","1",,"162","170",,6,10.1093/pcp/pct167,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84892764507&partnerID=40&md5=93977d561ed429aa847b74de96816f35",Article,Scopus,2-s2.0-84892764507
"Qiu, W., Gassmann, W., Gao, F., Singh, K., Zhang, Y.","Dissection of defense pathways in the grapevine-powdery mildew interaction by employing arabidopsis defense-related mutants",2014,"Acta Horticulturae","1046",,,"85","90",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84908075704&partnerID=40&md5=163ac2dd9a8399c88c23e41d1e6df0c6",Article,Scopus,2-s2.0-84908075704
"Gao, F., Dai, R., Pike, S.M., Qiu, W., Gassmann, W.","Functions of EDS1-like and PAD4 genes in grapevine defenses against powdery mildew",2014,"Plant Molecular Biology","86","4-5",,"381","393",,3,10.1007/s11103-014-0235-4,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84922063836&partnerID=40&md5=8b19f6837d1b5bad2fb29d6ba7d55ef1",Article,Scopus,2-s2.0-84922063836
"Kim, S.H., Son, G.H., Bhattacharjee, S., Kim, H.J., Nam, J.C., Nguyen, P.D.T., Hong, J.C., Gassmann, W.","The Arabidopsis immune adaptor SRFR1 interacts with TCP transcription factors that redundantly contribute to effector-triggered immunity",2014,"Plant Journal","78","6",,"978","989",,5,10.1111/tpj.12527,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84902303113&partnerID=40&md5=3f703462bdc3d5e242df3cd12394cb9b",Article,Scopus,2-s2.0-84902303113
"Kim, T.-H., Kunz, H.-H., Bhattacharjee, S., Hauser, F., Park, J., Engineer, C., Liu, A., Ha, T., Parker, J.E., Gassmann, W., Schroeder, J.I.","Natural Variation in Small Molecule-Induced TIR-NB-LRR Signaling Induces Root Growth Arrest via EDS1- and PAD4-Complexed R Protein VICTR in Arabidopsis",2013,"Plant Cell","24","12",,"5177","5192",,14,10.1105/tpc.112.107235,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873030001&partnerID=40&md5=463ba1ca3304710f5a7c493acd63ec81",Article,Scopus,2-s2.0-84873030001
"Howard, B.E., Hu, Q., Babaoglu, A.C., Chandra, M., Borghi, M., Tan, X., He, L., Winter-Sederoff, H., Gassmann, W., Veronese, P., Heber, S.","High-Throughput RNA Sequencing of Pseudomonas-Infected Arabidopsis Reveals Hidden Transcriptome Complexity and Novel Splice Variants",2013,"PLoS ONE","8","10", e74183,"","",,6,10.1371/journal.pone.0074183,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84885077606&partnerID=40&md5=e3347ee76718e9504b198dda7280f0ef",Article,Scopus,2-s2.0-84885077606
"Bhattacharjee, S., Garner, C.M., Gassmann, W.","New clues in the nucleus: Transcriptional reprogramming in effector-triggered immunity",2013,"Frontiers in Plant Science","4","SEP", 364,"","",,10,10.3389/fpls.2013.00364,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896057075&partnerID=40&md5=4911ce2d5d78484e0330adfea60f649c",Review,Scopus,2-s2.0-84896057075
"Gassmann, W., Bhattacharjee, S.","Effector-triggered immunity signaling: From gene-for-gene pathways to protein-protein interaction networks",2012,"Molecular Plant-Microbe Interactions","25","7",,"862","868",,31,10.1094/MPMI-01-12-0024-IA,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863299556&partnerID=40&md5=8ae3fe60a717674205ed9d1f8fb7aa74",Review,Scopus,2-s2.0-84863299556
