Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Bugiardini, E., Rivolta, I., Binda, A., Soriano Caminero, A., Cirillo, F., Cinti, A., Giovannoni, R., Botta, A., Cardani, R., Wicklund, M.P., Meola, G.","SCN4A mutation as modifying factor of Myotonic Dystrophy Type 2 phenotype",2015,"Neuromuscular Disorders","25","4",,"301","307",,1,10.1016/j.nmd.2015.01.006,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925279853&partnerID=40&md5=2ac9039daf69c97653f177621b45aa37",Article,Scopus,2-s2.0-84925279853
"Grassilli, E., Ianzano, L., Bonomo, S., Missaglia, C., Cerrito, M.G., Giovannoni, R., Masiero, L., Lavitrano, M.","GSK3A is redundant with GSK3B in modulating drug resistance and chemotherapy-induced necroptosis",2014,"PLoS ONE","9","7", e100947,"","",,,10.1371/journal.pone.0100947,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903699218&partnerID=40&md5=583979c535ad3c4a60380cf303481199",Article,Scopus,2-s2.0-84903699218
"De Giorgi, M., Pelikant-Malecka, I., Sielicka, A., Slominska, E.M., Giovannoni, R., Cinti, A., Cerrito, M.G., Lavitrano, M., Smolenski, R.T.","Functional analysis of expression of human ecto-nucleoside triphosphate diphosphohydrolase-1 and/or ecto-5′-nucleotidase in pig endothelial cells",2014,"Nucleosides, Nucleotides and Nucleic Acids","33","4-6",,"313","318",,1,10.1080/15257770.2014.896466,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84903221014&partnerID=40&md5=159f6358b66e8b311a3bf617a6156399",Article,Scopus,2-s2.0-84903221014
"Busnelli, M., Manzini, S., Froio, A., Vargiolu, A., Cerrito, M.G., Smolenski, R.T., Giunti, M., Cinti, A., Zannoni, A., Leone, B.E., Forni, M., Bacci, M.L., Biasi, G.M., Giovannoni, R., Lavitrano, M.","Diet induced mild hypercholesterolemia in pigs: Local and systemic inflammation, effects on vascular injury - Rescue by high-dose statin treatment",2013,"PLoS ONE","8","11", e80588,"","",,2,10.1371/journal.pone.0080588,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84894078124&partnerID=40&md5=a6a1305e9daea600f2b1f8547a7c3b2e",Article,Scopus,2-s2.0-84894078124
"Andria, B., Bracco, A., Attanasio, C., Castaldo, S., Cerrito, M.G., Cozzolino, S., Di Napoli, D., Giovannoni, R., Mancini, A., Musumeci, A., Mezza, E., Nasti, M., Scuderi, V., Staibano, S., Lavitrano, M., Otterbein, L.E., Calise, F.","Biliverdin Protects against Liver Ischemia Reperfusion Injury in Swine",2013,"PLoS ONE","8","7", e69972,"","",,2,10.1371/journal.pone.0069972,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84880776970&partnerID=40&md5=78dacb2928cde5ebbe83540c2bc8b80c",Article,Scopus,2-s2.0-84880776970
"Grassilli, E., Narloch, R., Federzoni, E., Ianzano, L., Pisano, F., Giovannoni, R., Romano, G., Masiero, L., Leone, B.E., Bonin, S., Donada, M., Stanta, G., Helin, K., Lavitrano, M.","Inhibition of GSK3B bypass drug resistance of p53-null colon carcinomas by enabling necroptosis in response to chemotherapy",2013,"Clinical Cancer Research","19","14",,"3820","3831",,14,10.1158/1078-0432.CCR-12-3289,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84881167671&partnerID=40&md5=f6a4167412df7c278d847651fb74afa2",Article,Scopus,2-s2.0-84881167671
"Tempestini, A., Cassina, V., Brogioli, D., Ziano, R., Erba, S., Giovannoni, R., Cerrito, M.G., Salerno, D., Mantegazza, F.","Magnetic tweezers measurements of the nanomechanical stability of DNA against denaturation at various conditions of pH and ionic strength",2013,"Nucleic Acids Research","41","3",,"2009","2019",,8,10.1093/nar/gks1206,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84873670792&partnerID=40&md5=b0a88096f3cc64c8d5813e8a92671c56",Article,Scopus,2-s2.0-84873670792
"Lavitrano, M., Giovannoni, R., Cerrito, M.G.","Methods for sperm-mediated gene transfer.",2013,"Methods in molecular biology (Clifton, N.J.)","927",,,"519","529",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84872785261&partnerID=40&md5=acf4356f558318c761473e18880e246e",Article,Scopus,2-s2.0-84872785261
"Lavitrano, M., Giovannoni, R., Cerrito, M.G.","Methods for sperm-mediated gene transfer",2013,"Methods in Molecular Biology","927",,,"519","529",,,10.1007/978-1-62703-38-0_44,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934435573&partnerID=40&md5=6099d34d41d20343cd198f47ddbd941c",Article,Scopus,2-s2.0-84934435573
"Musumeci, R., Rausa, M., Giovannoni, R., Cialdella, A., Bramati, S., Sibra, B., Giltri, G., Viganò, F., Cocuzza, C.E.","Prevalence of plasmid-mediated quinolone resistance genes in uropathogenic Escherichia coli isolated in a teaching hospital of Northern Italy",2012,"Microbial Drug Resistance","18","1",,"33","41",,3,10.1089/mdr.2010.0146,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84856722531&partnerID=40&md5=3dfe5f6ef5e9ecc686043c649d4fbfd2",Article,Scopus,2-s2.0-84856722531
