Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hystad, S.M., Martin, J.M., Graybosch, R.A., Giroux, M.J.","Genetic characterization and expression analysis of wheat (Triticum aestivum) line 07OR1074 exhibiting very low polyphenol oxidase (PPO) activity",2015,"Theoretical and Applied Genetics","128","8",,"1605","1615",,,10.1007/s00122-015-2535-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84931570455&partnerID=40&md5=d6101d1c95d38c4455814b69a79c81bf",Article,Scopus,2-s2.0-84931570455
"Hogg, A.C., Martin, J.M., Manthey, F.A., Giroux, M.J.","Nutritional and quality traits of pasta made from SSIIa null high-amylose durum wheat",2015,"Cereal Chemistry","92","4",,"395","400",,,10.1094/CCHEM-12-14-0246-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938573596&partnerID=40&md5=ff72a13fbe7d85a684bda14378bf343c",Article,Scopus,2-s2.0-84938573596
"Martin, J.M., Hogg, A.C., Hofer, P., Manthey, F.A., Giroux, M.J.","Impacts of SSIIa-A null allele on durum wheat noodle quality",2014,"Cereal Chemistry","91","2",,"176","182",,2,10.1094/CCHEM-10-12-0134-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84896932034&partnerID=40&md5=a09d2dc8ca055d15fb085726976fa9d0",Article,Scopus,2-s2.0-84896932034
"Hogg, A.C., Gause, K., Hofer, P., Martin, J.M., Graybosch, R.A., Hansen, L.E., Giroux, M.J.","Creation of a high-amylose durum wheat through mutagenesis of starch synthase II (SSIIa)",2013,"Journal of Cereal Science","57","3",,"377","383",,8,10.1016/j.jcs.2013.01.001,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877157998&partnerID=40&md5=3a94d1f66cdee3d589971a1c7ca3d37b",Article,Scopus,2-s2.0-84877157998
"Giroux, M.J., Kim, K.-H., Hogg, A.C., Martin, J.M., Beecher, B.","The Puroindoline b-2 variants are expressed at low levels relative to the Puroindoline D1 genes in wheat seeds",2013,"Crop Science","53","3",,"833","841",,1,10.2135/cropsci2012.06.0359,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84876454366&partnerID=40&md5=ddb522225bd9b30ceaafe8ce2fa78364",Article,Scopus,2-s2.0-84876454366
"Talbert, L.E., Hofer, P., Nash, D., Martin, J.M., Lanning, S.P., Sherman, J.D., Giroux, M.J.","Hard white versus hard red wheats: Taste tests and milling and baking properties",2013,"Cereal Chemistry","90","3",,"249","255",,4,10.1094/CCHEM-11-12-0146-R,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84877607520&partnerID=40&md5=412757e1d0658ec990bfd351cf0a4492",Article,Scopus,2-s2.0-84877607520
"Kim, K.-H., Feiz, L., Martin, J.M., Giroux, M.J.","Puroindolines are associated with decreased polar lipid breakdown during wheat seed development",2012,"Journal of Cereal Science","56","2",,"142","146",,8,10.1016/j.jcs.2012.02.011,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84865973850&partnerID=40&md5=967693e676c4eede7bfec80a3e067093",Article,Scopus,2-s2.0-84865973850
"Campbell, J., Zhang, H., Giroux, M.J., Feiz, L., Jin, Y., Wang, M., Chen, X., Huang, L.","A mutagenesis-derived broad-spectrum disease resistance locus in wheat",2012,"Theoretical and Applied Genetics","125","2",,"391","404",,1,10.1007/s00122-012-1841-7,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863557823&partnerID=40&md5=5d57c8963db621e351cfc35dafe74533",Article,Scopus,2-s2.0-84863557823
"Kim, K.-H., Feiz, L., Dyer, A.T., Grey, W., Hogg, A.C., Martin, J.M., Giroux, M.J.","Increased Resistance to Penicillium Seed Rot in Transgenic Wheat Over-expressing Puroindolines",2012,"Journal of Phytopathology","160","5",,"243","247",,9,10.1111/j.1439-0434.2012.01881.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84862790131&partnerID=40&md5=b7c08c0b8a98ecb61bf4e1f388043656",Article,Scopus,2-s2.0-84862790131
"Schlosser, A.J., Martin, J.M., Curtis Hannah, L., Giroux, M.J.","The maize leaf starch mutation agps-m1 has diminished field growth and productivity",2012,"Crop Science","52","2",,"700","706",,7,10.2135/cropsci2011.03.0158,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84863176763&partnerID=40&md5=0822ec30801e346467c655c78a77124f",Article,Scopus,2-s2.0-84863176763
"Zhang, J., Martin, J.M., Balint-Kurti, P., Huang, L., Giroux, M.J.","The Wheat Puroindoline Genes Confer Fungal Resistance in Transgenic Corn",2011,"Journal of Phytopathology","159","3",,"188","190",,10,10.1111/j.1439-0434.2010.01744.x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79551503188&partnerID=40&md5=6ba8ecd163b0509c69a430ffb8fb5885",Article,Scopus,2-s2.0-79551503188
"Zhang, J., Martin, J.M., Beecher, B., Lu, C., Hannah, L.C., Wall, M.L., Altosaar, I., Giroux, M.J.","The ectopic expression of the wheat Puroindoline genes increase germ size and seed oil content in transgenic corn",2010,"Plant Molecular Biology","74","4",,"353","365",,13,10.1007/s11103-010-9679-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957968427&partnerID=40&md5=7324e2e0fa6fdf17097ca0bc109df17e",Article,Scopus,2-s2.0-77957968427
"Reynolds, N.P., Martin, J.M., Giroux, M.J.","Increased wheat grain hardness conferred by Novel puroindoline haplotypes from aegilops tauschii",2010,"Crop Science","50","5",,"1718","1727",,3,10.2135/cropsci2009.12.0700,"http://www.scopus.com/inward/record.url?eid=2-s2.0-78650091566&partnerID=40&md5=fdc0b877c6dd33d1f13daf103fc9a76a",Article,Scopus,2-s2.0-78650091566
"Reynolds, N.P., Martin, J.M., Giroux, M.J.","Novel Ha locus, Pina-D1c/Pinb-D1h, affects soft white spring wheat milling and baking",2010,"Cereal Chemistry","87","3",,"237","242",,2,10.1094/CCHEM-87-3-0237,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77953486117&partnerID=40&md5=0e122703bbd6e225e80d0ad143a2263f",Article,Scopus,2-s2.0-77953486117
